NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
16,48,2,2,85.15,0.005646914238065606,38,41344.0,81200,1824,1.8494897959183674,17.807017543859647,17.807017543859647,4.560000000000001e-06
16,56,2,2,85.3,0.005758899028604306,32,38912.0,77056,1792,1.8580246913580247,17.2,17.2,4.48e-06
16,64,2,2,85.15,0.00580867649153035,29,38976.0,77544,1856,1.8669106317411401,16.712068965517243,16.712068965517243,4.639999999999999e-06
16,72,2,2,85.32,0.005919139541788513,25,36800.0,73672,1800,1.8717479674796749,16.371555555555556,16.371555555555556,4.5e-06
16,80,2,2,84.95,0.0050620627968588315,41,65600.0,129352,3280,1.8977699530516432,15.774634146341464,15.774634146341464,8.2e-06
16,88,2,2,85.22999999999999,0.0056670915026165855,28,48384.0,96480,2464,1.8938442211055277,15.662337662337663,15.662337662337663,6.16e-06
16,96,2,2,84.58,0.004991064443449494,41,76096.0,150344,3936,1.9114117168429618,15.278861788617885,15.278861788617885,9.84e-06
16,12,2,8,84.74000000000001,0.00596019152782433,41,43870.0,87368,656,1.881714408787422,53.27317073170732,18.81714408787422,4.643e-06
16,14,2,8,85.47,0.005974564207497849,35,41930.0,83992,560,1.887884917959092,59.994285714285716,18.87884917959092,4.449e-06
16,16,2,8,85.08,0.0055439827802898824,41,54366.0,108360,656,1.9035238730984085,66.07317073170732,19.035238730984084,5.6926e-06
16,18,2,8,85.74000000000001,0.0059600742768802385,28,40712.0,82144,504,1.898317618783509,65.1936507936508,18.983176187835088,4.327200000000001e-06
16,20,2,8,85.0,0.005188063776683208,41,64862.0,129352,820,1.918542908842811,63.098536585365856,19.18542908842811,6.7422000000000004e-06
16,22,2,8,85.0,0.005097069998636958,41,70110.0,139848,902,1.9244254850694922,62.016851441241684,19.244254850694922,7.267e-06
16,24,2,8,84.58,0.004991064443449494,41,75358.0,150344,984,1.92951564465207,61.11544715447154,19.2951564465207,7.7918e-06
16,6,2,16,84.58,0.00600803886469632,41,43747.0,87368,656,1.8867125920487184,53.27317073170732,18.867125920487183,4.6306999999999996e-06
16,7,2,16,84.55,0.0058304126376209926,41,48995.0,97864,656,1.8982445931529435,59.673170731707316,18.982445931529433,5.1555e-06
16,8,2,16,84.98,0.005644968892154887,41,54243.0,108360,656,1.9076457229371688,66.07317073170732,19.076457229371687,5.6803000000000005e-06
16,9,2,16,85.14,0.005758660112800781,34,49334.0,99088,544,1.9094307627085982,72.85882352941177,19.094307627085982,5.189400000000001e-06
16,10,2,16,85.36,0.005406963024372161,38,60002.0,120112,608,1.9198874716281449,79.02105263157895,19.19887471628145,6.2561999999999995e-06
16,11,2,16,85.38,0.0051621156397550355,40,68280.0,136512,640,1.927046866177301,85.32,19.27046866177301,7.084e-06
16,12,2,16,84.58,0.004991064443449494,41,75235.0,150344,656,1.9325663603059322,91.67317073170732,19.325663603059322,7.7795e-06
16,3,2,32,84.58,0.006077641499479684,41,43685.5,87368,656,1.8892216539987674,53.27317073170732,18.892216539987675,4.6245500000000005e-06
16,4,2,32,85.28,0.0059387426543630936,34,44931.0,90384,544,1.903181655471563,66.45882352941176,19.03181655471563,4.7491e-06
16,5,2,32,85.33,0.0059528909228866965,27,42592.5,86232,432,1.909794585017441,79.84444444444445,19.09794585017441,4.51525e-06
16,6,2,32,84.58,0.004991064443449494,41,75173.5,150344,656,1.9340953385605948,91.67317073170732,19.34095338560595,7.773349999999999e-06
16,2,2,64,85.26,0.005804418154701644,38,50188.5,100656,608,1.9082248784325622,66.22105263157894,19.08224878432562,5.274849999999999e-06
16,3,2,64,84.58,0.004991064443449494,41,75142.75,150344,656,1.9348607353021612,91.67317073170732,19.348607353021613,7.770274999999999e-06
16,1,2,192,84.58,0.004991064443449494,41,75122.25,150344,656,1.9353713364378606,91.67317073170732,19.353713364378606,7.768225e-06
24,48,2,2,85.6,0.005949381006171163,25,30400.0,60872,1200,1.8468446601941748,20.290666666666667,18.46844660194175,3.2959999999999994e-06
24,56,2,2,85.25,0.0059071716518683745,23,30912.0,62136,1288,1.856357552581262,19.296894409937888,18.56357552581262,3.3472e-06
24,64,2,2,85.14,0.00583675001931315,22,32384.0,65200,1408,1.8658424908424909,18.522727272727273,18.522727272727273,3.52e-06
24,72,2,2,85.32,0.005826783157472949,21,33600.0,67752,1512,1.8736725663716813,17.923809523809524,17.923809523809524,3.78e-06
24,80,2,2,85.48,0.005701998431589143,22,38016.0,76464,1760,1.8844637223974763,17.37818181818182,17.37818181818182,4.4e-06
24,88,2,2,85.37,0.005534139976234536,24,44544.0,89280,2112,1.8953804347826086,16.909090909090907,16.909090909090907,5.280000000000001e-06
24,96,2,2,84.93,0.004600320196962264,41,81344.0,160840,3936,1.916952707856598,16.345528455284555,16.345528455284555,9.839999999999999e-06
24,12,2,8,85.47,0.005978808980282364,32,38336.0,77056,768,1.8841940532081378,40.133333333333326,18.841940532081377,4.0896e-06
24,14,2,8,85.41,0.005737079074819806,33,43758.0,87816,792,1.8959367848352693,44.35151515151515,18.95936784835269,4.6318e-06
24,16,2,8,85.3,0.005457897826747742,35,50890.0,101912,840,1.9066791393826006,48.52952380952381,19.066791393826005,5.345e-06
24,18,2,8,85.46000000000001,0.005849647223980223,24,37968.0,76992,576,1.8997236478484012,53.46666666666666,18.997236478484012,4.0527999999999996e-06
24,20,2,8,85.39,0.005854501369855408,22,37620.0,76464,528,1.9030363364858138,57.92727272727273,19.03036336485814,4.0179999999999995e-06
24,22,2,8,85.18,0.005576519319978912,24,44112.0,89280,576,1.9129242372300308,62.0,19.129242372300308,4.6672e-06
24,24,2,8,84.93,0.004600320196962264,41,80606.0,160840,984,1.9339633985041964,65.38211382113822,19.339633985041964,8.316600000000001e-06
24,6,2,16,85.7,0.005949422067478463,34,40630.0,81680,816,1.891178513544802,40.03921568627451,18.91178513544802,4.319e-06
24,7,2,16,85.2,0.005986671695943486,29,38367.0,77544,696,1.8946905465829404,44.56551724137931,18.946905465829403,4.092700000000001e-06
24,8,2,16,85.16,0.005575840832551387,34,49334.0,99088,816,1.9094307627085982,48.57254901960785,19.094307627085982,5.189400000000001e-06
24,9,2,16,85.2,0.0053917778845019755,34,53686.0,107792,816,1.9164385022934964,52.839215686274514,19.164385022934965,5.6245999999999995e-06
24,10,2,16,85.3,0.005279688640047683,33,56331.0,113160,792,1.921516021123771,57.15151515151515,19.21516021123771,5.8891e-06
24,11,2,16,85.15,0.005315631514460268,29,53215.0,107240,696,1.922725235320484,61.632183908045974,19.22725235320484,5.5775e-06
24,12,2,16,84.93,0.004600320196962264,41,80483.0,160840,984,1.9368279084329805,65.38211382113822,19.368279084329806,8.3043e-06
24,3,2,32,84.56,0.005695372884726494,41,48933.5,97864,984,1.9005117150708342,39.78211382113821,19.00511715070834,5.14935e-06
24,4,2,32,85.18,0.005486315461414157,37,53631.5,107560,888,1.9141685130313304,48.450450450450454,19.141685130313306,5.619149999999999e-06
24,5,2,32,85.18,0.005687432514735066,26,44343.0,89808,624,1.9147602498774066,57.56923076923077,19.147602498774067,4.6903e-06
24,6,2,32,84.93,0.004600320196962264,41,80421.5,160840,984,1.9382633478546423,65.38211382113822,19.382633478546424,8.29815e-06
24,2,2,64,85.22,0.005979135034935098,27,39116.25,79320,648,1.9032422542815153,48.96296296296296,19.03242254281515,4.167625e-06
24,3,2,64,84.93,0.004600320196962264,41,80390.75,160840,984,1.9389818657456381,65.38211382113822,19.38981865745638,8.295075000000001e-06
24,1,2,192,84.93,0.004600320196962264,41,80370.25,160840,984,1.9394611736971732,65.38211382113822,19.394611736971733,8.293025e-06
32,48,2,2,85.18,0.0055743736174724105,30,40320.0,80112,1440,1.8682835820895523,22.253333333333334,18.682835820895523,4.288e-06
32,56,2,2,85.22,0.00549218865224478,28,41216.0,82144,1568,1.8764619883040936,20.955102040816325,18.764619883040936,4.377599999999999e-06
32,64,2,2,85.28999999999999,0.0057884033121653414,21,33600.0,67752,1344,1.8736725663716813,20.164285714285715,18.736725663716815,3.616e-06
32,72,2,2,85.24000000000001,0.005369524584185634,26,44928.0,89808,1872,1.8911725067385445,19.18974358974359,18.911725067385447,4.748799999999999e-06
32,80,2,2,85.2,0.005252208384730328,27,50112.0,100056,2160,1.8996051032806804,18.52888888888889,18.52888888888889,5.4e-06
32,88,2,2,85.34,0.005687023766815409,20,39680.0,80032,1760,1.8946969696969698,18.18909090909091,18.18909090909091,4.399999999999999e-06
32,96,2,2,85.55,0.005673088727819008,20,42240.0,85152,1920,1.9007142857142858,17.74,17.74,4.8e-06
32,12,2,8,85.14,0.005884053925578456,32,42432.0,85248,1024,1.894736842105263,33.3,18.94736842105263,4.499200000000001e-06
32,14,2,8,85.50999999999999,0.005944661437793972,26,37804.0,76496,832,1.8951540977108314,36.776923076923076,18.951540977108316,4.0364e-06
32,16,2,8,85.52,0.005783032229632,26,41132.0,83152,832,1.903140162958894,39.97692307692308,19.03140162958894,4.3692e-06
32,18,2,8,85.26,0.0055081054202901925,28,47880.0,96480,896,1.9127676447264077,43.07142857142857,19.127676447264076,5.044e-06
32,20,2,8,85.15,0.005299595774286396,29,53302.0,107240,928,1.91973076509971,46.224137931034484,19.1973076509971,5.5862e-06
32,22,2,8,85.19,0.005164809688575984,29,57014.0,114664,928,1.9247322657535166,49.42413793103449,19.247322657535165,5.957400000000001e-06
32,24,2,8,85.55,0.005673088727819008,20,41880.0,85152,640,1.916111611161116,53.220000000000006,19.16111611161116,4.444e-06
32,6,2,16,84.49,0.005578966467752772,41,54243.0,108360,1312,1.9076457229371688,33.03658536585366,19.076457229371687,5.6803000000000005e-06
32,7,2,16,85.15,0.005879142986537253,30,43530.0,87792,960,1.9047949663701453,36.58,19.047949663701452,4.609e-06
32,8,2,16,85.54,0.0058051739080438765,27,42633.0,86232,864,1.908083110216184,39.922222222222224,19.080831102161838,4.5193e-06
