NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,BRAM Usage,Simulated Ncycles,Simulated Execution Time (s)
16,48,2,2,85.15,0.0056469142380656,38,41344.0,78128,1824,1.779518950437318,6.425,6.425,1.216e-05,132,20,1881,1.254e-05
16,56,2,2,85.3,0.0057588990286043,32,38912.0,73984,1792,1.7839506172839505,6.192857142857143,6.192857142857143,1.1946666666666665e-05,132,20,1843,1.2286666666666667e-05
16,64,2,2,85.15,0.0058086764915303,29,38976.0,74472,1856,1.7929506933744221,6.01875,6.01875,1.2373333333333334e-05,132,20,1904,1.2693333333333333e-05
16,72,2,2,85.32,0.0059191395417885,25,36800.0,70600,1800,1.79369918699187,5.883333333333333,5.883333333333333,1.2000000000000002e-05,132,20,1844,1.2293333333333333e-05
16,88,2,2,85.22999999999999,0.0056670915026165,28,48384.0,93408,2464,1.8335427135678393,5.686363636363636,5.686363636363636,1.6426666666666666e-05,132,20,2511,1.674e-05
16,14,2,8,85.47,0.0059745642074978,35,41930.0,80920,560,1.8188356934142504,21.675,18.188356934142504,4.449e-06,192,32,614,4.093333333333334e-06
16,18,2,8,85.74000000000001,0.0059600742768802,28,40712.0,79072,504,1.8273248289887225,23.53333333333333,18.273248289887224,4.3272e-06,192,32,553,3.686666666666667e-06
16,10,2,16,85.36,0.0054069630243721,38,60002.0,117040,608,1.8707841820913653,28.875,18.707841820913654,6.2561999999999995e-06,272,48,662,4.413333333333333e-06
16,11,2,16,85.38,0.005162115639755,40,68280.0,133440,640,1.8836815358554488,31.275,18.83681535855449,7.084e-06,272,48,697,4.6466666666666665e-06
16,4,2,32,85.28,0.005938742654363,34,44931.0,87312,544,1.8384957149775747,24.075,18.384957149775747,4.749099999999999e-06,432,80,589,3.926666666666667e-06
16,5,2,32,85.33,0.0059528909228866,27,42592.5,83160,432,1.8417584851337134,28.875,18.417584851337136,4.51525e-06,432,80,471,3.14e-06
16,2,2,64,85.26,0.0058044181547016,38,50188.5,97584,608,1.8499862555333326,24.075,18.499862555333326,5.27485e-06,752,144,656,4.3733333333333335e-06
24,48,2,2,85.6,0.0059493810061711,25,30400.0,57800,1200,1.7536407766990292,7.225,7.225,8e-06,132,20,1252,8.346666666666668e-06
24,56,2,2,85.25,0.0059071716518683,23,30912.0,59064,1288,1.7645793499043978,6.878571428571428,6.878571428571428,8.586666666666669e-06,132,20,1338,8.92e-06
24,72,2,2,85.32,0.0058267831574729,21,33600.0,64680,1512,1.788716814159292,6.416666666666667,6.416666666666667,1.008e-05,132,20,1560,1.04e-05
24,80,2,2,85.48,0.0057019984315891,22,38016.0,73392,1760,1.8087539432176656,6.255,6.255,1.1733333333333333e-05,132,20,1809,1.206e-05
24,88,2,2,85.37,0.0055341399762345,24,44544.0,86208,2112,1.830163043478261,6.122727272727273,6.122727272727273,1.408e-05,132,20,2163,1.442e-05
24,12,2,8,85.47,0.0059788089802823,32,38336.0,73984,768,1.8090766823161188,14.45,14.45,5.12e-06,192,32,817,5.4466666666666665e-06
24,14,2,8,85.41,0.0057370790748198,33,43758.0,84744,792,1.829612677576752,16.05,16.05,5.28e-06,192,32,844,5.6266666666666664e-06
24,16,2,8,85.3,0.0054578978267477,35,50890.0,98840,840,1.8492048643592143,17.65,17.65,5.6e-06,192,32,896,5.9733333333333335e-06
24,18,2,8,85.46000000000001,0.0058496472239802,24,37968.0,73920,576,1.8239242005527043,19.25,18.239242005527043,4.0528e-06,192,32,623,4.153333333333333e-06
24,20,2,8,85.39,0.0058545013698554,22,37620.0,73392,528,1.8265803882528622,20.85,18.265803882528623,4.0179999999999995e-06,192,32,575,3.833333333333334e-06
24,22,2,8,85.18,0.0055765193199789,24,44112.0,86208,576,1.847103188207062,22.45,18.47103188207062,4.667200000000001e-06,192,32,627,4.18e-06
24,6,2,16,85.7,0.0059494220674784,34,40630.0,78608,816,1.8200509377170642,14.45,14.45,5.44e-06,272,48,862,5.746666666666667e-06
24,7,2,16,85.2,0.0059866716959434,29,38367.0,74472,696,1.8196300730569062,16.05,16.05,4.64e-06,272,48,738,4.92e-06
24,8,2,16,85.16,0.0055758408325513,34,49334.0,96016,816,1.8502331676108992,17.65,17.65,5.44e-06,272,48,864,5.76e-06
24,9,2,16,85.2,0.0053917778845019,34,53686.0,104720,816,1.8618212850691604,19.25,18.618212850691606,5.6245999999999995e-06,272,48,865,5.766666666666667e-06
24,10,2,16,85.3,0.0052796886400476,33,56331.0,110088,792,1.8693518534241225,20.85,18.693518534241225,5.8891e-06,272,48,841,5.606666666666667e-06
