NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
16,48,2,2,85.16,0.005535519169139,25,42512.0,51400,1200,1.140397586084487,6.425,6.425,8e-06,160,1244,8.293333333333334e-06,32
16,56,2,2,85.3,0.0055127336172753,23,43952.0,53176,1288,1.1432748538011697,6.192857142857143,6.192857142857143,8.586666666666667e-06,160,1330,8.866666666666666e-06,32
16,64,2,2,85.15,0.0054402679662143,22,47280.0,56496,1408,1.1335473515248795,6.01875,6.01875,9.386666666666666e-06,160,1449,9.66e-06,32
16,72,2,2,85.16,0.0056986949872207,19,42368.0,53656,1368,1.1942663817663817,5.883333333333333,5.883333333333333,9.12e-06,160,1406,9.373333333333334e-06,32
16,80,2,2,85.32,0.0052343552371651,24,58000.0,73920,1920,1.2206076618229855,5.775,5.775,1.28e-05,160,1963,1.3086666666666666e-05,32
16,88,2,2,85.50999999999999,0.0057230174360419,18,46368.0,60048,1584,1.2272727272727273,5.686363636363636,5.686363636363636,1.0560000000000002e-05,160,1621,1.0806666666666666e-05,32
16,96,2,2,85.27,0.0056494032996059,19,52592.0,68248,1824,1.2374528575572963,5.6125,5.6125,1.216e-05,160,1862,1.2413333333333334e-05,32
16,12,2,8,85.2,0.0054491713211358,32,55519.0,65792,512,1.132801873310491,19.275,11.32801873310491,5.8079e-06,400,561,3.74e-06,80
16,14,2,8,85.24000000000001,0.005775243947836,24,45076.0,55488,384,1.1648333193383156,21.675,11.648333193383156,4.7636000000000004e-06,400,427,2.846666666666667e-06,80
16,16,2,8,85.22,0.0056276272287733,24,49293.0,61632,384,1.1885908240603245,24.075,11.885908240603245,5.185299999999999e-06,400,429,2.86e-06,80
16,18,2,8,85.3,0.0054876768902498,23,54061.0,64952,414,1.1471362215432437,23.53333333333333,11.471362215432437,5.6620999999999995e-06,400,458,3.0533333333333335e-06,80
16,20,2,8,85.45,0.005796369423969,19,44783.0,58520,380,1.2360855881545318,23.1,12.36085588154532,4.734299999999999e-06,400,420,2.8e-06,80
16,22,2,8,85.99,0.0059546199368304,17,40816.0,56712,374,1.3074511250461085,22.745454545454542,13.074511250461086,4.3376e-06,400,412,2.7466666666666665e-06,80
16,24,2,8,85.27,0.0056494032996059,19,52079.0,68248,456,1.2490711762660371,22.45,12.490711762660371,5.4638999999999995e-06,400,496,3.3066666666666666e-06,80
16,6,2,16,85.67,0.0059660882660954,27,43816.5,55512,432,1.196985542246612,19.275,11.96985542246612,4.6376499999999995e-06,720,471,3.14e-06,144
16,8,2,16,85.24000000000001,0.0057674965112552,24,47244.0,61632,384,1.237490964581158,24.075,12.37490964581158,4.980400000000001e-06,720,422,2.8133333333333332e-06,144
16,9,2,16,85.22,0.0052367278080432,28,64751.0,79072,448,1.1747262705947021,26.475,11.747262705947021,6.731100000000001e-06,720,491,3.2733333333333335e-06,144
16,11,2,16,85.24000000000001,0.0055257250553041,22,53466.5,73392,352,1.3099515407887339,31.275,13.099515407887338,5.6026500000000005e-06,720,391,2.6066666666666666e-06,144
16,12,2,16,85.27,0.0056494032996059,19,51993.5,68248,304,1.2510288065843622,33.675,12.510288065843621,5.45535e-06,720,341,2.2733333333333333e-06,144
16,3,2,32,85.2,0.0053150584003163,37,67328.0,76072,592,1.0884844322344323,19.275,10.884844322344323,6.988799999999999e-06,1360,639,4.26e-06,272
16,4,2,32,85.15,0.0058833025917393,23,44579.0,59064,368,1.2529752434290078,24.075,12.529752434290078,4.713900000000001e-06,1360,402,2.68e-06,272
16,5,2,32,85.28,0.0054476043554971,24,57951.5,73920,384,1.2215859795245532,28.875,12.215859795245532,6.05115e-06,1360,420,2.8e-06,272
16,6,2,32,85.27,0.0056494032996059,19,51950.75,68248,304,1.2520099246478906,33.675,12.520099246478907,5.451075e-06,1360,336,2.24e-06,272
24,48,2,2,85.16,0.0053966490870462,22,42736.0,50864,1056,1.1229247615683504,7.225,7.225,7.04e-06,160,1105,7.366666666666667e-06,32
24,56,2,2,85.33,0.0054525001216224,19,41280.0,48792,1064,1.112956204379562,6.878571428571428,6.878571428571428,7.093333333333334e-06,160,1110,7.4e-06,32
24,64,2,2,85.36,0.0056234222464526,17,37264.0,48008,1088,1.2055042185616713,6.61875,6.61875,7.253333333333333e-06,160,1132,7.546666666666667e-06,32
24,72,2,2,85.28,0.0059582547220475,14,31024.0,43120,1008,1.2839447355883755,6.416666666666667,6.416666666666667,6.72e-06,160,1049,6.993333333333333e-06,32
24,80,2,2,85.24000000000001,0.0058292468953358,15,35248.0,50040,1200,1.3235294117647058,6.255,6.255,8e-06,160,1242,8.28e-06,32
24,88,2,2,85.17,0.0054601495952012,17,46144.0,61064,1496,1.2537779237844942,6.122727272727273,6.122727272727273,9.973333333333332e-06,160,1540,1.0266666666666666e-05,32
24,96,2,2,85.3,0.0057013967468396,15,42448.0,57720,1440,1.2824386775684322,6.0125,6.0125,9.6e-06,160,1482,9.88e-06,32
24,12,2,8,85.36,0.0057751330494808,22,41514.0,50864,528,1.1540590824522394,14.45,11.540590824522393,4.4074e-06,400,567,3.78e-06,80
24,14,2,8,85.21,0.0054653949256865,24,49293.0,61632,576,1.1885908240603245,16.05,11.885908240603245,5.185299999999999e-06,400,619,4.126666666666666e-06,80
