NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage
16,48,2,2,85.42999999999999,0.0048076766071895,20,67168.0,44192,960.0,0.6337769619091326,18.41333333333333,6.3377696190913255,6.972800000000001e-06,248
16,56,2,2,85.25,0.0055659098228431,13,45408.0,33128,728.0,0.6906270847231488,18.2021978021978,6.906270847231488,4.7968e-06,248
16,64,2,2,85.22999999999999,0.0053774333296803,14,52272.0,39024,896.0,0.711701196381675,17.42142857142857,7.11701196381675,5.4831999999999994e-06,248
16,72,2,2,85.17,0.0056038315255887,12,47184.0,36960,864.0,0.7430041814088131,17.111111111111114,7.430041814088131,4.974399999999999e-06,248
16,80,2,2,85.48,0.0056857034336892,12,47424.0,40032,960.0,0.8008962868117798,16.68,8.008962868117798,4.9983999999999994e-06,248
16,88,2,2,85.33,0.005742103092038,11,48688.0,39768,968.0,0.7759912581954418,16.43305785123967,7.759912581954418,5.1248000000000005e-06,248
16,96,2,2,85.22,0.0052458928425709,14,67936.0,53360,1344.0,0.7569223785746709,15.88095238095238,7.569223785746709,7.049599999999999e-06,248
16,12,2,8,85.33,0.0054002936669158,20,62401.0,44192,320.0,0.6802850941334031,55.24,6.802850941334031,6.4961e-06,536
16,14,2,8,85.42,0.0057493509578199,15,51201.0,37752,240.0,0.7022190807462659,62.92000000000001,7.02219080746266,5.376099999999999e-06,536
16,16,2,8,85.33,0.0059516057594364,12,43086.0,33888,224.0,0.7424089734040222,60.51428571428571,7.424089734040223,4.5645999999999995e-06,536
16,18,2,8,85.21,0.0059962008004096,12,41622.0,36960,224.0,0.8365397673260604,66.0,8.365397673260604,4.4181999999999995e-06,536
16,20,2,8,85.22999999999999,0.0053636789195641,14,60898.0,46192,280.0,0.7279145261432759,65.98857142857142,7.279145261432759,6.3458e-06,536
16,22,2,8,85.19,0.0054529387225524,13,59146.0,46440,286.0,0.7526010436586393,64.95104895104895,7.526010436586393,6.170600000000001e-06,536
16,24,2,8,85.22,0.0052458928425709,14,67270.0,53360,336.0,0.7641414864671344,63.52380952380952,7.641414864671344,6.983e-06,536
16,6,2,16,85.42999999999999,0.0059549347763603,18,47151.0,40080,288.0,0.8062601838627266,55.666666666666664,8.062601838627266,4.9711e-06,920
16,7,2,16,85.19,0.005895286715275,15,48744.5,37752,240.0,0.7358418852147472,62.92000000000001,7.358418852147473,5.13045e-06,920
16,8,2,16,85.21,0.0056887852891587,15,54702.0,41592,240.0,0.7263455694876183,69.32,7.263455694876183,5.7262e-06,920
16,9,2,16,85.2,0.0059908887600194,12,43663.5,36960,224.0,0.7995932804742176,66.0,7.995932804742177,4.622350000000001e-06,920
16,10,2,16,85.2,0.0055875538944061,12,55302.5,40032,224.0,0.6918470511989631,71.4857142857143,6.91847051198963,5.78625e-06,920
16,11,2,16,85.39,0.0054392199063321,14,59073.0,49776,224.0,0.807619294858274,88.88571428571429,8.07619294858274,6.163299999999999e-06,920
16,12,2,16,85.22,0.0052458928425709,14,67159.0,53360,224.0,0.7653580802937506,95.28571428571428,7.653580802937507,6.971899999999999e-06,920
16,3,2,32,85.28999999999999,0.0059875075560961,18,45533.25,40080,288.0,0.8333809838178955,55.666666666666664,8.333809838178954,4.809325e-06,1688
16,4,2,32,85.6,0.0058545332900458,16,49513.0,44160,256.0,0.8480402511858353,69.0,8.480402511858353,5.2073e-06,1688
16,5,2,32,85.41,0.0055935307670757,13,56054.0,43112,224.0,0.7355239362609616,76.9857142857143,7.355239362609616,5.8613999999999995e-06,1688
16,6,2,32,85.22,0.0052458928425709,14,67103.5,53360,224.0,0.7659678310736613,95.28571428571428,7.659678310736613,6.96635e-06,1688
16,2,2,64,85.24000000000001,0.0059117332578595,15,48163.75,41592,240.0,0.8199709209196875,69.32,8.199709209196875,5.072375e-06,3224
16,3,2,64,85.22,0.0052458928425709,14,67075.75,53360,224.0,0.766273070944163,95.28571428571428,7.66273070944163,6.9635750000000005e-06,3224
16,1,2,192,85.22,0.0052458928425709,14,67057.25,53360,224.0,0.7664766993812596,95.28571428571428,7.664766993812596,6.961725000000001e-06,9368
24,48,2,2,85.3,0.0057408305508796,12,35312.0,30816,576.0,0.8136882129277566,21.4,8.136882129277566,3.7872e-06,248
24,56,2,2,85.37,0.0058747153570678,10,32464.0,28752,560.0,0.8209227957971676,20.537142857142857,8.209227957971677,3.5023999999999997e-06,248
24,64,2,2,85.47,0.0058370656830422,10,34160.0,31312,640.0,0.852723311546841,19.57,8.52723311546841,3.672e-06,248
24,72,2,2,85.22,0.0058266661950108,9,35568.0,30792,648.0,0.807595467897608,19.00740740740741,8.07595467897608,3.8128e-06,248
24,80,2,2,85.56,0.0055517480223739,10,43568.0,36432,800.0,0.7898022892819979,18.216,7.898022892819979,4.6128e-06,248
24,88,2,2,85.61,0.0054524824855871,10,48656.0,38992,880.0,0.7613245860668542,17.723636363636363,7.613245860668542,5.121599999999999e-06,248
24,96,2,2,85.78,0.005474798149626,10,51072.0,41552,960.0,0.7747613365155132,17.313333333333333,7.747613365155131,5.3632e-06,248
24,12,2,8,85.50999999999999,0.0058581221389727,13,42392.0,33128,312.0,0.7369638725751914,42.47179487179488,7.369638725751914,4.4952e-06,536
24,14,2,8,85.53,0.0058483149160127,12,41145.0,33888,288.0,0.7753803912595812,47.06666666666667,7.753803912595813,4.3705e-06,536
24,16,2,8,85.28,0.0058976900350227,11,38035.0,34136,264.0,0.8408917354353984,51.721212121212126,8.408917354353985,4.0595e-06,536
24,18,2,8,85.39999999999999,0.0058658616744921,10,38295.0,33872,240.0,0.8290784481703586,56.453333333333326,8.290784481703586,4.0855e-06,536
24,22,2,8,85.2,0.0058672289275443,8,39988.0,31808,224.0,0.7475792046629689,56.8,7.475792046629689,4.2548e-06,536
24,24,2,8,85.78,0.005474798149626,10,50604.0,41552,240.0,0.7815815213302234,69.25333333333333,7.815815213302234,5.3164000000000005e-06,536
24,6,2,16,85.38,0.0058924511370262,15,43511.0,37752,360.0,0.8194308784267761,41.946666666666665,8.194308784267761,4.6070999999999995e-06,920
24,7,2,16,85.26,0.0058894329912247,13,42373.5,36456,312.0,0.811332302179888,46.738461538461536,8.11332302179888,4.493350000000001e-06,920
24,8,2,16,85.39999999999999,0.0059624853504389,11,39374.5,34136,264.0,0.8140314061214513,51.721212121212126,8.140314061214513,4.19345e-06,920
24,9,2,16,85.36,0.0058661764409395,10,40542.0,33872,240.0,0.785856804788641,56.453333333333326,7.8585680478864095,4.3102e-06,920
24,10,2,16,85.7,0.0058295579030349,10,40520.0,36432,240.0,0.8456824512534818,60.720000000000006,8.45682451253482,4.308e-06,920
24,11,2,16,85.37,0.0058563393703542,9,39954.0,35400,224.0,0.8326668862021922,63.21428571428571,8.326668862021922,4.2514e-06,920
24,12,2,16,85.78,0.005474798149626,10,50526.0,41552,240.0,0.7827299099574275,69.25333333333333,7.827299099574275,5.3086e-06,920
24,3,2,32,85.26,0.0059496296959644,14,42262.0,35440,336.0,0.7906831466690465,42.19047619047619,7.906831466690464,4.4822e-06,1688
24,4,2,32,85.67,0.0058689789773836,12,42200.25,36960,288.0,0.825732653414581,51.333333333333336,8.257326534145811,4.476024999999999e-06,1688
24,5,2,32,85.61,0.0057947508983574,10,42157.5,36432,240.0,0.8147145971934925,60.720000000000006,8.147145971934926,4.47175e-06,1688
24,6,2,32,85.78,0.005474798149626,10,50487.0,41552,240.0,0.7833053707089939,69.25333333333333,7.833053707089938,5.304700000000001e-06,1688
24,2,2,64,85.48,0.0054825336920687,14,52867.75,42608,336.0,0.768712422928948,50.72380952380953,7.687124229289481,5.542775e-06,3224
24,3,2,64,85.78,0.005474798149626,10,50467.5,41552,240.0,0.783593418509264,69.25333333333333,7.83593418509264,5.302750000000001e-06,3224
24,1,2,192,85.78,0.005474798149626,10,50454.5,41552,240.0,0.7837855680992936,69.25333333333333,7.837855680992936,5.30145e-06,9368
32,48,2,2,85.28,0.0057964602097675,10,34432.0,28752,480.0,0.7772491349480969,23.96,7.772491349480969,3.6992e-06,248
32,56,2,2,85.38,0.005816816495451,9,34128.0,28488,504.0,0.7764936764064544,22.60952380952381,7.764936764064544,3.6688e-06,248
32,64,2,2,85.33,0.0056020034053768,9,39488.0,30792,576.0,0.7323059360730594,21.383333333333336,7.323059360730594,4.2048e-06,248
32,72,2,2,85.33,0.0054869425277516,9,43536.0,33096,648.0,0.7179798681013537,20.42962962962963,7.179798681013537,4.609600000000001e-06,248
32,80,2,2,85.19,0.0054220511402448,9,46800.0,35400,720.0,0.7171799027552674,19.666666666666664,7.171799027552675,4.936e-06,248
32,88,2,2,85.31,0.0053839771834713,9,50064.0,37704,792.0,0.7164791730009121,19.042424242424243,7.164791730009121,5.262400000000001e-06,248
32,96,2,2,85.28999999999999,0.0053707562726409,9,53328.0,40008,864.0,0.7158602920125966,18.522222222222226,7.158602920125966,5.588800000000001e-06,248
32,12,2,8,85.17,0.0059044151267517,13,39883.0,36456,416.0,0.8589402257144877,35.05384615384616,8.589402257144878,4.244299999999999e-06,536
32,14,2,8,85.18,0.0058421573910342,11,41590.0,34136,352.0,0.7731823329558324,38.790909090909096,7.731823329558324,4.415e-06,536
32,16,2,8,85.33,0.0058014823965023,10,40620.0,33872,320.0,0.7844372394627143,42.34,7.844372394627142,4.318e-06,536
32,18,2,8,85.44,0.0059847321616368,9,35526.0,33096,288.0,0.8689807278264979,45.96666666666667,8.68980727826498,3.8086e-06,536
32,20,2,8,85.69,0.0058228820263994,9,39117.0,35400,288.0,0.8493893514408427,49.16666666666667,8.493893514408427,4.1677e-06,536
32,22,2,8,85.25,0.0055264700938967,9,47671.0,37704,288.0,0.750612171766439,52.36666666666667,7.50612171766439,5.0231e-06,536
32,24,2,8,85.28999999999999,0.0053707562726409,9,52869.0,40008,288.0,0.721788233596132,55.56666666666666,7.21788233596132,5.542900000000001e-06,536
32,6,2,16,85.25,0.0059241814964129,14,43696.5,39024,448.0,0.8436435960351518,34.84285714285714,8.436435960351519,4.6256499999999995e-06,920
32,7,2,16,85.28,0.0057327920005416,12,46501.5,36960,384.0,0.7533401954689523,38.5,7.533401954689523,4.90615e-06,920
32,8,2,16,85.21,0.0057363572327031,11,45215.0,36952,352.0,0.7734589220303506,41.99090909090909,7.734589220303506,4.7775e-06,920
32,9,2,16,85.64,0.0058378420654399,10,40520.0,36432,320.0,0.8456824512534818,45.54,8.45682451253482,4.308e-06,920
32,10,2,16,85.36,0.0059049569651386,9,38151.0,35400,288.0,0.8695438579253765,49.16666666666667,8.695438579253764,4.0711e-06,920
