NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
16,48,2,2,85.22,0.0054506711127752,12,51072.0,24576,576,0.45823389021479716,6.4,4.5823389021479715,5.3632e-06,160,607,4.046666666666666e-06,32
16,56,2,2,85.22999999999999,0.0054033480471244,11,52448.0,25344,616,0.4607329842931937,6.171428571428572,4.607329842931937,5.5008e-06,160,646,4.306666666666666e-06,32
16,64,2,2,85.17,0.0047714559595569,14,73920.0,35840,896,0.4686192468619247,6.0,4.686192468619247,7.648e-06,160,929,6.193333333333333e-06,32
16,72,2,2,85.21,0.0051433010157085,11,63712.0,30976,792,0.4674070497344278,5.866666666666667,4.674070497344278,6.6272e-06,160,822,5.48e-06,32
16,80,2,2,85.15,0.0054573916742068,9,56736.0,27648,720,0.4662709120345386,5.76,4.662709120345386,5.9296e-06,160,748,4.986666666666667e-06,32
16,88,2,2,85.31,0.0048227351898078,12,81792.0,39936,1056,0.47344461305007585,5.672727272727273,4.734446130500759,8.4352e-06,160,1087,7.246666666666667e-06,32
16,96,2,2,85.26,0.004987479103292,11,80608.0,39424,1056,0.474028472489419,5.6,4.74028472489419,8.316800000000001e-06,160,1086,7.24e-06,32
16,12,2,8,85.65,0.0059098367271241,12,50208.0,24576,192,0.46573681018799273,19.2,4.657368101879928,5.276799999999999e-06,400,221,1.4733333333333333e-06,80
16,14,2,8,85.27,0.0059701603946255,10,46960.0,23040,160,0.46526655896607433,21.6,4.652665589660743,4.952e-06,400,189,1.26e-06,80
16,16,2,8,85.34,0.0050165540535382,15,78120.0,38400,240,0.47595438770451165,24.0,4.759543877045116,8.068e-06,400,276,1.84e-06,80
16,18,2,8,85.25,0.0059618196095039,8,45760.0,22528,144,0.46622516556291393,23.46666666666667,4.66225165562914,4.831999999999999e-06,400,173,1.1533333333333332e-06,80
16,20,2,8,85.21,0.0050583066749826,12,74784.0,36864,240,0.47662391394290443,23.04,4.766239139429044,7.7344e-06,400,273,1.82e-06,80
16,22,2,8,85.18,0.0050846564811427,11,74184.0,36608,242,0.4770144897320963,22.69090909090909,4.7701448973209635,7.674399999999999e-06,400,274,1.8266666666666666e-06,80
16,24,2,8,85.26,0.004987479103292,11,79816.0,39424,264,0.4785859959211421,22.4,4.785859959211421,8.2376e-06,400,296,1.9733333333333332e-06,80
16,6,2,16,85.19,0.0055496710525865,16,66752.0,32768,256,0.4727608494921514,19.2,4.7276084949215145,6.9312e-06,720,284,1.8933333333333333e-06,144
16,7,2,16,85.2,0.0057954851741463,12,56208.0,27648,192,0.47046011434794444,21.6,4.704601143479445,5.8768e-06,720,217,1.4466666666666667e-06,144
16,8,2,16,85.22999999999999,0.0055337972812779,12,62352.0,30720,192,0.47325610056692136,24.0,4.732561005669213,6.491200000000001e-06,720,218,1.4533333333333333e-06,144
16,9,2,16,85.42,0.0056518397883681,10,57080.0,28160,160,0.4721663313212609,26.4,4.721663313212609,5.964e-06,720,185,1.2333333333333333e-06,144
16,10,2,16,85.26,0.0056711311673375,9,55980.0,27648,144,0.47229244960710626,28.8,4.722924496071062,5.854e-06,720,169,1.1266666666666667e-06,144
16,11,2,16,85.36,0.0051232103955713,11,74052.0,36608,176,0.47783637028141807,31.2,4.778363702814181,7.6612e-06,720,204,1.36e-06,144
16,12,2,16,85.26,0.004987479103292,11,79684.0,39424,176,0.4793541170176548,33.6,4.793541170176548,8.2244e-06,720,205,1.3666666666666666e-06,144
16,3,2,32,85.48,0.0059485480555836,13,54158.0,26624,208,0.46941006382453543,19.2,4.694100638245354,5.6718000000000005e-06,1360,231,1.54e-06,272
16,4,2,32,85.49,0.0059174651825029,10,51900.0,25600,160,0.4700697759823724,24.0,4.700697759823724,5.446e-06,1360,181,1.2066666666666666e-06,272
16,5,2,32,85.15,0.0059096486721966,8,49712.0,24576,128,0.4701561065197429,28.8,4.701561065197429,5.2272e-06,1360,148,9.866666666666666e-07,272
16,6,2,32,85.26,0.004987479103292,11,79618.0,39424,176,0.47973910292292343,33.6,4.797391029229234,8.2178e-06,1360,200,1.3333333333333334e-06,272
16,2,2,64,85.22,0.0052047065674039,15,77805.0,38400,240,0.4778199464941206,24.0,4.778199464941205,8.036500000000002e-06,2640,265,1.7666666666666668e-06,528
16,3,2,64,85.26,0.004987479103292,11,79585.0,39424,176,0.47993182786536004,33.6,4.7993182786536,8.2145e-06,2640,198,1.32e-06,528
16,1,2,192,85.26,0.004987479103292,11,79563.0,39424,176,0.48006039720906446,33.6,4.800603972090645,8.2123e-06,7760,198,1.32e-06,1552
24,48,2,2,85.54,0.0059475675135243,7,33376.0,16128,336,0.44879786286731965,7.2,4.487978628673196,3.5936e-06,160,370,2.4666666666666666e-06,32
