NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
16,48,2,2,85.09,0.005851933593553283,10,42560.0,23632,480.0,0.5237588652482269,19693333333.333332,2618794326.2411346,9.024e-06
16,56,2,2,85.15,0.005848171543698681,9,42912.0,23880,504.0,0.525158339197748,18952380952.38095,2625791695.98874,9.0944e-06
16,64,2,2,84.82,0.005934135459382161,8,42240.0,23616,512.0,0.5271428571428571,18450000000.0,2635714285.714286,8.959999999999999e-06
16,72,2,2,84.83000000000001,0.005826340115594351,8,46336.0,25664,576.0,0.524869109947644,17822222222.22222,2624345549.73822,9.7792e-06
16,80,2,2,84.82,0.005756345133750112,8,50432.0,27712,640.0,0.5229468599033816,17320000000.0,2614734299.516908,1.05984e-05
16,88,2,2,85.1,0.005971332336383825,7,47712.0,26424,616.0,0.5256206238064927,17158441558.441559,2628103119.032463,1.0054400000000002e-05
16,96,2,2,85.14,0.005958829691910591,7,51296.0,28216,672.0,0.5239156268568034,16795238095.238096,2619578134.284017,1.0771199999999998e-05
16,12,2,8,85.54,0.005960785330318849,12,50208.0,27744,224.0,0.5257731958762887,49542857142.85715,2628865979.3814435,1.0553599999999998e-05
16,14,2,8,84.99,0.005886743797543927,11,51656.0,28504,224.0,0.5257488564261472,50900000000.0,2628744282.130736,1.0843200000000001e-05
16,16,2,8,84.98,0.005842594361704336,10,52080.0,28752,224.0,0.526207906295754,51342857142.85715,2631039531.47877,1.0928000000000001e-05
16,18,2,8,85.22999999999999,0.005845405945933191,9,51480.0,28488,224.0,0.5271650629163582,50871428571.42857,2635825314.581791,1.0808000000000002e-05
16,20,2,8,85.25,0.0059102145752773175,8,49856.0,27712,224.0,0.5286935286935287,49485714285.71429,2643467643.4676437,1.0483199999999998e-05
16,22,2,8,85.07000000000001,0.005787536747005644,8,53952.0,29760,224.0,0.5266138165345413,53142857142.85715,2633069082.6727066,1.13024e-05
16,24,2,8,85.14,0.005958829691910591,7,50792.0,28216,224.0,0.5288648972859499,50385714285.71429,2644324486.4297495,1.06704e-05
