NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
16,48,2,2,86.22,0.00597880565909561,14,25984.0,15644,672.0,0.5480661434977578,9.311904761904762,5.480661434977579,2.8543999999999997e-06
16,56,2,2,85.94000000000001,0.005935259007655954,13,25792.0,15578,728.0,0.5494497742663657,8.55934065934066,5.494497742663657,2.8352000000000004e-06
16,64,2,2,86.14,0.005915123264536704,12,25344.0,15384,768.0,0.5513188073394495,8.0125,5.513188073394495,2.7904e-06
16,72,2,2,85.75,0.0059537488676130925,11,24640.0,15062,792.0,0.55375,7.607070707070708,5.5375,2.72e-06
16,80,2,2,85.94000000000001,0.005898151481230965,11,26048.0,15766,880.0,0.5511045861297539,7.166363636363636,5.511045861297539,2.8607999999999998e-06
16,88,2,2,85.66,0.005987069777087178,10,24960.0,15252,880.0,0.5542151162790697,6.932727272727273,5.542151162790697,2.7520000000000005e-06
16,96,2,2,85.8,0.00597511688670279,10,26240.0,15892,960.0,0.5518055555555555,6.621666666666667,5.518055555555556,2.88e-06
16,12,2,8,85.85000000000001,0.0059404399519901955,18,33084.0,19236,288.0,0.5396700706991359,26.71666666666667,5.396700706991359,3.5644e-06
16,14,2,8,85.84,0.005941373733471953,16,31456.0,18464,256.0,0.5428033866415805,28.85,5.428033866415804,3.4016e-06
16,16,2,8,85.6,0.005972357642209124,14,29316.0,17436,224.0,0.5469946040908521,31.135714285714283,5.469946040908521,3.1875999999999993e-06
16,18,2,8,86.11,0.005926843487580017,13,28886.0,17242,234.0,0.5483050308465306,29.473504273504272,5.483050308465306,3.1445999999999995e-06
16,20,2,8,86.14,0.005907180854802324,12,28200.0,16920,240.0,0.5500650195058517,28.2,5.500650195058517,3.076e-06
16,22,2,8,85.97,0.005916902376709077,11,27258.0,16470,242.0,0.5523509289690791,27.223140495867767,5.523509289690791,2.9817999999999996e-06
16,24,2,8,85.8,0.00597511688670279,10,26060.0,15892,240.0,0.5552760307477289,26.486666666666668,5.552760307477289,2.8619999999999994e-06
16,6,2,16,85.22,0.005990842734859567,19,34865.0,20134,304.0,0.5379826319305278,26.492105263157896,5.379826319305278,3.7424999999999997e-06
16,7,2,16,85.28,0.0059461804299348,17,33371.0,19426,272.0,0.5406473518688597,28.567647058823532,5.406473518688597,3.5931000000000004e-06
16,8,2,16,85.61999999999999,0.005960454415692583,15,31365.0,18462,240.0,0.5442004421518054,30.77,5.442004421518054,3.3925000000000006e-06
16,9,2,16,85.78,0.005984169684190403,13,28847.0,17242,224.0,0.5489858948642022,30.789285714285718,5.489858948642023,3.1407e-06
16,10,2,16,86.22,0.005947968550780651,12,28164.0,16920,224.0,0.5507095430282515,30.21428571428572,5.507095430282515,3.0724e-06
16,11,2,16,85.75,0.005940268591336962,11,27225.0,16470,224.0,0.5529629007889878,29.41071428571428,5.529629007889878,2.9784999999999995e-06
16,12,2,16,85.8,0.00597511688670279,10,26030.0,15892,224.0,0.5558586918502973,28.378571428571426,5.558586918502973,2.859e-06
16,3,2,32,85.82,0.005965096156674999,20,36670.0,21032,320.0,0.5361203160846291,26.289999999999996,5.361203160846291,3.923e-06
16,4,2,32,85.84,0.005972887809807146,15,31342.5,18462,240.0,0.5445616105007005,30.77,5.445616105007005,3.39025e-06
16,5,2,32,86.27,0.005978655464268477,12,28146.0,16920,224.0,0.5510323715234807,30.21428571428572,5.510323715234807,3.0706000000000003e-06
16,6,2,32,85.8,0.00597511688670279,10,26015.0,15892,224.0,0.5561504811898512,28.378571428571426,5.561504811898512,2.8575000000000006e-06
16,2,2,64,85.24000000000001,0.005975752723153953,15,31331.25,18462,240.0,0.5447423745066942,30.77,5.447423745066942,3.389125e-06
16,3,2,64,85.8,0.00597511688670279,10,26007.5,15892,224.0,0.5562964907674806,28.378571428571426,5.562964907674806,2.85675e-06
16,1,2,192,85.8,0.00597511688670279,10,26002.5,15892,224.0,0.5563938730853392,28.378571428571426,5.563938730853391,2.85625e-06
24,48,2,2,85.71,0.005867807939002512,11,26048.0,15766,528.0,0.5511045861297539,11.943939393939393,5.511045861297539,2.8607999999999998e-06
24,56,2,2,85.37,0.005980957466930224,9,22464.0,14034,504.0,0.560821611253197,11.13809523809524,5.60821611253197,2.5023999999999995e-06
24,64,2,2,85.3,0.005861302833522577,9,23616.0,14610,576.0,0.5581448655256723,10.145833333333332,5.5814486552567235,2.6175999999999997e-06
24,72,2,2,85.45,0.00577430996371941,9,24768.0,15186,648.0,0.555693793911007,9.374074074074075,5.55693793911007,2.7328000000000003e-06
24,80,2,2,85.34,0.005712708837734424,9,25920.0,15762,720.0,0.553441011235955,8.756666666666666,5.53441011235955,2.848e-06
24,88,2,2,85.28,0.005676342001108517,9,27072.0,16338,792.0,0.5513633909287257,8.251515151515152,5.513633909287257,2.9632000000000003e-06
24,96,2,2,85.15,0.0056613568162608525,9,28224.0,16914,864.0,0.5494412681912682,7.830555555555556,5.4944126819126815,3.0784e-06
24,12,2,8,85.56,0.005958915715282436,13,30550.0,18074,312.0,0.545877378435518,23.171794871794877,5.45877378435518,3.311e-06
24,14,2,8,85.66,0.005910790624395751,12,29736.0,17688,288.0,0.547683923705722,24.566666666666663,5.47683923705722,3.2296000000000004e-06
24,16,2,8,85.46000000000001,0.005998728128849969,10,26060.0,15892,240.0,0.5552760307477289,26.486666666666668,5.552760307477289,2.8619999999999994e-06
24,18,2,8,85.41,0.005831292008299875,10,27340.0,16532,240.0,0.5529096989966555,27.553333333333335,5.529096989966556,2.9899999999999997e-06
24,20,2,8,85.32,0.005694081337550312,10,28620.0,17172,240.0,0.5507376523412444,28.62,5.507376523412444,3.118e-06
24,22,2,8,85.22,0.005738388193057384,9,26910.0,16338,224.0,0.5543942992874109,29.175,5.5439429928741095,2.947e-06
24,24,2,8,85.15,0.0056613568162608525,9,28062.0,16914,224.0,0.5523479851087454,30.20357142857143,5.523479851087454,3.0621999999999997e-06
24,6,2,16,85.63,0.005955092559407589,14,32858.0,19228,336.0,0.5428877971652832,22.89047619047619,5.428877971652833,3.5417999999999993e-06
24,7,2,16,85.49,0.005984969421303032,12,29700.0,17688,288.0,0.5482951022938624,24.566666666666663,5.482951022938623,3.226e-06
24,8,2,16,85.6,0.005941167571032796,11,28633.0,17174,264.0,0.5505722437726412,26.02121212121212,5.505722437726412,3.1193000000000008e-06
24,9,2,16,85.48,0.005887598946289686,10,27310.0,16532,240.0,0.5534650150652829,27.553333333333335,5.534650150652829,2.987e-06
24,10,2,16,85.26,0.005888991195902797,9,25731.0,15762,224.0,0.5571383125375561,28.146428571428572,5.571383125375561,2.8291e-06
24,11,2,16,85.31,0.005759771264675578,9,26883.0,16338,224.0,0.5549026933396732,29.175,5.549026933396732,2.9443000000000003e-06
