NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s),BRAM Usage
16,72,2,2,85.75,0.005953748867613,11,24640.0,11968,792,0.44,2.2666666666666666,2.2666666666666666,5.28e-06,40,822,5.48e-06,8
16,88,2,2,85.66,0.0059870697770871,10,24960.0,12160,880,0.4418604651162791,2.072727272727273,2.072727272727273,5.866666666666665e-06,40,909,6.06e-06,8
16,96,2,2,85.8,0.0059751168867027,10,26240.0,12800,960,0.4444444444444444,2.0,2.0,6.4e-06,40,989,6.5933333333333335e-06,8
16,12,2,8,85.85000000000001,0.0059404399519901,18,33084.0,16128,1152,0.45247446975648076,2.1,2.1,7.68e-06,100,1139,7.593333333333333e-06,20
16,14,2,8,85.84,0.0059413737334719,16,31456.0,15360,1024,0.451552210724365,2.25,2.25,6.826666666666667e-06,100,1011,6.74e-06,20
16,16,2,8,85.6,0.0059723576422091,14,29316.0,14336,896,0.449742753168528,2.4,2.4,5.973333333333334e-06,100,883,5.8866666666666665e-06,20
16,24,2,8,85.8,0.0059751168867027,10,26060.0,12800,640,0.4472396925227114,3.0,3.0,4.266666666666667e-06,100,631,4.2066666666666665e-06,20
16,6,2,16,85.22,0.0059908427348595,19,34865.0,17024,1216,0.45488309953239814,2.1,2.1,8.106666666666666e-06,180,1199,7.993333333333334e-06,36
16,7,2,16,85.28,0.0059461804299348,17,33371.0,16320,1088,0.45420389079068213,2.25,2.25,7.253333333333333e-06,180,1070,7.133333333333333e-06,36
16,8,2,16,85.61999999999999,0.0059604544156925,15,31365.0,15360,960,0.45276344878408253,2.4,2.4,6.4e-06,180,941,6.273333333333333e-06,36
16,9,2,16,85.78,0.0059841696841904,13,28847.0,14144,832,0.45034546438692014,2.55,2.55,5.546666666666667e-06,180,812,5.413333333333334e-06,36
16,11,2,16,85.75,0.0059402685913369,11,27225.0,13376,704,0.44908510995467515,2.85,2.85,4.693333333333333e-06,180,684,4.56e-06,36
16,12,2,16,85.8,0.0059751168867027,10,26030.0,12800,640,0.44770898915704793,3.0,3.0,4.266666666666667e-06,180,620,4.133333333333333e-06,36
16,3,2,32,85.82,0.0059650961566749,20,36670.0,17920,1280,0.45679327045628343,2.1,2.1,8.533333333333332e-06,340,1262,8.413333333333333e-06,68
16,4,2,32,85.84,0.0059728878098071,15,31342.5,15360,960,0.4530639333382494,2.4,2.4,6.4e-06,340,938,6.253333333333333e-06,68
16,6,2,32,85.8,0.0059751168867027,10,26015.0,12800,640,0.4479440069991251,3.0,3.0,4.266666666666667e-06,340,615,4.1e-06,68
16,2,2,64,85.24000000000001,0.0059757527231539,15,31331.25,15360,960,0.4532143252314388,2.4,2.4,6.4e-06,660,937,6.2466666666666664e-06,132
16,3,2,64,85.8,0.0059751168867027,10,26007.5,12800,640,0.4480616084711648,3.0,3.0,4.266666666666667e-06,660,613,4.086666666666667e-06,132
24,48,2,2,85.71,0.0058678079390025,11,26048.0,12672,1056,0.4429530201342282,1.8,1.8,7.04e-06,40,1046,6.973333333333333e-06,8
24,56,2,2,85.37,0.0059809574669302,9,22464.0,10944,864,0.4373401534526854,1.9,1.9,5.76e-06,40,860,5.733333333333333e-06,8
24,64,2,2,85.3,0.0058613028335225,9,23616.0,11520,864,0.4400977995110024,2.0,2.0,5.76e-06,40,868,5.786666666666667e-06,8
24,72,2,2,85.45,0.0057743099637194,9,24768.0,12096,864,0.4426229508196721,2.1,2.1,5.76e-06,40,876,5.84e-06,8
24,80,2,2,85.34,0.0057127088377344,9,25920.0,12672,864,0.4449438202247191,2.2,2.2,5.759999999999999e-06,40,884,5.893333333333333e-06,8
24,88,2,2,85.28,0.0056763420011085,9,27072.0,13248,864,0.4470842332613391,2.3,2.3,5.76e-06,40,892,5.946666666666667e-06,8
24,96,2,2,85.15,0.0056613568162608,9,28224.0,13824,864,0.4490644490644491,2.4,2.4,5.76e-06,40,900,6e-06,8
24,12,2,8,85.56,0.0059589157152824,13,30550.0,14976,1248,0.45231048021745696,1.8,1.8,8.32e-06,100,1206,8.04e-06,20
24,14,2,8,85.66,0.0059107906243957,12,29736.0,14592,1152,0.45182065890512757,1.9,1.9,7.68e-06,100,1111,7.406666666666666e-06,20
24,16,2,8,85.46000000000001,0.0059987281288499,10,26060.0,12800,960,0.4472396925227114,2.0,2.0,6.4e-06,100,919,6.126666666666667e-06,20
24,18,2,8,85.41,0.0058312920082998,10,27340.0,13440,960,0.44949832775919735,2.1,2.1,6.4e-06,100,921,6.14e-06,20
24,20,2,8,85.32,0.0056940813375503,10,28620.0,14080,960,0.45157152020525976,2.2,2.2,6.399999999999999e-06,100,923,6.1533333333333334e-06,20
24,22,2,8,85.22,0.0057383881930573,9,26910.0,13248,864,0.4495419070240923,2.3,2.3,5.76e-06,100,828,5.52e-06,20
24,24,2,8,85.15,0.0056613568162608,9,28062.0,13824,864,0.4514401410750441,2.4,2.4,5.76e-06,100,830,5.5333333333333334e-06,20
24,6,2,16,85.63,0.0059550925594075,14,32858.0,16128,1344,0.45536168050143994,1.8,1.8,8.96e-06,180,1298,8.653333333333334e-06,36
24,7,2,16,85.49,0.005984969421303,12,29700.0,14592,1152,0.4523248605083695,1.9,1.9,7.68e-06,180,1105,7.366666666666667e-06,36
24,8,2,16,85.6,0.0059411675710327,11,28633.0,14080,1056,0.451383323181483,2.0,2.0,7.04e-06,180,1009,6.726666666666667e-06,36
24,9,2,16,85.48,0.0058875989462896,10,27310.0,13440,960,0.4499497823903582,2.1,2.1,6.4e-06,180,913,6.086666666666666e-06,36
24,10,2,16,85.26,0.0058889911959027,9,25731.0,12672,864,0.44791629846947795,2.2,2.2,5.759999999999999e-06,180,817,5.4466666666666665e-06,36
24,11,2,16,85.31,0.0057597712646755,9,26883.0,13248,864,0.4499541486940869,2.3,2.3,5.76e-06,180,818,5.453333333333333e-06,36
24,12,2,16,85.15,0.0056613568162608,9,28035.0,13824,864,0.4518385357084491,2.4,2.4,5.76e-06,180,819,5.46e-06,36
24,3,2,32,85.42999999999999,0.0057193087511947,17,39873.5,19584,1632,0.46152214641733535,1.8,1.8,1.088e-05,340,1587,1.058e-05,68
24,4,2,32,85.37,0.0059606893520584,11,28616.5,14080,1056,0.45162221545074016,2.0,2.0,7.04e-06,340,1006,6.706666666666666e-06,68
24,5,2,32,85.34,0.0059171152578609,9,25717.5,12672,864,0.4481301388029352,2.2,2.2,5.759999999999999e-06,340,813,5.42e-06,68
24,6,2,32,85.15,0.0056613568162608,9,28021.5,13824,864,0.4520379968281477,2.4,2.4,5.76e-06,340,814,5.426666666666667e-06,68
24,3,2,64,85.15,0.0056613568162608,9,28014.75,13824,864,0.4521377934406659,2.4,2.4,5.76e-06,660,812,5.413333333333334e-06,132
32,48,2,2,85.54,0.0058842437868061,10,28800.0,14080,1280,0.4489795918367347,1.65,1.65,8.533333333333334e-06,40,1245,8.3e-06,8
32,56,2,2,85.35000000000001,0.0058593419787399,9,27072.0,13248,1152,0.4470842332613391,1.725,1.725,7.68e-06,40,1124,7.493333333333333e-06,8
32,64,2,2,85.48,0.005738519119464,9,28224.0,13824,1152,0.4490644490644491,1.8,1.8,7.68e-06,40,1132,7.546666666666667e-06,8
32,72,2,2,85.53,0.00564954606246,9,29376.0,14400,1152,0.45090180360721444,1.875,1.875,7.68e-06,40,1140,7.6e-06,8
32,80,2,2,85.64,0.0055859678007496,9,30528.0,14976,1152,0.4526112185686654,1.95,1.95,7.68e-06,40,1148,7.653333333333333e-06,8
32,88,2,2,85.55,0.00554736428375,9,31680.0,15552,1152,0.4542056074766355,2.025,2.025,7.68e-06,40,1156,7.706666666666667e-06,8
32,96,2,2,85.55,0.005531550161262,9,32832.0,16128,1152,0.45569620253164556,2.1,2.1,7.68e-06,40,1164,7.76e-06,8
32,12,2,8,85.71,0.0059481833726552,12,34344.0,16896,1536,0.4578365488835899,1.65,1.65,1.024e-05,100,1469,9.793333333333333e-06,20
32,14,2,8,85.55,0.0058951188701604,11,32890.0,16192,1408,0.45675599435825104,1.725,1.725,9.386666666666666e-06,100,1342,8.946666666666667e-06,20
32,16,2,8,85.37,0.0058804600835468,10,31180.0,15360,1280,0.45524599881446354,1.8,1.8,8.533333333333334e-06,100,1215,8.1e-06,20
32,18,2,8,85.34,0.005711817878574,10,32460.0,16000,1280,0.4568817818389492,1.875,1.875,8.533333333333334e-06,100,1217,8.113333333333334e-06,20
32,20,2,8,85.33,0.0055688830066891,10,33740.0,16640,1280,0.4584022038567493,1.95,1.95,8.533333333333334e-06,100,1219,8.126666666666666e-06,20
32,22,2,8,85.38,0.0056121568914378,9,31518.0,15552,1152,0.4563648101414402,2.025,2.025,7.68e-06,100,1092,7.28e-06,20
32,24,2,8,85.55,0.005531550161262,9,32670.0,16128,1152,0.4577916548396253,2.1,2.1,7.68e-06,100,1094,7.2933333333333335e-06,20
32,6,2,16,85.53,0.0059419402372545,13,37167.0,18304,1664,0.46074458177058425,1.65,1.65,1.1093333333333334e-05,180,1593,1.062e-05,36
32,8,2,16,85.31,0.0059641120161579,10,31150.0,15360,1280,0.45565114209433405,1.8,1.8,8.533333333333334e-06,180,1208,8.053333333333333e-06,36
32,9,2,16,85.34,0.0057712826496535,10,32430.0,16000,1280,0.45727350671620465,1.875,1.875,8.533333333333334e-06,180,1209,8.06e-06,36
32,10,2,16,85.32,0.0057663005321857,9,30339.0,14976,1152,0.4552114046019636,1.95,1.95,7.68e-06,180,1081,7.2066666666666666e-06,36
32,11,2,16,85.35000000000001,0.0056329699394121,9,31491.0,15552,1152,0.4567266746938416,2.025,2.025,7.68e-06,180,1082,7.2133333333333334e-06,36
32,12,2,16,85.55,0.005531550161262,9,32643.0,16128,1152,0.45814277192284747,2.1,2.1,7.68e-06,180,1083,7.22e-06,36
32,3,2,32,85.26,0.0058964149197284,14,40005.0,19712,1792,0.463103488781863,1.65,1.65,1.1946666666666669e-05,340,1720,1.1466666666666666e-05,68
32,4,2,32,85.28,0.005965745952615,10,31135.0,15360,1280,0.4558539842706633,1.8,1.8,8.533333333333334e-06,340,1205,8.033333333333333e-06,68
32,5,2,32,85.22,0.0056451819508531,10,33695.0,16640,1280,0.4589711763894635,1.95,1.95,8.533333333333334e-06,340,1206,8.04e-06,68
32,6,2,32,85.55,0.005531550161262,9,32629.5,16128,1152,0.4583185325168019,2.1,2.1,7.68e-06,340,1078,7.186666666666667e-06,68
32,2,2,64,85.28,0.0057275052240309,12,37353.0,18432,1536,0.46180442462355625,1.8,1.8,1.024e-05,660,1462,9.746666666666666e-06,132
32,3,2,64,85.55,0.005531550161262,9,32622.75,16128,1152,0.45840646339470337,2.1,2.1,7.68e-06,660,1076,7.173333333333333e-06,132
8,56,4,2,85.17,0.0059714082245917,15,29520.0,14400,840,0.4488778054862843,2.5714285714285716,2.5714285714285716,5.6e-06,60,866,5.773333333333334e-06,12
8,64,4,2,85.24000000000001,0.0059531203067318,14,29344.0,14336,896,0.4493480441323972,2.4,2.4,5.973333333333334e-06,60,921,6.14e-06,12
8,88,4,2,85.28999999999999,0.0057694154886047,14,34720.0,17024,1232,0.45665236051502145,2.072727272727273,2.072727272727273,8.213333333333331e-06,60,1257,8.38e-06,12
8,96,4,2,85.53,0.0057506696559808,14,36512.0,17920,1344,0.45864045864045866,2.0,2.0,8.96e-06,60,1369,9.126666666666667e-06,12
8,12,4,8,85.22,0.0058295720481567,24,43728.0,21504,768,0.464569650881438,4.2,4.2,5.12e-06,120,785,5.233333333333333e-06,24
8,14,4,8,85.37,0.0059381360201449,19,37050.0,18240,608,0.4604897753092653,4.5,4.5,4.053333333333333e-06,120,622,4.146666666666667e-06,24
8,16,4,8,85.58,0.0059324983203006,17,35326.0,17408,544,0.45948371430079715,4.8,4.594837143007972,3.7885999999999996e-06,120,558,3.72e-06,24
