NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
16,48,2,2,84.87,0.005700974749850249,17,31552.0,18338,816.0,0.5375820825515948,8989215686.27451,2687910412.757974,6.822399999999999e-06
16,56,2,2,85.34,0.005914921454366152,13,25792.0,15578,728.0,0.5494497742663657,8559340659.34066,2747248871.331828,5.670400000000001e-06
16,64,2,2,84.89999999999999,0.005923776702888172,12,25344.0,15384,768.0,0.5513188073394495,8012500000.0,2756594036.6972475,5.5808e-06
16,72,2,2,84.91,0.005833122326366169,12,26880.0,16152,864.0,0.5486413043478261,7477777777.777777,2743206521.7391305,5.888e-06
16,80,2,2,84.82,0.005774517333427949,12,28416.0,16920,960.0,0.5462293388429752,7050000000.0,2731146694.214876,6.1951999999999996e-06
16,88,2,2,84.91,0.005742709498186745,12,29952.0,17688,1056.0,0.5440452755905512,6700000000.0,2720226377.952756,6.5024e-06
16,96,2,2,84.85000000000001,0.005730888836038622,12,31488.0,18456,1152.0,0.5420582706766918,6408333333.333333,2710291353.3834586,6.8096e-06
16,12,2,8,84.99,0.005827133379607809,20,36760.0,21032,320.0,0.5348931841302136,26289999999.999996,2674465920.6510677,7.864000000000001e-06
16,14,2,8,85.03,0.005921692676548151,16,31456.0,18464,256.0,0.5428033866415805,28850000000.0,2714016933.2079024,6.8031999999999995e-06
16,16,2,8,84.99,0.005951589092487794,14,29316.0,17436,224.0,0.5469946040908521,31135714285.714283,2734973020.4542603,6.3751999999999995e-06
16,18,2,8,84.97,0.0059099327633551964,13,28886.0,17242,234.0,0.5483050308465306,29473504273.504272,2741525154.232653,6.289199999999999e-06
16,20,2,8,84.87,0.005781385552988363,13,30550.0,18074,260.0,0.545877378435518,27806153846.153847,2729386892.17759,6.622e-06
16,22,2,8,84.81,0.005677800047866289,13,32214.0,18906,286.0,0.5436820613101743,26441958041.958042,2718410306.5508714,6.9548e-06
16,24,2,8,84.85000000000001,0.005730888836038622,12,31272.0,18456,288.0,0.5455190352329156,25633333333.333332,2727595176.164578,6.7664e-06
16,6,2,16,85.25,0.005998188157825864,19,34865.0,20134,304.0,0.5379826319305278,26492105263.157894,2689913159.652639,7.4849999999999995e-06
16,7,2,16,84.88,0.005901076290493462,18,35334.0,20388,288.0,0.5380271283052726,28316666666.666668,2690135641.526363,7.5788e-06
16,8,2,16,84.85000000000001,0.005094067458637036,27,56457.0,30774,432.0,0.5214429740583222,28494444444.444447,2607214870.2916107,1.1803400000000001e-05
16,9,2,16,84.89,0.005895666810779458,14,31066.0,18332,224.0,0.5451733777434128,32735714285.714283,2725866888.717064,6.7252000000000004e-06
16,10,2,16,85.06,0.005964090214085598,12,28164.0,16920,224.0,0.5507095430282515,30214285714.285717,2753547715.1412573,6.144800000000001e-06
16,11,2,16,84.89999999999999,0.005834891479630068,12,29700.0,17688,224.0,0.5482951022938624,31585714285.714283,2741475511.4693117,6.452e-06
16,12,2,16,84.85000000000001,0.005730888836038622,12,31236.0,18456,224.0,0.5461001301929223,32957142857.142857,2730500650.964611,6.7592000000000004e-06
16,3,2,32,85.59,0.00595455183436565,20,36670.0,21032,320.0,0.5361203160846291,26289999999.999996,2680601580.4231453,7.846e-06
16,4,2,32,85.06,0.0058059168558704626,17,35521.5,20514,272.0,0.5386867639142365,30167647058.823532,2693433819.5711827,7.6163e-06
16,5,2,32,85.07000000000001,0.005993714010204466,12,28146.0,16920,224.0,0.5510323715234807,30214285714.285717,2755161857.6174035,6.141200000000001e-06
16,6,2,32,84.85000000000001,0.005730888836038622,12,31218.0,18456,224.0,0.5463911421635383,32957142857.142857,2731955710.817692,6.7556e-06
16,2,2,64,84.89,0.005814108281779925,17,35508.75,20514,272.0,0.5388671810868495,30167647058.823532,2694335905.4342475,7.613749999999999e-06
16,3,2,64,84.85000000000001,0.005730888836038622,12,31209.0,18456,224.0,0.54653676448814,32957142857.142857,2732683822.4407,6.7538e-06
16,1,2,192,84.85000000000001,0.005730888836038622,12,31203.0,18456,224.0,0.5466338891686165,32957142857.142857,2733169445.843083,6.7525999999999995e-06
24,48,2,2,85.0,0.005889067814060657,11,26048.0,15766,528.0,0.5511045861297539,11943939393.939394,2755522930.6487694,5.7216e-06
24,56,2,2,85.3,0.005728625374437083,11,27456.0,16470,616.0,0.548707356076759,10694805194.805195,2743536780.3837953,6.0032e-06
24,64,2,2,85.14,0.005606573622420508,11,28864.0,17174,704.0,0.546524949083503,9757954545.454546,2732624745.4175153,6.2848e-06
24,72,2,2,84.87,0.005674045750440927,10,27520.0,16532,720.0,0.5496010638297872,9184444444.444445,2748005319.1489363,6.016e-06
24,80,2,2,85.17,0.005456004575962903,11,31680.0,18582,880.0,0.5426985981308411,8446363636.363637,2713492990.6542053,6.848e-06
