NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,48,2,2,80.05050505050505,0.0054437687641742,61,41236.0,81396,2928,1.8916984289299992,11.11967213114754,11.11967213114754,7.32e-06
32,56,2,2,77.77777777777779,0.0051768725136439,61,45140.0,89204,3416,1.9007074064604108,10.44543325526932,10.44543325526932,8.54e-06
32,64,2,2,82.57575757575758,0.0053056855806861,52,41808.0,83152,3328,1.9071559633027524,9.99423076923077,9.99423076923077,8.32e-06
32,72,2,2,80.05050505050505,0.0048458762251515,61,52948.0,104820,4392,1.9148702959444648,9.546448087431694,9.546448087431694,1.098e-05
40,48,2,2,77.77777777777779,0.0051434163881521,61,45140.0,89204,2928,1.9007074064604108,12.186338797814209,12.186338797814209,7.320000000000001e-06
40,56,2,2,79.7979797979798,0.0048457784285029,61,49044.0,97012,3416,1.908332677630026,11.359718969555034,11.359718969555034,8.54e-06
40,64,2,2,80.3030303030303,0.004696073504284,61,52948.0,104820,3904,1.9148702959444648,10.739754098360656,10.739754098360656,9.76e-06
40,72,2,2,81.56565656565657,0.0047726303997526,54,50328.0,100056,3888,1.9197237145049888,10.293827160493828,10.293827160493828,9.72e-06
48,48,2,2,80.05050505050505,0.0048417957768516,61,49044.0,97012,2928,1.908332677630026,13.253005464480877,13.253005464480877,7.32e-06
48,56,2,2,81.81818181818183,0.0051086242478671,49,42532.0,84804,2744,1.9132749751827451,12.362099125364432,12.362099125364432,6.859999999999999e-06
48,64,2,2,81.56565656565657,0.0046183801956933,56,52192.0,103648,3584,1.9199762892708951,11.567857142857145,11.567857142857145,8.96e-06
48,72,2,2,81.56565656565657,0.0046700324102575,51,50796.0,101196,3672,1.9243173347531757,11.023529411764706,11.023529411764706,9.18e-06
56,48,2,2,80.55555555555556,0.0046738402986659,61,52948.0,104820,3416,1.9148702959444648,12.274004683840747,12.274004683840747,8.54e-06
56,56,2,2,81.06060606060606,0.0045441608923402,61,56852.0,112628,3416,1.9205374803901507,13.188290398126462,13.188290398126462,8.540000000000001e-06
56,64,2,2,82.07070707070707,0.005115283580052,42,41832.0,83880,2688,1.922794791857693,12.482142857142858,12.482142857142858,6.72e-06
56,72,2,2,79.7979797979798,0.0040834999734612,61,64660.0,128244,4392,1.9298741949076024,11.679781420765028,11.679781420765028,1.0979999999999998e-05
64,48,2,2,81.56565656565657,0.0049648833705013,53,49396.0,98260,3392,1.9195905290302415,11.587264150943396,11.587264150943396,8.48e-06
64,56,2,2,81.56565656565657,0.0051606741826229,44,43824.0,87728,2816,1.9231848474219573,12.461363636363636,12.461363636363636,7.04e-06
64,64,2,2,81.56565656565657,0.0046499093256093,48,50880.0,101568,3072,1.928311057108141,13.225,13.225,7.68e-06
64,72,2,2,81.81818181818183,0.0049308132425436,39,43836.0,88092,2808,1.930656614359604,12.548717948717949,12.548717948717949,7.02e-06
16,48,4,2,78.53535353535354,0.0058085897949293,61,40992.0,81396,2928,1.9024869109947644,11.11967213114754,11.11967213114754,7.32e-06
16,56,4,2,77.77777777777779,0.0055587033966125,61,44896.0,89204,3416,1.91064084989719,10.44543325526932,10.44543325526932,8.54e-06
16,64,4,2,77.52525252525253,0.0053977227181,61,48800.0,97012,3904,1.917536369386464,9.939754098360655,9.939754098360655,9.76e-06
16,72,4,2,73.98989898989899,0.005272594006963,61,52704.0,104820,4392,1.923443922489724,9.546448087431694,9.546448087431694,1.098e-05
20,48,4,2,79.04040404040404,0.0054066537093532,61,44896.0,89204,2928,1.91064084989719,12.186338797814209,12.186338797814209,7.320000000000001e-06
20,56,4,2,80.05050505050505,0.0051735395603898,61,48800.0,97012,3416,1.917536369386464,11.359718969555034,11.359718969555034,8.54e-06
20,64,4,2,78.28282828282829,0.0050193963983241,61,52704.0,104820,3904,1.923443922489724,10.739754098360656,10.739754098360656,9.76e-06
20,72,4,2,77.27272727272727,0.0048001312341864,61,56608.0,112628,4392,1.9285616438356163,10.257559198542806,10.257559198542806,1.098e-05
24,48,4,2,81.56565656565657,0.0058081334071838,42,33600.0,67752,2016,1.9143309222423144,13.44285714285714,13.44285714285714,5.040000000000001e-06
24,56,4,2,80.55555555555556,0.0047938330962947,61,52704.0,104820,3416,1.923443922489724,12.274004683840747,12.274004683840747,8.54e-06
24,64,4,2,81.81818181818183,0.0056115581750482,39,36192.0,73116,2496,1.924915754001685,11.717307692307692,11.717307692307692,6.24e-06
24,72,4,2,81.81818181818183,0.0056241613407628,35,34720.0,70412,2520,1.9284618755477652,11.176507936507935,11.176507936507935,6.3e-06
28,48,4,2,80.8080808080808,0.0048269468797014,61,52704.0,104820,2928,1.923443922489724,14.31967213114754,14.31967213114754,7.32e-06
28,56,4,2,81.81818181818183,0.004872320076911,53,49184.0,98260,2968,1.927573760200879,13.242587601078167,13.242587601078167,7.419999999999999e-06
28,64,4,2,81.06060606060606,0.0043746672596906,61,60512.0,120436,3904,1.9330380071905495,12.339754098360656,12.339754098360656,9.76e-06
28,72,4,2,81.56565656565657,0.0048149897089252,45,47520.0,95412,3240,1.9348637248539908,11.77925925925926,11.77925925925926,8.1e-06
32,48,4,2,81.56565656565657,0.0049648833705013,53,49184.0,98260,2544,1.927573760200879,15.449685534591191,15.449685534591191,6.360000000000001e-06
32,56,4,2,81.56565656565657,0.0051606741826229,44,43648.0,87728,2464,1.9306338028169017,14.24155844155844,14.24155844155844,6.16e-06
32,64,4,2,81.56565656565657,0.0046499093256093,48,50688.0,101568,3072,1.9353658536585363,13.225,13.225,7.68e-06
32,72,4,2,81.81818181818183,0.0049308132425436,39,43680.0,88092,2808,1.937280084447572,12.548717948717949,12.548717948717949,7.02e-06
8,48,8,2,70.0,0.0060759756241893,61,40870.0,81396,2928,1.9079274295626083,11.11967213114754,11.11967213114754,7.32e-06
8,56,8,2,75.5050505050505,0.0057910736540565,61,44774.0,89204,3416,1.9156466091139457,10.44543325526932,10.44543325526932,8.54e-06
8,64,8,2,75.75757575757575,0.0056622804830268,61,48678.0,97012,3904,1.9221715870814344,9.939754098360655,9.939754098360655,9.76e-06
8,72,8,2,79.54545454545455,0.0054954436312667,61,52582.0,104820,4392,1.9277595909809837,9.546448087431694,9.546448087431694,1.098e-05
10,48,8,2,78.03030303030303,0.0056769197030311,61,44774.0,89204,2928,1.9156466091139457,12.186338797814209,12.186338797814209,7.320000000000001e-06
10,56,8,2,78.03030303030303,0.0053633313801152,61,48678.0,97012,3416,1.9221715870814344,11.359718969555034,11.359718969555034,8.54e-06
10,64,8,2,82.07070707070707,0.0055217288715058,53,45686.0,91476,3392,1.9267028939719448,10.787264150943397,10.787264150943397,8.48e-06
10,72,8,2,79.04040404040404,0.0050843272473366,61,56486.0,112628,4392,1.9325989224063969,10.257559198542806,10.257559198542806,1.098e-05
12,48,8,2,81.56565656565657,0.0054680682182646,56,44688.0,89312,2688,1.921514629948365,13.29047619047619,13.29047619047619,6.720000000000001e-06
12,56,8,2,80.8080808080808,0.0050755167031224,61,52582.0,104820,3416,1.9277595909809837,12.274004683840747,12.274004683840747,8.54e-06
12,64,8,2,81.56565656565657,0.0051853419780145,53,49078.0,98260,3392,1.9315903282877924,11.587264150943396,11.587264150943396,8.48e-06
12,72,8,2,80.55555555555556,0.0046663553199041,61,60390.0,120436,4392,1.9368305940625905,10.968670309653916,10.968670309653916,1.098e-05
14,48,8,2,81.81818181818183,0.0055965983730096,45,38790.0,78132,2160,1.92528707308659,14.468888888888891,14.468888888888891,5.399999999999999e-06
14,56,8,2,81.81818181818183,0.0052079004316536,47,43522.0,87484,2632,1.930617469214812,13.295440729483284,13.295440729483284,6.579999999999999e-06
14,64,8,2,81.56565656565657,0.0049167863927327,51,50490.0,101196,3264,1.935580123178149,12.401470588235291,12.401470588235291,8.160000000000001e-06
14,72,8,2,80.8080808080808,0.0043516964582253,61,64294.0,128244,4392,1.9405622976122023,11.679781420765028,11.679781420765028,1.0979999999999998e-05
16,48,8,2,81.56565656565657,0.0049648833705013,53,49078.0,98260,2544,1.9315903282877924,15.449685534591191,15.449685534591191,6.360000000000001e-06
16,56,8,2,81.56565656565657,0.0051606741826229,44,43560.0,87728,2464,1.93437996119245,14.24155844155844,14.24155844155844,6.16e-06
16,64,8,2,81.56565656565657,0.0046499093256093,48,50592.0,101568,3072,1.938912645082468,13.225,13.225,7.68e-06
16,72,8,2,81.81818181818183,0.0049308132425436,39,43602.0,88092,2808,1.9406088910428692,12.548717948717949,12.548717948717949,7.02e-06
4,48,16,2,70.0,0.0062489323826909,61,40809.0,81396,2928,1.910659374193094,11.11967213114754,11.11967213114754,7.32e-06
4,56,16,2,70.0,0.0060251446513596,61,44713.0,89204,3416,1.918159337705623,10.44543325526932,10.44543325526932,8.54e-06
4,64,16,2,72.97979797979798,0.0058268806927485,61,48617.0,97012,3904,1.9244976095538495,9.939754098360655,9.939754098360655,9.76e-06
4,72,16,2,78.03030303030303,0.0056359663854696,61,52521.0,104820,4392,1.9299246957450331,9.546448087431694,9.546448087431694,1.098e-05
5,48,16,2,76.76767676767676,0.0058311387424961,61,44713.0,89204,2928,1.918159337705623,12.186338797814209,12.186338797814209,7.320000000000001e-06
5,56,16,2,77.27272727272727,0.0055935729368503,61,48617.0,97012,3416,1.9244976095538495,11.359718969555034,11.359718969555034,8.54e-06
5,64,16,2,80.8080808080808,0.0053967945908622,61,52521.0,104820,3904,1.9299246957450331,10.739754098360656,10.739754098360656,9.76e-06
5,72,16,2,79.29292929292929,0.0052149072555868,61,56425.0,112628,4392,1.9346239071061715,10.257559198542806,10.257559198542806,1.098e-05
6,48,16,2,77.52525252525253,0.0054740293747856,61,48617.0,97012,2928,1.9244976095538495,13.253005464480877,13.253005464480877,7.32e-06
6,56,16,2,80.55555555555556,0.0051584550596975,61,52521.0,104820,3416,1.9299246957450331,12.274004683840747,12.274004683840747,8.54e-06
