NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Execution Time (s),Simulated Ncycles
32,64,2,2,82.57575757575758,0.0053056855806861,52,41808.0,80080,3328,1.836697247706422,3.609375,3.609375,2.218666666666667e-05,66,2.2766666666666667e-05,3415
40,72,2,2,81.56565656565657,0.0047726303997526,54,50328.0,96984,3888,1.8607828089025327,3.7416666666666667,3.7416666666666667,2.592e-05,66,2.6566666666666668e-05,3985
48,56,2,2,81.81818181818183,0.0051086242478671,49,42532.0,81732,2744,1.8439671509791535,4.467857142857143,4.467857142857143,1.8293333333333333e-05,66,1.896e-05,2844
48,64,2,2,81.56565656565657,0.0046183801956933,56,52192.0,100576,3584,1.8630705394190872,4.209375,4.209375,2.3893333333333337e-05,66,2.4606666666666666e-05,3691
48,72,2,2,81.56565656565657,0.0046700324102575,51,50796.0,98124,3672,1.8659009659998478,4.008333333333333,4.008333333333333,2.4480000000000003e-05,66,2.516e-05,3774
56,64,2,2,82.07070707070707,0.005115283580052,42,41832.0,80808,2688,1.852374839537869,4.509375,4.509375,1.792e-05,66,1.8593333333333334e-05,2789
64,48,2,2,81.56565656565657,0.0049648833705013,53,49396.0,95188,3392,1.8595764632335703,4.209375,4.209375,2.2613333333333336e-05,66,2.3306666666666668e-05,3496
64,56,2,2,81.56565656565657,0.0051606741826229,44,43824.0,84656,2816,1.8558400561206594,4.509375,4.509375,1.8773333333333332e-05,66,1.946e-05,2919
64,64,2,2,81.56565656565657,0.0046499093256093,48,50880.0,98496,3072,1.8699878493317132,4.809375,4.809375,2.048e-05,66,2.1246666666666668e-05,3187
64,72,2,2,81.81818181818183,0.0049308132425436,39,43836.0,85020,2808,1.8633295344963619,4.541666666666667,4.541666666666667,1.872e-05,66,1.9426666666666668e-05,2914
24,48,4,2,81.56565656565657,0.0058081334071838,42,33600.0,64680,2016,1.8275316455696202,4.8125,4.8125,1.344e-05,106,1.39e-05,2085
24,64,4,2,81.81818181818183,0.0056115581750482,39,36192.0,70044,2496,1.8440395956192082,4.209375,4.209375,1.664e-05,106,1.708e-05,2562
24,72,4,2,81.81818181818183,0.0056241613407628,35,34720.0,67340,2520,1.844325153374233,4.008333333333333,4.008333333333333,1.6800000000000005e-05,106,1.7213333333333333e-05,2582
28,56,4,2,81.81818181818183,0.004872320076911,53,49184.0,95188,2968,1.8673101067168865,4.810714285714285,4.810714285714285,1.9786666666666668e-05,106,2.0346666666666666e-05,3052
28,72,4,2,81.56565656565657,0.0048149897089252,45,47520.0,92340,3240,1.8725665152498379,4.275,4.275,2.16e-05,106,2.2106666666666666e-05,3316
32,48,4,2,81.56565656565657,0.0049648833705013,53,49184.0,95188,2544,1.8673101067168865,5.6125,5.6125,1.696e-05,106,1.7546666666666666e-05,2632
32,56,4,2,81.56565656565657,0.0051606741826229,44,43648.0,84656,2464,1.8630281690140844,5.1535714285714285,5.1535714285714285,1.6426666666666666e-05,106,1.6953333333333333e-05,2543
32,64,4,2,81.56565656565657,0.0046499093256093,48,50688.0,98496,3072,1.8768292682926828,4.809375,4.809375,2.048e-05,106,2.1033333333333334e-05,3155
32,72,4,2,81.81818181818183,0.0049308132425436,39,43680.0,85020,2808,1.8697220267417312,4.541666666666667,4.541666666666667,1.872e-05,106,1.9213333333333335e-05,2882
10,64,8,2,82.07070707070707,0.0055217288715058,53,45686.0,88404,3392,1.8619992417540756,3.909375,3.909375,2.2613333333333336e-05,186,2.3053333333333332e-05,3458
12,48,8,2,81.56565656565657,0.0054680682182646,56,44688.0,86240,2688,1.855421686746988,4.8125,4.8125,1.792e-05,186,1.8393333333333332e-05,2759
12,64,8,2,81.56565656565657,0.0051853419780145,53,49078.0,95188,3392,1.871201100845292,4.209375,4.209375,2.2613333333333336e-05,186,2.3066666666666667e-05,3460
14,48,8,2,81.81818181818183,0.0055965983730096,45,38790.0,75060,2160,1.8495884875067765,5.2125,5.2125,1.4399999999999998e-05,186,1.4813333333333333e-05,2222
14,56,8,2,81.81818181818183,0.0052079004316536,47,43522.0,84412,2632,1.8628238513483693,4.810714285714285,4.810714285714285,1.754666666666667e-05,186,1.7973333333333333e-05,2696
14,64,8,2,81.56565656565657,0.0049167863927327,51,50490.0,98124,3264,1.8768218507325658,4.509375,4.509375,2.176e-05,186,2.2213333333333333e-05,3332
16,48,8,2,81.56565656565657,0.0049648833705013,53,49078.0,95188,2544,1.871201100845292,5.6125,5.6125,1.696e-05,186,1.744e-05,2616
16,56,8,2,81.56565656565657,0.0051606741826229,44,43560.0,84656,2464,1.8666431469394955,5.1535714285714285,5.1535714285714285,1.6426666666666666e-05,186,1.6846666666666666e-05,2527
16,64,8,2,81.56565656565657,0.0046499093256093,48,50592.0,98496,3072,1.8802687843616372,4.809375,4.809375,2.048e-05,186,2.0926666666666667e-05,3139
16,72,8,2,81.81818181818183,0.0049308132425436,39,43602.0,85020,2808,1.8729347490857822,4.541666666666667,4.541666666666667,1.872e-05,186,1.9106666666666668e-05,2866
32,80,2,2,81.56565656565657,0.0047893474456504,59,54988.0,105964,4720,1.8662205001761183,3.3675,3.3675,3.146666666666666e-05,66,3.209333333333333e-05,4814
40,80,2,2,81.56565656565657,0.0047782623405622,51,50796.0,98124,4080,1.8659009659998478,3.6075,3.6075,2.72e-05,66,2.7826666666666666e-05,4174
40,88,2,2,82.07070707070707,0.0049614638595339,45,47700.0,92340,3960,1.8657560817909966,3.4977272727272726,3.4977272727272726,2.64e-05,66,2.6986666666666667e-05,4048
48,80,2,2,81.56565656565657,0.0047658808119402,46,48760.0,94392,3680,1.8672258268713404,3.8475,3.8475,2.453333333333333e-05,66,2.518e-05,3777
48,88,2,2,82.32323232323232,0.0045375031579175,49,55076.0,106820,4312,1.878385032003939,3.715909090909091,3.715909090909091,2.8746666666666667e-05,66,2.9413333333333332e-05,4412
48,96,2,2,81.56565656565657,0.0049172987046292,40,47520.0,92320,3840,1.872160934458144,3.60625,3.60625,2.56e-05,66,2.6206666666666668e-05,3931
48,12,2,8,81.56565656565657,0.0056520958556195,56,44520.0,86240,2688,1.8621523579201935,4.8125,4.8125,1.792e-05,96,1.8406666666666668e-05,2761
56,80,2,2,81.81818181818183,0.0049123092752784,39,43836.0,85020,3120,1.8633295344963619,4.0875,4.0875,2.08e-05,66,2.1453333333333333e-05,3218
56,88,2,2,81.56565656565657,0.0041275421599339,54,64152.0,124632,4752,1.8899672449350964,3.934090909090909,3.934090909090909,3.168e-05,66,3.243333333333333e-05,4865
56,96,2,2,82.32323232323232,0.0044080753222489,48,60096.0,116928,4608,1.8893485005170632,3.80625,3.80625,3.072e-05,66,3.1433333333333336e-05,4715
64,96,2,2,82.07070707070707,0.0043610904684917,47,61852.0,120508,4512,1.893469926465967,4.00625,4.00625,3.0080000000000003e-05,66,3.084e-05,4626
64,12,2,8,81.81818181818183,0.0054391221291638,58,53534.0,104168,3712,1.8828037450746484,4.209375,4.209375,2.4746666666666668e-05,96,2.5246666666666667e-05,3787
20,96,4,2,81.81818181818183,0.0054473296471423,42,47040.0,91560,4032,1.875,3.40625,3.40625,2.688e-05,106,2.7313333333333335e-05,4097
24,88,4,2,81.56565656565657,0.0045356639838687,53,59360.0,115540,4664,1.8893903715332288,3.715909090909091,3.715909090909091,3.1093333333333336e-05,106,3.1626666666666667e-05,4744
24,96,4,2,81.56565656565657,0.0044168732268158,56,66304.0,129248,5376,1.8980263157894737,3.60625,3.60625,3.584e-05,106,3.6393333333333336e-05,5459
24,12,4,8,82.82828282828282,0.0059828414976185,53,41923.0,81620,1272,1.867093674939952,9.625,9.625,8.48e-06,136,8.946666666666667e-06,1342
28,80,4,2,81.56565656565657,0.0046747578035871,45,50400.0,98100,3600,1.8795984058859596,4.0875,4.0875,2.3999999999999997e-05,106,2.4506666666666667e-05,3676
28,88,4,2,82.32323232323232,0.0041848376966589,56,66304.0,129248,4928,1.8980263157894737,3.934090909090909,3.934090909090909,3.285333333333333e-05,106,3.343333333333333e-05,5015
28,96,4,2,82.57575757575758,0.0045701715515722,46,57408.0,112056,4416,1.8928378378378379,3.80625,3.80625,2.944e-05,106,2.9953333333333333e-05,4493
32,96,4,2,82.07070707070707,0.0043610904684917,47,61664.0,120508,4512,1.8990796772566818,4.00625,4.00625,3.0080000000000003e-05,106,3.062666666666667e-05,4594
32,12,4,8,81.81818181818183,0.0054391221291638,58,53302.0,104168,1856,1.890732203143718,8.41875,8.41875,1.2373333333333334e-05,136,1.2873333333333333e-05,1931
10,88,8,2,81.56565656565657,0.0055347176248077,45,47430.0,92340,3960,1.8759904107919223,3.4977272727272726,3.4977272727272726,2.64e-05,186,2.6786666666666665e-05,4018
12,88,8,2,81.56565656565657,0.0048195380659502,52,58136.0,113360,4576,1.8916032572420238,3.715909090909091,3.715909090909091,3.0506666666666667e-05,186,3.0953333333333334e-05,4643
12,96,8,2,81.56565656565657,0.0048304348131268,52,61464.0,120016,4992,1.8973061843935752,3.60625,3.60625,3.328e-05,186,3.372666666666666e-05,5059
14,80,8,2,81.56565656565657,0.0051378418593375,39,43602.0,85020,3120,1.8729347490857822,4.0875,4.0875,2.08e-05,186,2.1173333333333333e-05,3176
14,88,8,2,81.81818181818183,0.0043846665866981,54,63828.0,124632,4752,1.8992989942090825,3.934090909090909,3.934090909090909,3.168e-05,186,3.2153333333333336e-05,4823
16,96,8,2,82.07070707070707,0.0043610904684917,47,61570.0,120508,4512,1.9018970360784067,4.00625,4.00625,3.0080000000000003e-05,186,3.052e-05,4578
16,12,8,8,81.81818181818183,0.0054391221291638,58,53186.0,104168,928,1.8947215249736258,16.8375,16.8375,6.186666666666667e-06,216,6.6866666666666665e-06,1003
32,20,2,8,81.81818181818183,0.0051088025990167,58,53534.0,104168,1856,1.8828037450746484,8.41875,8.41875,1.2373333333333334e-05,96,1.2926666666666666e-05,1939
40,20,2,8,81.56565656565657,0.0048075664595638,58,57246.0,111592,2320,1.890172431315424,7.215,7.215,1.546666666666667e-05,96,1.602e-05,2403
48,16,2,8,82.57575757575758,0.0052273799116672,54,49842.0,96984,2592,1.8782972460006973,5.6125,5.6125,1.728e-05,96,1.778e-05,2667
48,20,2,8,81.56565656565657,0.0045368277335,57,59907.0,116964,2736,1.8957195416457318,6.4125,6.4125,1.824e-05,96,1.8786666666666667e-05,2818
