NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,22,2,8,81.56565656565657,0.004546132799484621,47,64838.0,93500,1504,1.4032717994897193,24.867021276595743,14.032717994897192,6.663000000000001e-06
32,24,2,8,81.56565656565657,0.004465890996855223,49,65989.0,103620,1568,1.5287469939953675,26.433673469387752,15.287469939953676,6.7780999999999995e-06
32,6,2,16,81.56565656565657,0.005802420083907413,52,48245.5,69840,1664,1.3957531851111666,16.78846153846154,13.957531851111666,5.00375e-06
32,7,2,16,81.56565656565657,0.0052304965617413065,56,58689.5,82144,1792,1.3581673734943742,18.335714285714285,13.581673734943742,6.048150000000001e-06
40,22,2,8,81.56565656565657,0.003709177338039593,61,88951.0,128244,2440,1.41326603704969,21.02360655737705,14.132660370496898,9.074299999999999e-06
40,24,2,8,81.56565656565657,0.003961536145433503,50,77730.0,112072,2000,1.4093206911294986,22.4144,14.093206911294986,7.952200000000002e-06
40,6,2,16,81.56565656565657,0.005917361851323768,42,42055.0,62376,1680,1.4225830729582412,14.85142857142857,14.225830729582412,4.3847e-06
40,7,2,16,81.81818181818183,0.005191020417505225,50,56002.5,80072,2000,1.385460554204985,16.014400000000002,13.85460554204985,5.77945e-06
48,22,2,8,81.56565656565657,0.005430322001639379,27,37798.0,61932,1296,1.5643344278858298,19.114814814814814,15.643344278858297,3.959e-06
48,24,2,8,81.56565656565657,0.005205218697743039,28,41153.0,67696,1344,1.5763418325765515,20.14761904761905,15.763418325765514,4.2945e-06
48,6,2,16,81.56565656565657,0.005558728430470587,46,48941.0,73912,2208,1.456882108292433,13.389855072463767,13.389855072463767,5.52e-06
48,7,2,16,82.32323232323232,0.005748439671893954,38,41841.5,66456,1824,1.5230499501529788,14.573684210526315,14.573684210526315,4.56e-06
56,22,2,8,82.57575757575758,0.005326972323065585,26,38795.0,63080,1456,1.5541922290388548,17.329670329670332,15.541922290388548,4.0587e-06
56,24,2,8,82.07070707070707,0.004841352055293056,30,47106.0,76152,1680,1.5573643093787066,18.13142857142857,15.573643093787066,4.8898e-06
56,6,2,16,81.31313131313132,0.004480721875237989,66,83523.0,113160,3696,1.326378714176874,12.246753246753247,12.246753246753247,9.24e-06
56,7,2,16,81.56565656565657,0.005504524224272696,37,46772.5,69524,2072,1.4315806813619,13.421621621621622,13.421621621621622,5.18e-06
