NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,81.81818181818183,0.0058418040868043,22,37312.0,28248,1056,0.7223813420621932,4.0125,4.0125,7.04e-06,80,1113,7.42e-06
32,56,2,2,81.81818181818183,0.0055801721437905,23,41636.0,32476,1288,0.7478124712167266,3.7821428571428575,3.7821428571428575,8.586666666666667e-06,80,1346,8.973333333333333e-06
32,64,2,2,81.56565656565657,0.0055178324135494,21,42100.0,32340,1344,0.7368085300282512,3.609375,3.609375,8.96e-06,80,1400,9.333333333333333e-06
32,72,2,2,81.56565656565657,0.0040041813531836,33,84876.0,55044,2376,0.6351133059491393,3.475,3.475,1.584e-05,80,2444,1.6293333333333332e-05
40,48,2,2,83.33333333333334,0.0059837520690558,17,33576.0,24004,816,0.6786926034833748,4.4125,4.4125,5.44e-06,80,876,5.84e-06
40,56,2,2,82.07070707070707,0.0058861020116561,17,33368.0,26180,952,0.7445961319681457,4.125,4.125,6.346666666666667e-06,80,1012,6.746666666666667e-06
40,64,2,2,82.57575757575758,0.0049511697160146,22,50620.0,36696,1408,0.700145004960696,3.909375,3.909375,9.386666666666668e-06,80,1473,9.82e-06
40,72,2,2,81.56565656565657,0.0049119745429189,22,50732.0,39512,1584,0.7522656309496611,3.7416666666666667,3.7416666666666667,1.056e-05,80,1649,1.0993333333333334e-05
48,48,2,2,81.56565656565657,0.0056483387323159,19,38128.0,29260,912,0.7329659318637275,4.8125,4.8125,6.08e-06,80,982,6.546666666666667e-06
48,56,2,2,81.56565656565657,0.0057907388322993,16,34336.0,26688,896,0.7387068201948627,4.467857142857143,4.467857142857143,5.973333333333333e-06,80,963,6.42e-06
