NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,81.56565656565657,0.0046803558587319,37,53872.0,26085,4736,0.4686152630066111,0.826171875,0.826171875,3.157333333333333e-05,20,4728,3.152e-05
32,56,2,2,82.32323232323232,0.0045660067598677,35,53200.0,25795,4480,0.4690682281059063,0.863671875,0.863671875,2.9866666666666666e-05,20,4478,2.9853333333333334e-05
32,64,2,2,81.81818181818183,0.0047415589574002,29,45936.0,22301,3712,0.4672519275896748,0.901171875,0.901171875,2.4746666666666668e-05,20,3712,2.4746666666666668e-05
32,72,2,2,81.81818181818183,0.0047268850711144,27,44496.0,21627,3456,0.4672269270653301,0.938671875,0.938671875,2.304e-05,20,3462,2.308e-05
40,48,2,2,82.57575757575758,0.0053328991817994,22,37664.0,18326,3520,0.46446674776966745,0.7809375,0.7809375,2.3466666666666667e-05,20,3473,2.3153333333333334e-05
40,56,2,2,81.81818181818183,0.0053297097971084,20,35520.0,17300,3200,0.46365780445969124,0.8109375,0.8109375,2.133333333333333e-05,20,3159,2.106e-05
40,64,2,2,81.81818181818183,0.0043964612422738,29,53360.0,26013,4640,0.47166013925152306,0.8409375,0.8409375,3.093333333333333e-05,20,4616,3.077333333333333e-05
40,72,2,2,81.56565656565657,0.0049540870388542,20,38080.0,18580,3200,0.4659911717495987,0.8709375,0.8709375,2.133333333333333e-05,20,3175,2.1166666666666665e-05
48,48,2,2,82.32323232323232,0.0054759091805978,18,35424.0,17298,3456,0.46480008598452277,0.75078125,0.75078125,2.304e-05,20,3381,2.254e-05
48,56,2,2,81.56565656565657,0.0056405355854057,15,30480.0,14895,2880,0.46154561229548835,0.77578125,0.77578125,1.92e-05,20,2810,1.8733333333333332e-05
48,64,2,2,81.56565656565657,0.0051637097816979,17,35632.0,17425,3264,0.465610303548525,0.80078125,0.80078125,2.176e-05,20,3204,2.136e-05
48,72,2,2,81.56565656565657,0.004845249573441,18,38880.0,19026,3456,0.4677911093627065,0.82578125,0.82578125,2.304e-05,20,3405,2.27e-05
56,48,2,2,81.56565656565657,0.0058972577437973,14,31136.0,15246,3136,0.4630102040816326,0.7292410714285714,0.7292410714285714,2.0906666666666668e-05,20,3033,2.022e-05
56,56,2,2,81.81818181818183,0.0054886023058144,15,34320.0,16815,3360,0.4656346920691183,0.7506696428571429,0.7506696428571429,2.24e-05,20,3266,2.1773333333333334e-05
