NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,22,2,8,82.32323232323232,0.004672786170032666,27,47709.0,26427,3456,0.5338680026666128,3.0586805555555556,3.0586805555555556,8.64e-06
32,24,2,8,82.07070707070707,0.004687916141585772,25,45775.0,25497,3200,0.5360228730001892,3.187125,3.187125,8e-06
32,6,2,16,81.56565656565657,0.0057921510385763,32,46256.0,25632,4096,0.5334665334665335,2.503125,2.503125,1.024e-05
32,7,2,16,81.56565656565657,0.005425945180552398,32,48304.0,26656,4096,0.5320983711274353,2.603125,2.603125,1.024e-05
40,22,2,8,81.81818181818183,0.004515971556230228,24,48552.0,26904,3840,0.5344033052598125,2.8025,2.8025,9.6e-06
40,24,2,8,81.56565656565657,0.004217460701776428,26,54262.0,29722,4160,0.5302386983979733,2.857884615384615,2.857884615384615,1.0400000000000002e-05
40,6,2,16,81.56565656565657,0.004782832319699345,42,71463.0,38058,6720,0.5195276772916525,2.265357142857143,2.265357142857143,1.68e-05
40,7,2,16,81.81818181818183,0.005212545902429713,29,51199.5,28157,4640,0.5313493673513676,2.427327586206897,2.427327586206897,1.1599999999999997e-05
48,22,2,8,81.81818181818183,0.0048946523594863905,17,38743.0,22129,3264,0.545923276181078,2.711887254901961,2.711887254901961,8.16e-06
48,24,2,8,82.07070707070707,0.004518871648188565,19,44517.0,24979,3648,0.5393983890820359,2.7389254385964907,2.7389254385964907,9.120000000000002e-06
48,6,2,16,82.07070707070707,0.005720567412798081,24,46980.0,26136,4608,0.5358812433363406,2.26875,2.26875,1.152e-05
48,7,2,16,81.81818181818183,0.004797783093375887,31,62666.5,33855,5952,0.5252216542426522,2.275201612903226,2.275201612903226,1.4879999999999998e-05
56,22,2,8,83.08080808080808,0.0048517408515115585,16,40560.0,23056,3584,0.5443898753305629,2.5732142857142857,2.5732142857142857,8.96e-06
56,24,2,8,82.32323232323232,0.005011159415954961,14,36386.0,21006,3136,0.5502121640735502,2.6793367346938775,2.6793367346938775,7.84e-06
56,6,2,16,81.56565656565657,0.00550372122488376,24,53124.0,29208,5376,0.5318668511909097,2.1732142857142858,2.1732142857142858,1.344e-05
56,7,2,16,82.57575757575758,0.005637980758956771,19,43272.5,24371,4256,0.5408026273452495,2.2905075187969923,2.2905075187969923,1.064e-05
64,22,2,8,81.81818181818183,0.0050963626575155135,14,39074.0,22350,3584,0.546909411246513,2.494419642857143,2.494419642857143,8.96e-06
64,24,2,8,82.07070707070707,0.0049566867847451335,14,39970.0,22798,3584,0.5459029739954983,2.5444196428571426,2.5444196428571426,8.96e-06
64,6,2,16,81.81818181818183,0.005206885371044224,26,64207.0,34714,6656,0.5259776663282777,2.0861778846153847,2.0861778846153847,1.664e-05
64,7,2,16,81.56565656565657,0.005847519379400591,17,43069.5,24305,4352,0.541778585201119,2.2339154411764706,2.2339154411764706,1.088e-05
16,22,4,8,82.07070707070707,0.005416198553172054,23,40273.0,22967,1472,0.545988351360989,6.241032608695652,5.45988351360989,4.2064999999999995e-06
16,24,4,8,81.56565656565657,0.0046593913127939484,31,56265.0,30879,1984,0.5318738481147838,6.225604838709678,5.318738481147838,5.8057e-06
16,6,4,16,82.07070707070707,0.0059740129116170985,37,52891.5,29157,2368,0.5331955708760412,4.925168918918918,4.925168918918918,5.920000000000001e-06
16,7,4,16,82.07070707070707,0.005546429962150482,38,56753.0,31078,2432,0.5308395251515928,5.111513157894737,5.111513157894737,6.08e-06
20,22,4,8,82.07070707070707,0.004497845869668298,29,58203.0,31869,2320,0.531194266188849,5.494655172413793,5.31194266188849,5.999500000000001e-06
20,24,4,8,81.81818181818183,0.004212964542704752,31,64201.0,34847,2480,0.5280408528177231,5.620483870967742,5.28040852817723,6.599300000000001e-06
20,6,4,16,79.04040404040404,0.004767961300061462,51,85960.5,45555,4080,0.5191305091023047,4.466176470588235,4.466176470588235,1.02e-05
20,7,4,16,81.56565656565657,0.005217051838347381,35,61232.5,33347,2800,0.5291116946584264,4.763857142857143,4.763857142857143,7e-06
24,22,4,8,81.81818181818183,0.003990948381455292,31,70153.0,37823,2976,0.5257210369031899,5.083736559139785,5.083736559139785,7.44e-06
24,24,4,8,82.07070707070707,0.003956560116135446,29,67483.0,36509,2784,0.5270155178635871,5.245545977011494,5.245545977011494,6.960000000000001e-06
24,6,4,16,81.81818181818183,0.005380433848380336,31,60186.5,32863,2976,0.5302322579604217,4.417069892473119,4.417069892473119,7.439999999999998e-06
24,7,4,16,81.56565656565657,0.004272190439999124,45,90247.5,47757,4320,0.5188750482129955,4.421944444444445,4.421944444444445,1.08e-05
28,22,4,8,82.57575757575758,0.005097886773775382,15,37785.0,21807,1680,0.5510018445056473,5.192142857142857,5.192142857142857,4.2e-06
28,24,4,8,81.56565656565657,0.0051105923768090915,14,36162.0,21006,1568,0.5534594509142646,5.358673469387755,5.358673469387755,3.92e-06
28,6,4,16,81.56565656565657,0.004645469313659018,38,83505.0,44454,4256,0.5211672157285719,4.178007518796992,4.178007518796992,1.0640000000000001e-05
28,7,4,16,82.32323232323232,0.005744572173071424,19,42968.5,24371,2128,0.5444755979044024,4.581015037593985,4.581015037593985,5.32e-06
32,22,4,8,81.81818181818183,0.0050963626575155135,14,38850.0,22350,1792,0.54992372422617,4.988839285714286,4.988839285714286,4.48e-06
32,24,4,8,82.07070707070707,0.0049566867847451335,14,39746.0,22798,1792,0.5488468390389523,5.088839285714285,5.088839285714285,4.48e-06
32,6,4,16,81.81818181818183,0.005206885371044224,26,63791.0,34714,3328,0.529313999054633,4.172355769230769,4.172355769230769,8.32e-06
32,7,4,16,81.56565656565657,0.005847519379400591,17,42797.5,24305,2176,0.5450834837798136,4.467830882352941,4.467830882352941,5.44e-06
8,22,8,8,81.56565656565657,0.005407727676159509,26,45318.0,25562,832,0.5426024198683931,12.289423076923079,5.426024198683931,4.711000000000001e-06
8,24,8,8,81.56565656565657,0.005048192827066081,29,52403.0,29085,928,0.5366731248270136,12.536637931034482,5.366731248270136,5.4195e-06
8,6,8,16,81.56565656565657,0.005988000175947503,41,58281.5,31977,1312,0.5322979350295888,9.749085365853658,5.3229793502958875,6.00735e-06
8,7,8,16,81.56565656565657,0.005865244263927803,38,56449.0,31078,1216,0.5336103432289968,10.223026315789474,5.336103432289968,5.8241e-06
10,22,8,8,81.56565656565657,0.005191591933382665,23,45977.0,25911,920,0.5424229102556051,11.265652173913043,5.424229102556051,4.7769e-06
10,24,8,8,82.57575757575758,0.00488345727609826,25,51575.0,28697,1000,0.5377293083740888,11.4788,5.377293083740888,5.336700000000001e-06
10,6,8,16,81.56565656565657,0.0052498139744190375,46,77165.0,41390,1840,0.5242093797889991,8.997826086956522,5.242093797889991,7.8957e-06
10,7,8,16,80.3030303030303,0.004700453901385949,51,88816.5,47187,2040,0.5207789556167468,9.252352941176472,5.207789556167468,9.06085e-06
12,22,8,8,81.81818181818183,0.004949620147931758,21,47355.0,26613,1008,0.5414979551142491,10.560714285714287,5.414979551142491,4.9147e-06
12,24,8,8,81.81818181818183,0.00500462034889809,19,44061.0,24979,912,0.5447626109523913,10.955701754385963,5.447626109523913,4.5853e-06
12,6,8,16,81.81818181818183,0.0052990141089152955,36,69606.0,37668,1728,0.5275778032998123,8.719444444444443,5.275778032998123,7.1398e-06
12,7,8,16,81.56565656565657,0.005466127832061917,28,55930.0,30876,1344,0.5349087003222341,9.189285714285713,5.349087003222341,5.7721999999999996e-06
14,22,8,8,81.56565656565657,0.004940621338569705,17,42687.0,24305,952,0.5464376447312215,10.21218487394958,5.4643764473122145,4.4479e-06
14,24,8,8,81.56565656565657,0.004796392398325037,17,43775.0,24849,952,0.5453288564092436,10.440756302521008,5.453288564092436,4.5567e-06
14,6,8,16,81.56565656565657,0.00547927191514452,27,59116.5,32475,1512,0.5331768144019308,8.591269841269842,5.331768144019308,6.0908499999999995e-06
14,7,8,16,81.56565656565657,0.005126184910682423,27,60844.5,33339,1512,0.532261540794904,8.81984126984127,5.32261540794904,6.26365e-06
16,22,8,8,81.81818181818183,0.0050963626575155135,14,38738.0,22350,896,0.5514433752775721,9.977678571428571,5.514433752775721,4.053000000000001e-06
16,24,8,8,82.07070707070707,0.0049566867847451335,14,39634.0,22798,896,0.5503307101820113,10.17767857142857,5.503307101820113,4.1426e-06
16,6,8,16,81.81818181818183,0.005206885371044224,26,63583.0,34714,1664,0.5309980879541109,8.344711538461539,5.309980879541109,6.5375e-06
16,7,8,16,81.56565656565657,0.005847519379400591,17,42661.5,24305,1088,0.5467510994634843,8.935661764705882,5.467510994634843,4.4453500000000006e-06
4,22,16,8,80.05050505050505,0.004197598937553534,51,88689.0,47187,1122,0.5215128037930615,16.822459893048126,5.215128037930615,9.0481e-06
4,24,16,8,81.81818181818183,0.0049654453581230015,32,57696.0,31776,768,0.534158149542765,16.55,5.34158149542765,5.9488e-06
