NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,48,2,2,0.002999558441513586,24,16224.0,30816,1152,1.7104795737122558,5.35,5.35,5.76e-06
32,56,2,2,0.002963833743528859,22,16280.0,31064,1232,1.7189021691013724,5.042857142857143,5.042857142857143,6.16e-06
32,64,2,2,0.00297576243748687,20,16080.0,30800,1280,1.7233661593554164,4.8125,4.8125,6.4e-06
32,72,2,2,0.002948883525669405,19,16492.0,31692,1368,1.7333187486326844,4.633333333333334,4.633333333333334,6.839999999999999e-06
32,80,2,2,0.0029580163663763793,18,16776.0,32328,1440,1.7410598879793193,4.49,4.49,7.2e-06
32,88,2,2,0.0029964305602071853,17,16932.0,32708,1496,1.7468489638966034,4.372727272727273,4.372727272727273,7.479999999999999e-06
32,96,2,2,0.002985828575865111,17,18020.0,34884,1632,1.7607510599636584,4.275,4.275,8.16e-06
32,12,2,8,0.0029775699510204267,34,22678.0,43656,1088,1.7840621168778095,8.025,8.025,5.44e-06
32,14,2,8,0.002952481409527552,30,21930.0,42360,960,1.7856841750274006,8.825,8.825,4.8e-06
32,16,2,8,0.0029566172764932757,26,20670.0,40040,832,1.78256611165524,9.625,9.625,4.16e-06
32,18,2,8,0.002963659294810875,23,19757.0,38364,736,1.7803146317694556,10.425,10.425,3.6799999999999995e-06
32,20,2,8,0.002935391789035663,21,19383.0,37716,672,1.7811570247933883,11.225,11.225,3.36e-06
32,22,2,8,0.002931127202826665,19,18753.0,36556,608,1.7793137016305671,12.025,12.025,3.04e-06
32,24,2,8,0.002985828575865111,17,17867.0,34884,544,1.77445444834427,12.825,12.825,2.72e-06
32,6,2,16,0.0029877946944812817,37,24623.5,47508,1184,1.798489523196608,8.025,8.025,5.92e-06
32,7,2,16,0.0029897074061268295,31,22614.5,43772,992,1.7934566611353533,8.825,8.825,4.96e-06
32,8,2,16,0.00295231419291138,28,22218.0,43120,896,1.7959183673469388,9.625,9.625,4.48e-06
32,9,2,16,0.0029551917971341202,25,21437.5,41700,800,1.7951311909425516,10.425,10.425,4e-06
32,10,2,16,0.0029494918049528082,22,20273.0,39512,704,1.7907092680716066,11.225,11.225,3.52e-06
32,11,2,16,0.002997621973134842,19,18724.5,36556,608,1.781785392245266,12.025,12.025,3.04e-06
32,12,2,16,0.002985828575865111,17,17841.5,34884,544,1.7767591107036442,12.825,12.825,2.72e-06
32,3,2,32,0.0029699332290144516,37,24595.75,47508,1184,1.800380858542316,8.025,8.025,5.92e-06
32,4,2,32,0.0029987642788354024,28,22197.0,43120,896,1.797490516486723,9.625,9.625,4.48e-06
32,5,2,32,0.0029978959941757122,22,20256.5,39512,704,1.7920493457604825,11.225,11.225,3.52e-06
32,6,2,32,0.002985828575865111,17,17828.75,34884,544,1.777913688314667,12.825,12.825,2.72e-06
32,2,2,64,0.002966457595542886,28,22186.5,43120,896,1.7982776237045688,9.625,9.625,4.48e-06
32,3,2,64,0.002985828575865111,17,17822.375,34884,544,1.7784915400057355,12.825,12.825,2.72e-06
32,1,2,192,0.002985828575865111,17,17818.125,34884,544,1.7788769831910811,12.825,12.825,2.72e-06
40,48,2,2,0.0029708564154685194,21,15540.0,29652,1008,1.7108239095315023,5.883333333333334,5.883333333333334,5.04e-06
40,56,2,2,0.002945097637681854,19,15276.0,29260,1064,1.7143191938129834,5.5,5.5,5.32e-06
40,64,2,2,0.0029710466724361417,17,14756.0,28356,1088,1.7135605511240029,5.2125,5.2125,5.44e-06
40,72,2,2,0.0029559030726477023,16,14912.0,28736,1152,1.7203065134099618,4.988888888888889,4.988888888888889,5.76e-06
40,80,2,2,0.002977414109904597,15,14940.0,28860,1200,1.7248386325603633,4.81,4.81,6.000000000000001e-06
40,88,2,2,0.002940469818250382,15,15900.0,30780,1320,1.7397693872936921,4.663636363636363,4.663636363636363,6.600000000000001e-06
40,96,2,2,0.0029260963589929773,15,16860.0,32700,1440,1.7531631996568733,4.541666666666666,4.541666666666666,7.2000000000000005e-06
