NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,0.0029995584549795673,24,16224.0,30816,1152,1.7104795737122558,5.35,5.35,5.76e-06,80,1467,7.335e-06
32,56,2,2,0.002963833740419733,22,16280.0,31064,1232,1.7189021691013724,5.042857142857143,5.042857142857143,6.16e-06,80,1545,7.725e-06
32,64,2,2,0.0029757624268396455,20,16080.0,30800,1280,1.7233661593554164,4.8125,4.8125,6.4e-06,80,1591,7.955e-06
32,72,2,2,0.002948883522990249,19,16492.0,31692,1368,1.7333187486326844,4.633333333333334,4.633333333333334,6.839999999999999e-06,80,1678,8.39e-06
32,80,2,2,0.002958016369046776,18,16776.0,32328,1440,1.7410598879793193,4.49,4.49,7.2e-06,80,1749,8.745e-06
32,88,2,2,0.0029964305633834983,17,16932.0,32708,1496,1.7468489638966034,4.372727272727273,4.372727272727273,7.479999999999999e-06,80,1804,9.02e-06
32,96,2,2,0.0029858285720087666,17,18020.0,34884,1632,1.7607510599636584,4.275,4.275,8.16e-06,80,1940,9.7e-06
40,48,2,2,0.0029708564116309732,21,15540.0,29652,1008,1.7108239095315023,5.883333333333334,5.883333333333334,5.04e-06,80,1328,6.64e-06
40,56,2,2,0.0029450976388229887,19,15276.0,29260,1064,1.7143191938129834,5.5,5.5,5.32e-06,80,1382,6.91e-06
40,64,2,2,0.0029710466670694116,17,14756.0,28356,1088,1.7135605511240029,5.2125,5.2125,5.44e-06,80,1404,7.02e-06
40,72,2,2,0.0029559030608103014,16,14912.0,28736,1152,1.7203065134099618,4.988888888888889,4.988888888888889,5.76e-06,80,1467,7.335e-06
40,80,2,2,0.0029774141009769185,15,14940.0,28860,1200,1.7248386325603633,4.81,4.81,6.000000000000001e-06,80,1514,7.57e-06
40,88,2,2,0.002940469811853838,15,15900.0,30780,1320,1.7397693872936921,4.663636363636363,4.663636363636363,6.600000000000001e-06,80,1634,8.17e-06
40,96,2,2,0.002926096351612606,15,16860.0,32700,1440,1.7531631996568733,4.541666666666666,4.541666666666666,7.2000000000000005e-06,80,1754,8.77e-06
48,48,2,2,0.002946867420313071,19,15276.0,29260,912,1.7143191938129834,6.416666666666667,6.416666666666667,4.56e-06,80,1238,6.19e-06
48,56,2,2,0.002926395739403673,17,14756.0,28356,952,1.7135605511240029,5.957142857142857,5.957142857142857,4.76e-06,80,1276,6.38e-06
48,64,2,2,0.0029732756587432527,15,13980.0,26940,960,1.7080902865838195,5.6125,5.6125,4.8e-06,80,1282,6.41e-06
48,72,2,2,0.002978571348892921,14,13944.0,26936,1008,1.7117437722419928,5.344444444444444,5.344444444444444,5.04e-06,80,1329,6.645e-06
48,80,2,2,0.0029094852331391636,14,14840.0,28728,1120,1.7272727272727273,5.13,5.13,5.6e-06,80,1441,7.205e-06
48,88,2,2,0.002985692813264051,13,14612.0,28340,1144,1.7276274079492806,4.954545454545455,4.954545454545455,5.7199999999999994e-06,80,1464,7.32e-06
48,96,2,2,0.0029724736595569726,13,15444.0,30004,1248,1.7407751218380134,4.808333333333334,4.808333333333334,6.24e-06,80,1568,7.84e-06
56,48,2,2,0.002928344672168791,18,15624.0,30024,1008,1.7239320165365182,5.957142857142857,5.957142857142857,5.04e-06,80,1333,6.665e-06
56,56,2,2,0.0029144660299111683,16,14912.0,28736,896,1.7203065134099618,6.414285714285714,6.414285714285714,4.48e-06,80,1227,6.135e-06
56,64,2,2,0.0029738933137671486,14,13944.0,26936,896,1.7117437722419928,6.0125,6.0125,4.48e-06,80,1225,6.125e-06
56,72,2,2,0.002986514441592702,13,13780.0,26676,936,1.7130747495504752,5.7,5.7,4.68e-06,80,1264,6.32e-06
56,80,2,2,0.0029202558095783385,13,14612.0,28340,1040,1.7276274079492806,5.45,5.45,5.2e-06,80,1368,6.84e-06
56,88,2,2,0.002884380561387413,13,15444.0,30004,1144,1.7407751218380134,5.245454545454545,5.245454545454545,5.72e-06,80,1472,7.36e-06
56,96,2,2,0.0029997048202008913,12,15024.0,29232,1152,1.7383444338725025,5.075,5.075,5.76e-06,80,1479,7.395e-06
64,48,2,2,0.0029804564989909742,17,15844.0,30532,1088,1.7312315717849853,5.6125,5.6125,5.44e-06,80,1412,7.06e-06
64,56,2,2,0.002973857010132486,15,14940.0,28860,960,1.7248386325603633,6.0125,6.0125,4.8e-06,80,1290,6.45e-06
64,64,2,2,0.0029424062660098277,14,14840.0,28728,896,1.7272727272727273,6.4125,6.4125,4.48e-06,80,1233,6.165e-06
64,72,2,2,0.0029557970196076705,13,14612.0,28340,936,1.7276274079492806,6.055555555555555,6.055555555555555,4.68e-06,80,1272,6.36e-06
64,80,2,2,0.002888656316852884,13,15444.0,30004,1040,1.7407751218380134,5.77,5.77,5.2e-06,80,1376,6.88e-06
64,88,2,2,0.0029798296411972544,12,15024.0,29232,1056,1.7383444338725025,5.536363636363637,5.536363636363637,5.279999999999999e-06,80,1391,6.955e-06
64,96,2,2,0.0029686449686936616,12,15792.0,30768,1152,1.7497725204731573,5.341666666666666,5.341666666666666,5.760000000000001e-06,80,1487,7.435e-06
16,48,4,2,0.0029708578830890432,29,19488.0,37236,1392,1.749812030075188,5.35,5.35,6.960000000000001e-06,120,1568,7.84e-06
16,56,4,2,0.0029660834958824623,26,19136.0,36712,1456,1.754204892966361,5.042857142857143,5.042857142857143,7.28e-06,120,1629,8.145e-06
16,64,4,2,0.0029993463274033214,23,18400.0,35420,1472,1.7541600633914423,4.8125,4.8125,7.36e-06,120,1642,8.21e-06
16,72,4,2,0.0029900001368490525,22,19008.0,36696,1584,1.7642307692307693,4.633333333333334,4.633333333333334,7.919999999999999e-06,120,1753,8.765e-06
16,80,4,2,0.0029858265213663685,21,19488.0,37716,1680,1.7723684210526316,4.49,4.49,8.4e-06,120,1848,9.24e-06
16,88,4,2,0.002930637329052905,21,20832.0,40404,1848,1.7858910891089108,4.372727272727273,4.372727272727273,9.24e-06,120,2016,1.008e-05
16,96,4,2,0.0029870071753130916,20,21120.0,41040,1920,1.7912011173184357,4.275,4.275,9.6e-06,120,2087,1.0435e-05
20,48,4,2,0.002997991232993426,24,17664.0,33888,1152,1.7417763157894737,5.883333333333334,5.883333333333334,5.76e-06,120,1327,6.635e-06
20,56,4,2,0.0029527060725961715,22,17600.0,33880,1232,1.7471122112211221,5.5,5.5,6.16e-06,120,1405,7.025e-06
20,64,4,2,0.002950721403963586,20,17280.0,33360,1280,1.7491610738255035,5.2125,5.2125,6.4e-06,120,1451,7.255e-06
20,72,4,2,0.002928331363019867,19,17632.0,34124,1368,1.7567957166392092,4.988888888888889,4.988888888888889,6.84e-06,120,1538,7.69e-06
20,80,4,2,0.0029428030971627044,18,17856.0,34632,1440,1.7626221498371335,4.81,4.81,7.2000000000000005e-06,120,1609,8.045e-06
20,88,4,2,0.0029995195892006574,17,17952.0,34884,1496,1.7668152350081037,4.663636363636363,4.663636363636363,7.480000000000001e-06,120,1664,8.32e-06
20,96,4,2,0.002972060068453959,17,19040.0,37060,1632,1.7789938556067588,4.541666666666666,4.541666666666666,8.160000000000001e-06,120,1800,9e-06
24,48,4,2,0.002972210978719898,21,16800.0,32340,1008,1.7394578313253013,6.416666666666667,6.416666666666667,5.04e-06,120,1184,5.92e-06
24,56,4,2,0.002936030498299184,19,16416.0,31692,1064,1.7405536028119508,5.957142857142857,5.957142857142857,5.32e-06,120,1238,6.19e-06
24,64,4,2,0.0029495110252838698,17,15776.0,30532,1088,1.7379326047358834,5.6125,5.6125,5.44e-06,120,1260,6.3e-06
24,72,4,2,0.0029394093438217693,16,15872.0,30784,1152,1.7427536231884058,5.344444444444444,5.344444444444444,5.76e-06,120,1323,6.615e-06
24,80,4,2,0.0029717776313757716,15,15840.0,30780,1200,1.7456896551724137,5.13,5.13,6e-06,120,1370,6.85e-06
24,88,4,2,0.00292978825532406,15,16800.0,32700,1320,1.7588209982788297,4.954545454545455,4.954545454545455,6.5999999999999995e-06,120,1490,7.45e-06
24,96,4,2,0.0029164243085630084,15,17760.0,34620,1440,1.7706628477905073,4.808333333333334,4.808333333333334,7.2e-06,120,1610,8.05e-06
28,48,4,2,0.0029979677077336562,18,15552.0,30024,864,1.7310885608856088,6.95,6.95,4.32e-06,120,1041,5.205e-06
28,56,4,2,0.002994015955704922,16,14848.0,28736,896,1.726923076923077,6.414285714285714,6.414285714285714,4.48e-06,120,1071,5.355e-06
