NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,48,2,2,0.002999558455900469,24,63744.0,30720,1152,0.46875,5.333333333333334,4.6875,6.5536e-06
32,56,2,2,0.0029638337441690575,22,64064.0,30976,1232,0.4703595724003887,5.0285714285714285,4.703595724003887,6.5856e-06
32,64,2,2,0.002975762442784498,20,63360.0,30720,1280,0.4715127701375246,4.8,4.715127701375246,6.5152e-06
32,72,2,2,0.002948883527638905,19,65056.0,31616,1368,0.4729535662996649,4.622222222222222,4.622222222222222,6.840000000000001e-06
32,80,2,2,0.002958016367850875,18,66240.0,32256,1440,0.47412982126058323,4.48,4.48,7.199999999999999e-06
32,88,2,2,0.002996430569942259,17,66912.0,32640,1496,0.4750815090824406,4.363636363636363,4.363636363636363,7.480000000000001e-06
32,96,2,2,0.002985828571699085,17,71264.0,34816,1632,0.4765659220324135,4.266666666666666,4.266666666666666,8.160000000000001e-06
32,12,2,8,0.002977569846844109,34,89080.0,43520,1088,0.4789153974821727,8.0,4.789153974821727,9.0872e-06
32,14,2,8,0.002952481229454649,30,86280.0,42240,960,0.47960759378690165,8.8,4.796075937869016,8.807200000000001e-06
32,16,2,8,0.002956617290765781,26,81432.0,39936,832,0.4798615783908488,9.6,4.798615783908488,8.3224e-06
32,18,2,8,0.002963659285975983,23,77924.0,38272,736,0.4801043705153294,10.4,4.801043705153294,7.9716e-06
32,20,2,8,0.002935391783284268,21,76524.0,37632,672,0.4805148373257061,11.2,4.805148373257061,7.8316e-06
32,22,2,8,0.0029311272037750706,19,74100.0,36480,608,0.48068307595003423,12.0,4.806830759500342,7.589200000000001e-06
32,24,2,8,0.002985828571699085,17,70652.0,34816,544,0.4805919054718127,12.8,4.805919054718127,7.2444e-06
32,6,2,16,0.0029877944324814133,37,96718.0,47360,1184,0.48076337427672317,8.0,4.807633742767232,9.851e-06
