NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,0.002999558455900469,24,63744.0,30720,1152,0.46875,5.333333333333334,4.6875,6.5536e-06,80,0,0.0
32,56,2,2,0.0029638337441690575,22,64064.0,30976,1232,0.4703595724003887,5.0285714285714285,4.703595724003887,6.5856e-06,80,0,0.0
32,64,2,2,0.002975762442784498,20,63360.0,30720,1280,0.4715127701375246,4.8,4.715127701375246,6.5152e-06,80,0,0.0
32,72,2,2,0.002948883527638905,19,65056.0,31616,1368,0.4729535662996649,4.622222222222222,4.622222222222222,6.840000000000001e-06,80,1486,7.43e-06
32,80,2,2,0.002958016367850875,18,66240.0,32256,1440,0.47412982126058323,4.48,4.48,7.199999999999999e-06,80,1557,7.785e-06
32,88,2,2,0.002996430569942259,17,66912.0,32640,1496,0.4750815090824406,4.363636363636363,4.363636363636363,7.480000000000001e-06,80,1612,8.06e-06
32,96,2,2,0.002985828571699085,17,71264.0,34816,1632,0.4765659220324135,4.266666666666666,4.266666666666666,8.160000000000001e-06,80,1748,8.74e-06
40,48,2,2,0.0029708564131150435,21,61152.0,29568,1008,0.4697508896797153,5.866666666666666,4.697508896797153,6.294399999999999e-06,80,0,0.0
40,56,2,2,0.0029450976439782763,19,60192.0,29184,1064,0.47083118224057824,5.485714285714286,4.708311822405783,6.1984e-06,80,0,0.0
40,64,2,2,0.0029710466626877486,17,58208.0,28288,1088,0.47146666666666665,5.2,4.714666666666666,6.000000000000001e-06,80,0,0.0
40,72,2,2,0.0029559030605438414,16,58880.0,28672,1152,0.47257383966244726,4.977777777777778,4.725738396624473,6.0672e-06,80,0,0.0
40,80,2,2,0.002977414099485009,15,59040.0,28800,1200,0.47343503419253025,4.8,4.734350341925302,6.0832e-06,80,0,0.0
40,88,2,2,0.002940469811407568,15,62880.0,30720,1320,0.47501237011380504,4.654545454545455,4.654545454545455,6.5999999999999995e-06,80,1442,7.21e-06
40,96,2,2,0.0029260963519757333,15,66720.0,32640,1440,0.47641289117234936,4.533333333333334,4.533333333333334,7.199999999999999e-06,80,1562,7.81e-06
48,48,2,2,0.0029468674332195728,19,60192.0,29184,912,0.47083118224057824,6.4,4.708311822405783,6.1984e-06,80,0,0.0
48,56,2,2,0.002926395740455532,17,58208.0,28288,952,0.47146666666666665,5.942857142857143,4.714666666666666,6.000000000000001e-06,80,0,0.0
48,64,2,2,0.0029732756591748,15,55200.0,26880,960,0.4716451431779899,5.6,4.716451431779899,5.6991999999999996e-06,80,0,0.0
48,72,2,2,0.0029785713489181883,14,55104.0,26880,1008,0.47244094488188976,5.333333333333334,4.724409448818897,5.6896000000000005e-06,80,0,0.0
48,80,2,2,0.0029094852315148727,14,58688.0,28672,1120,0.4740740740740741,5.12,4.7407407407407405,6.048e-06,80,0,0.0
48,88,2,2,0.0029856928113036465,13,57824.0,28288,1144,0.4745034889962426,4.945454545454545,4.745034889962426,5.961600000000001e-06,80,0,0.0
48,96,2,2,0.0029724736579150807,13,61152.0,29952,1248,0.4758515505846467,4.8,4.758515505846467,6.294399999999999e-06,80,0,0.0
56,48,2,2,0.002928344672925969,18,61632.0,29952,1008,0.4722502522704339,5.942857142857143,4.722502522704339,6.3424000000000005e-06,80,0,0.0
56,56,2,2,0.0029144660318866913,16,58880.0,28672,896,0.47257383966244726,6.4,4.725738396624473,6.0672e-06,80,0,0.0
56,64,2,2,0.002973893318343488,14,55104.0,26880,896,0.47244094488188976,6.0,4.724409448818897,5.6896000000000005e-06,80,0,0.0
56,72,2,2,0.0029865144436792635,13,54496.0,26624,936,0.47299602046617395,5.688888888888889,4.729960204661739,5.6288e-06,80,0,0.0
56,80,2,2,0.002920255810071239,13,57824.0,28288,1040,0.4745034889962426,5.44,4.745034889962426,5.961600000000001e-06,80,0,0.0
56,88,2,2,0.0028843805615764557,13,61152.0,29952,1144,0.4758515505846467,5.236363636363637,4.758515505846467,6.294399999999999e-06,80,0,0.0
56,96,2,2,0.002999704820119937,12,59520.0,29184,1152,0.4759916492693111,5.066666666666666,4.759916492693111,6.1312e-06,80,0,0.0
64,48,2,2,0.002980456497853114,17,62560.0,30464,1088,0.4733963202386872,5.6,4.733963202386872,6.435200000000001e-06,80,0,0.0
64,56,2,2,0.002973857012516672,15,59040.0,28800,960,0.47343503419253025,6.0,4.734350341925302,6.0832e-06,80,0,0.0
64,64,2,2,0.002942406271207801,14,58688.0,28672,896,0.4740740740740741,6.4,4.7407407407407405,6.048e-06,80,0,0.0
64,72,2,2,0.0029557970216080327,13,57824.0,28288,936,0.4745034889962426,6.044444444444444,4.745034889962426,5.961600000000001e-06,80,0,0.0
64,80,2,2,0.002888656317013466,13,61152.0,29952,1040,0.4758515505846467,5.76,4.758515505846467,6.294399999999999e-06,80,0,0.0
64,88,2,2,0.002979829641176394,12,59520.0,29184,1056,0.4759916492693111,5.527272727272727,4.759916492693111,6.1312e-06,80,0,0.0
64,96,2,2,0.0029686449686936057,12,62592.0,30720,1152,0.47713717693836977,5.333333333333334,4.7713717693836974,6.438400000000001e-06,80,0,0.0
16,48,4,2,0.0029708578884960605,29,76560.0,37120,1392,0.4737594445578926,5.333333333333334,4.737594445578926,7.835199999999999e-06,120,0,0.0
16,56,4,2,0.0029660835097611543,26,75296.0,36608,1456,0.4748858447488584,5.0285714285714285,4.748858447488584,7.7088e-06,120,0,0.0
16,64,4,2,0.002999346348512523,23,72496.0,35328,1472,0.4755545983200517,4.8,4.755545983200517,7.428799999999999e-06,120,0,0.0
16,72,4,2,0.0029900001388810794,22,74976.0,36608,1584,0.4768653605669029,4.622222222222222,4.622222222222222,7.92e-06,120,1657,8.285e-06
16,80,4,2,0.00298582652666506,21,76944.0,37632,1680,0.4779516358463727,4.48,4.48,8.4e-06,120,1752,8.76e-06
16,88,4,2,0.0029306373365435086,21,82320.0,40320,1848,0.4793608521970706,4.363636363636363,4.363636363636363,9.24e-06,120,1920,9.6e-06
16,96,4,2,0.002987007174004459,20,83520.0,40960,1920,0.48012003000750186,4.266666666666666,4.266666666666666,9.600000000000001e-06,120,1991,9.955e-06
20,48,4,2,0.0029979912388991927,24,69504.0,33792,1152,0.473967684021544,5.866666666666666,4.73967684021544,7.1296e-06,120,0,0.0
20,56,4,2,0.002952706065639125,22,69344.0,33792,1232,0.4750337381916329,5.485714285714286,4.750337381916329,7.1136e-06,120,0,0.0
20,64,4,2,0.0029507214116759567,20,68160.0,33280,1280,0.4757548032936871,5.2,4.757548032936871,6.9951999999999995e-06,120,0,0.0
20,72,4,2,0.00292833138906762,19,69616.0,34048,1368,0.4768093210844723,4.977777777777778,4.768093210844723,7.1408e-06,120,0,0.0
20,80,4,2,0.0029428030923898743,18,70560.0,34560,1440,0.4776647501105705,4.8,4.776647501105705,7.235200000000001e-06,120,0,0.0
20,88,4,2,0.002999519585363953,17,70992.0,34816,1496,0.47834688942624753,4.654545454545455,4.654545454545455,7.479999999999999e-06,120,1568,7.84e-06
20,96,4,2,0.0029720600673343706,17,75344.0,36992,1632,0.4795685542418585,4.533333333333334,4.533333333333334,8.159999999999998e-06,120,1704,8.52e-06
24,48,4,2,0.002972210972199304,21,66192.0,32256,1008,0.4744645799011532,6.4,4.744645799011532,6.798400000000001e-06,120,0,0.0
24,56,4,2,0.0029360305021701246,19,64752.0,31616,1064,0.4751142101466699,5.942857142857143,4.751142101466699,6.654399999999999e-06,120,0,0.0
24,64,4,2,0.0029495110326199798,17,62288.0,30464,1088,0.47540574282147313,5.6,4.754057428214732,6.408e-06,120,0,0.0
24,72,4,2,0.0029394093458925447,16,62720.0,30720,1152,0.47619047619047616,5.333333333333334,4.761904761904762,6.4512e-06,120,0,0.0
24,80,4,2,0.002971777638829011,15,62640.0,30720,1200,0.4767817233672709,5.12,4.76781723367271,6.4431999999999996e-06,120,0,0.0
24,88,4,2,0.0029297882477802746,15,66480.0,32640,1320,0.47808764940239046,4.945454545454545,4.780876494023905,6.8272e-06,120,0,0.0
24,96,4,2,0.002916424300735775,15,70320.0,34560,1440,0.479254493010872,4.8,4.79254493010872,7.2112e-06,120,0,0.0
28,48,4,2,0.0029979677090233043,18,61344.0,29952,864,0.4744044602128738,6.933333333333333,4.744044602128738,6.3136e-06,120,0,0.0
28,56,4,2,0.0029940159588307687,16,58624.0,28672,896,0.4745762711864407,6.4,4.745762711864407,6.041600000000001e-06,120,0,0.0
28,64,4,2,0.002951002386480192,15,58800.0,28800,960,0.47531027198310005,6.0,4.753102719831,6.0592e-06,120,0,0.0
28,72,4,2,0.002955792178052972,14,58464.0,28672,1008,0.4758364312267658,5.688888888888889,4.758364312267657,6.025600000000001e-06,120,0,0.0
28,80,4,2,0.0028899149457575287,14,62048.0,30464,1120,0.47719298245614034,5.44,4.771929824561403,6.384e-06,120,0,0.0
28,88,4,2,0.0029682241749081854,13,60944.0,29952,1144,0.4774292272379495,5.236363636363637,4.774292272379495,6.2736e-06,120,0,0.0
28,96,4,2,0.002955509907196641,13,64272.0,31616,1248,0.4785662387987406,5.066666666666666,4.785662387987406,6.606400000000001e-06,120,0,0.0
32,48,4,2,0.002980456497853114,17,62288.0,30464,816,0.47540574282147313,7.466666666666667,4.754057428214732,6.408e-06,120,0,0.0
32,56,4,2,0.002973857012516672,15,58800.0,28800,840,0.47531027198310005,6.857142857142857,4.753102719831,6.0592e-06,120,0,0.0
32,64,4,2,0.002942406271207801,14,58464.0,28672,896,0.4758364312267658,6.4,4.758364312267657,6.025600000000001e-06,120,0,0.0
32,72,4,2,0.0029557970216080327,13,57616.0,28288,936,0.4761648262860221,6.044444444444444,4.761648262860221,5.9408e-06,120,0,0.0
32,80,4,2,0.002888656317013466,13,60944.0,29952,1040,0.4774292272379495,5.76,4.774292272379495,6.2736e-06,120,0,0.0
32,88,4,2,0.002979829641176394,12,59328.0,29184,1056,0.4774869109947644,5.527272727272727,4.774869109947645,6.111999999999999e-06,120,0,0.0
32,96,4,2,0.0029686449686936057,12,62400.0,30720,1152,0.4785643070787637,5.333333333333334,4.7856430707876365,6.4192e-06,120,0,0.0
