NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
32,48,2,2,0.002994494082881152,23,33488.0,16192,2944,0.45895691609977324,1.1,1.1,1.4719999999999998e-05,20,1418,7.09e-06
32,56,2,2,0.0029567332664776503,21,31920.0,15456,2688,0.4584717607973422,1.15,1.15,1.3440000000000002e-05,20,1488,7.44e-06
32,64,2,2,0.002963335933556388,19,30096.0,14592,2432,0.45760160561966884,1.2,1.2,1.216e-05,20,1526,7.63e-06
32,72,2,2,0.002941227127709757,18,29664.0,14400,2304,0.4577822990844354,1.25,1.25,1.152e-05,20,1605,8.025e-06
32,80,2,2,0.00295060581631413,17,29104.0,14144,2176,0.4577938891765924,1.3,1.3,1.088e-05,20,1668,8.34e-06
32,88,2,2,0.0029979816400675413,16,28416.0,13824,2048,0.4576271186440678,1.35,1.35,1.024e-05,20,1715,8.575e-06
32,96,2,2,0.0029846835663289526,16,29440.0,14336,2048,0.45901639344262296,1.4,1.4,1.024e-05,20,1843,9.215e-06
32,12,2,8,0.0029914924513382425,31,44857.0,21824,3968,0.4678342515380823,1.1,1.1,1.984e-05,50,1296,6.48e-06
32,14,2,8,0.002966366177498063,28,42308.0,20608,3584,0.46730158730158733,1.15,1.15,1.792e-05,50,1199,5.995e-06
32,16,2,8,0.0029849427376817295,24,37800.0,18432,3072,0.46554859567589413,1.2,1.2,1.536e-05,50,1069,5.345e-06
32,18,2,8,0.002957267162314645,22,36058.0,17600,2816,0.46499339498018494,1.25,1.25,1.408e-05,50,1005,5.025e-06
32,20,2,8,0.0029988871687082665,19,32357.0,15808,2432,0.46291253038156316,1.3,1.3,1.216e-05,50,908,4.54e-06
32,22,2,8,0.002931235984631414,18,31806.0,15552,2304,0.4628846955175903,1.35,1.35,1.152e-05,50,877,4.385e-06
32,24,2,8,0.0029846835663289526,16,29296.0,14336,2048,0.4611425630468348,1.4,1.4,1.024e-05,50,813,4.065e-06
32,6,2,16,0.002977757246024658,34,49147.0,23936,4352,0.46989536504446494,1.1,1.1,2.176e-05,90,1390,6.95e-06
32,7,2,16,0.0029940750390753355,29,43775.5,21344,3712,0.46840401602018983,1.15,1.15,1.856e-05,90,1226,6.13e-06
32,8,2,16,0.0029539812366471603,26,40911.0,19968,3328,0.4676018078355151,1.2,1.2,1.664e-05,90,1128,5.64e-06
32,9,2,16,0.002980603797885379,23,37662.5,18400,2944,0.4663599842856962,1.25,1.25,1.472e-05,90,1030,5.15e-06
32,10,2,16,0.0029458560906098098,21,35731.5,17472,2688,0.46562820632403695,1.3,1.3,1.344e-05,90,965,4.825e-06
32,11,2,16,0.002976046677913905,18,31779.0,15552,2304,0.4632569777486521,1.35,1.35,1.152e-05,90,867,4.335e-06
32,12,2,16,0.0029846835663289526,16,29272.0,14336,2048,0.46149884110224054,1.4,1.4,1.024e-05,90,802,4.01e-06
32,3,2,32,0.0029689936381145673,36,52011.0,25344,4608,0.4710518000854971,1.1,1.1,2.3039999999999996e-05,170,1454,7.27e-06
32,4,2,32,0.002964931727063623,27,42464.25,20736,3456,0.46854399096172855,1.2,1.2,1.728e-05,170,1158,5.79e-06
32,5,2,32,0.0029802807239600287,21,35715.75,17472,2688,0.46582372976251574,1.3,1.3,1.344e-05,170,961,4.805e-06
32,6,2,32,0.0029846835663289526,16,29260.0,14336,2048,0.4616771866546438,1.4,1.4,1.024e-05,170,797,3.985e-06
40,48,2,2,0.0029677912717940703,20,34240.0,16640,3200,0.46181172291296624,1.04,1.04,1.6e-05,20,1279,6.395e-06
40,56,2,2,0.002941618126163033,18,31968.0,15552,2880,0.4606635071090047,1.08,1.08,1.4399999999999998e-05,20,1325,6.625e-06
