NZr,NZc,Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
32,48,2,2,0.0069312084870789695,53,77168.0,37312,6784,0.4725430597771023,1.1,1.1,3.392e-05
32,56,2,2,0.006939651553954418,48,72960.0,35328,6144,0.4726027397260274,1.15,1.15,3.0720000000000004e-05
32,64,2,2,0.00692524285144099,45,71280.0,34560,5760,0.47295817823516534,1.2,1.2,2.88e-05
32,72,2,2,0.006989384895608921,42,69216.0,33600,5376,0.47318611987381703,1.25,1.25,2.688e-05
32,80,2,2,0.006942048902798295,41,70192.0,34112,5248,0.4738830851300289,1.3,1.3,2.624e-05
32,88,2,2,0.006966675861605318,40,71040.0,34560,5120,0.47451669595782076,1.35,1.35,2.56e-05
32,96,2,2,0.006936755259115098,40,73600.0,35840,5120,0.47538200339558573,1.4,1.4,2.56e-05
32,12,2,8,0.00747972586758338,61,88267.0,42944,7808,0.47684295850498004,1.1,1.1,3.904e-05
32,14,2,8,0.006963514169122913,61,92171.0,44896,7808,0.4778050934942477,1.15,1.15,3.904e-05
32,16,2,8,0.006954082674885537,54,85050.0,41472,6912,0.47755694249326364,1.2,1.2,3.456e-05
32,18,2,8,0.006988605160235347,48,78672.0,38400,6144,0.4772320540862995,1.25,1.25,3.072e-05
32,20,2,8,0.006930423560912352,45,76635.0,37440,5760,0.47738661430374746,1.3,1.3,2.88e-05
32,22,2,8,0.006918728753742002,42,74214.0,36288,5376,0.47743599189537667,1.35,1.35,2.688e-05
32,24,2,8,0.006936755259115098,40,73240.0,35840,5120,0.4776628638447596,1.4,1.4,2.56e-05
32,6,2,16,0.007776375982359041,61,88175.5,42944,7808,0.47732792397254564,1.1,1.1,3.904e-05
32,7,2,16,0.0072091032881776524,61,92079.5,44896,7808,0.47827082767400114,1.15,1.15,3.904e-05
32,8,2,16,0.006979223857795538,57,89689.5,43776,7296,0.4785229800560769,1.2,1.2,3.648e-05
32,9,2,16,0.006989249292358889,51,83512.5,40800,6528,0.47828660856109584,1.25,1.25,3.264e-05
32,10,2,16,0.006999819845912684,46,78269.0,38272,5888,0.47803549793282624,1.3,1.3,2.944e-05
32,11,2,16,0.006933508467374172,43,75916.5,37152,5504,0.4780944169556741,1.35,1.35,2.752e-05
