Layer,Projection,Eigenvalue Magnitude
Encoder_Layer_1,k_proj,1.5054952
Encoder_Layer_1,k_proj,1.4253479
Encoder_Layer_1,k_proj,1.4253479
Encoder_Layer_1,k_proj,1.4740255
Encoder_Layer_1,k_proj,1.4740255
Encoder_Layer_1,k_proj,1.3600606
Encoder_Layer_1,k_proj,1.3600606
Encoder_Layer_1,k_proj,1.4033787
Encoder_Layer_1,k_proj,1.3987643
Encoder_Layer_1,k_proj,1.3987643
Encoder_Layer_1,k_proj,1.3600141
Encoder_Layer_1,k_proj,1.3600141
Encoder_Layer_1,k_proj,1.3740934
Encoder_Layer_1,k_proj,1.3740934
Encoder_Layer_1,k_proj,1.3538355
Encoder_Layer_1,k_proj,1.3538355
Encoder_Layer_1,k_proj,1.3332561
Encoder_Layer_1,k_proj,1.3332561
Encoder_Layer_1,k_proj,1.289896
Encoder_Layer_1,k_proj,1.289896
Encoder_Layer_1,k_proj,1.2789283
Encoder_Layer_1,k_proj,1.2789283
Encoder_Layer_1,k_proj,1.3030896
Encoder_Layer_1,k_proj,1.3030896
Encoder_Layer_1,k_proj,1.2723346
Encoder_Layer_1,k_proj,1.2723346
Encoder_Layer_1,k_proj,1.304844
Encoder_Layer_1,k_proj,1.304844
Encoder_Layer_1,k_proj,1.2945971
Encoder_Layer_1,k_proj,1.2945971
Encoder_Layer_1,k_proj,1.2149034
Encoder_Layer_1,k_proj,1.2149034
Encoder_Layer_1,k_proj,1.3195838
Encoder_Layer_1,k_proj,1.3195838
Encoder_Layer_1,k_proj,1.3224604
Encoder_Layer_1,k_proj,1.3224604
Encoder_Layer_1,k_proj,1.1841669
Encoder_Layer_1,k_proj,1.1841669
Encoder_Layer_1,k_proj,1.2055923
Encoder_Layer_1,k_proj,1.2055923
Encoder_Layer_1,k_proj,1.3041735
Encoder_Layer_1,k_proj,1.3041735
Encoder_Layer_1,k_proj,1.240305
Encoder_Layer_1,k_proj,1.240305
Encoder_Layer_1,k_proj,1.289833
Encoder_Layer_1,k_proj,1.289833
Encoder_Layer_1,k_proj,1.2155606
Encoder_Layer_1,k_proj,1.2155606
Encoder_Layer_1,k_proj,1.2552137
Encoder_Layer_1,k_proj,1.2552137
Encoder_Layer_1,k_proj,1.3076469
Encoder_Layer_1,k_proj,1.3076469
Encoder_Layer_1,k_proj,1.3264238
Encoder_Layer_1,k_proj,1.3264238
Encoder_Layer_1,k_proj,1.266923
Encoder_Layer_1,k_proj,1.266923
Encoder_Layer_1,k_proj,1.2099655
Encoder_Layer_1,k_proj,1.2099655
Encoder_Layer_1,k_proj,1.3122349
Encoder_Layer_1,k_proj,1.3122349
Encoder_Layer_1,k_proj,1.2981693
Encoder_Layer_1,k_proj,1.2981693
Encoder_Layer_1,k_proj,1.2300862
Encoder_Layer_1,k_proj,1.2300862
Encoder_Layer_1,k_proj,1.2086471
Encoder_Layer_1,k_proj,1.2086471
Encoder_Layer_1,k_proj,1.2824872
Encoder_Layer_1,k_proj,1.2824872
Encoder_Layer_1,k_proj,1.2857758
Encoder_Layer_1,k_proj,1.2857758
Encoder_Layer_1,k_proj,1.239894
Encoder_Layer_1,k_proj,1.239894
Encoder_Layer_1,k_proj,1.1721325
Encoder_Layer_1,k_proj,1.1721325
Encoder_Layer_1,k_proj,1.2244273
Encoder_Layer_1,k_proj,1.2244273
Encoder_Layer_1,k_proj,1.1868625
Encoder_Layer_1,k_proj,1.1868625
Encoder_Layer_1,k_proj,1.1967102
Encoder_Layer_1,k_proj,1.1967102
Encoder_Layer_1,k_proj,1.184225
Encoder_Layer_1,k_proj,1.184225
Encoder_Layer_1,k_proj,1.2040126
Encoder_Layer_1,k_proj,1.2040126
Encoder_Layer_1,k_proj,1.1949639
Encoder_Layer_1,k_proj,1.1949639
Encoder_Layer_1,k_proj,1.1819762
Encoder_Layer_1,k_proj,1.1819762
Encoder_Layer_1,k_proj,1.1872165
Encoder_Layer_1,k_proj,1.1872165
Encoder_Layer_1,k_proj,1.1360945
Encoder_Layer_1,k_proj,1.1360945
Encoder_Layer_1,k_proj,1.1327627
Encoder_Layer_1,k_proj,1.1327627
Encoder_Layer_1,k_proj,1.1750906
Encoder_Layer_1,k_proj,1.1750906
Encoder_Layer_1,k_proj,1.1393023
Encoder_Layer_1,k_proj,1.1393023
Encoder_Layer_1,k_proj,1.1260153
Encoder_Layer_1,k_proj,1.1260153
Encoder_Layer_1,k_proj,1.1600028
Encoder_Layer_1,k_proj,1.1600028
Encoder_Layer_1,k_proj,1.1604435
Encoder_Layer_1,k_proj,1.1628708
Encoder_Layer_1,k_proj,1.1628708
Encoder_Layer_1,k_proj,1.1520668
Encoder_Layer_1,k_proj,1.1520668
Encoder_Layer_1,k_proj,1.1603522
Encoder_Layer_1,k_proj,1.1603522
