Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,2,0.002564868579308192,1184832.0,127.4399611084103,1.5100799934009403,0
5,64,5,0.002234123724823197,2369664.0,63.71998055420515,3.7662664885011155,0
5,64,8,0.001953966236518075,3554496.0,42.47998703613677,5.112980580829322,0
5,64,11,0.0017094977277641494,4739328.0,31.859990277102575,12.638959859604885,0
5,64,14,0.0014938446305071313,5924160.0,25.48799222168206,13.950031122200453,0
5,64,17,0.0013020450909001131,7108992.0,21.239993518068385,16.75081462675814,0
5,64,20,0.0011299309747604032,8293824.0,18.2057087297729,19.33117679509072,0
5,64,23,0.0009751867522330334,9478656.0,15.929995138551288,22.340024589971325,0
5,64,26,0.000836118085620304,10663488.0,14.159995678712257,26.266930634125675,0
5,64,29,0.0007111588590002308,11848320.0,12.74399611084103,29.929370525585004,0
5,64,32,0.0005992030443546051,13033152.0,11.585451009855483,34.8704812205426,0
5,64,35,0.0004989684724326556,14217984.0,10.619996759034192,38.317011684768396,0
5,64,38,0.00040963747111770016,15402816.0,9.803073931416177,37.67680148337535,0
5,64,41,0.00033029780509726453,16587648.0,9.10285436488645,38.746233430151726,0
5,64,44,0.00026032728540788713,17772480.0,8.495997407227353,39.23280579939616,0
5,64,47,0.00019893525313818827,18957312.0,7.964997569275644,39.68189977287455,0
5,64,50,0.0001457144353480544,20142144.0,7.4964683004947235,39.420666491392296,0
5,64,53,0.00010008164948279348,21326976.0,7.079997839356128,40.57183846567937,0
5,64,56,6.16581867992257e-05,22511808.0,6.707366374126858,40.07596166030536,0
5,64,59,3.0153182403106864e-05,23696640.0,6.371998055420515,40.07181296174145,0
