Method,Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
Group,0,64,1,0.0031635926570743322,33552.0,93.75679542203147,40.77087254443898,0
Group,0,64,3,0.0029968321323394775,100656.0,31.252265140677157,40.66771649148023,0
Group,0,64,5,0.002849539741873741,167760.0,18.751359084406296,40.69665957895134,0
Group,0,64,7,0.0027152185793966055,234864.0,13.393827917433068,41.11617305161277,0
Group,0,64,9,0.0025897356681525707,301968.0,10.417421713559053,40.65150032205284,0
Group,0,64,11,0.0024723615497350693,369072.0,8.523345038366498,40.734949577557074,0
Group,0,64,13,0.0023614109959453344,436176.0,7.212061186310113,40.36157938974136,0
Group,0,64,15,0.0022564015816897154,503280.0,6.250453028135431,41.1740740948472,0
Group,0,64,17,0.002156543079763651,570384.0,5.515105613060675,42.51062639979539,0
Group,0,64,19,0.0020605986937880516,637488.0,4.934568180106919,42.38723237639847,0
Group,0,64,21,0.0019702566787600517,704592.0,4.464609305811022,41.616795239903446,0
Group,0,64,23,0.0018846401944756508,771696.0,4.076382409653542,41.7663381597761,0
Group,0,64,25,0.0018022004514932632,838800.0,3.7502718168812588,41.31998114465426,0
Group,0,64,27,0.001723185065202415,905904.0,3.4724739045196844,42.073399364327955,0
Group,0,64,29,0.0016483584186062217,973008.0,3.2329929455872923,41.44904732713346,0
Group,1,64,1,0.0023541301488876343,33552.0,93.75679542203147,33.5286231474834,0
Group,1,64,3,0.002156671369448304,100656.0,31.252265140677157,33.636877787913924,0
Group,1,64,5,0.002006011549383402,167760.0,18.751359084406296,33.636877787913924,0
Group,1,64,7,0.0018762992694973946,234864.0,13.393827917433068,33.90047109224273,0
Group,1,64,9,0.0017619072459638119,301968.0,10.417421713559053,33.6370810770738,0
Group,1,64,11,0.001661118003539741,369072.0,8.523345038366498,34.261015679795634,0
Group,1,64,13,0.0015698190545663238,436176.0,7.212061186310113,33.44260532725991,0
Group,1,64,15,0.0014864684781059623,503280.0,6.250453028135431,33.51045965107909,0
Group,1,64,17,0.001412256620824337,570384.0,5.515105613060675,33.96117153186547,0
Group,1,64,19,0.001345030963420868,637488.0,4.934568180106919,33.772751789826636,0
Group,1,64,21,0.00128126738127321,704592.0,4.464609305811022,33.66403101562992,0
Group,1,64,23,0.0012220570351928473,771696.0,4.076382409653542,33.826268589600645,0
Group,1,64,25,0.001165654743090272,838800.0,3.7502718168812588,34.50237955315958,0
Group,1,64,27,0.0011124270968139172,905904.0,3.4724739045196844,34.273893138987745,0
Group,1,64,29,0.0010619518579915166,973008.0,3.2329929455872923,34.71287386944374,0
Group,2,64,1,0.002555388491600752,33552.0,93.75679542203147,39.69130201971579,0
Group,2,64,3,0.0024127506185323,100656.0,31.252265140677157,39.26129043185138,0
Group,2,64,5,0.0022903699427843094,167760.0,18.751359084406296,39.21545179528756,0
Group,2,64,7,0.0021804736461490393,234864.0,13.393827917433068,39.25607502497749,0
Group,2,64,9,0.002079539466649294,301968.0,10.417421713559053,39.7747782856521,0
Group,2,64,11,0.0019856421276926994,369072.0,8.523345038366498,39.821571077422,0
Group,2,64,13,0.0018983762711286545,436176.0,7.212061186310113,39.16515416936459,0
