Method,Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
Single,0,64,1,0.0030388040468096733,99120.0,31.736561743341404,42.087202605369676,0
Single,0,64,2,0.002847683383151889,198240.0,15.868280871670702,41.28814550292528,0
Single,0,64,3,0.0026713514234870672,297360.0,10.578853914447135,41.69401538314,0
Single,0,64,4,0.0025068549439311028,396480.0,7.934140435835351,41.602047684273344,0
Single,0,64,5,0.0023527767043560743,495600.0,6.3473123486682805,41.51354959030654,0
Single,0,64,6,0.0022083378862589598,594720.0,5.289426957223568,41.21738972704285,0
Single,0,64,7,0.002071896567940712,693840.0,4.533794534763058,40.85234443149994,0
Single,0,64,8,0.0019431347027420998,792960.0,3.9670702179176756,41.37682059897447,0
Single,0,64,9,0.0018213107250630856,892080.0,3.526284638149045,40.87129935018978,0
Single,0,64,10,0.0017060432583093643,991200.0,3.1736561743341403,41.17493923238105,0
Single,1,64,1,0.002267798874527216,99120.0,31.736561743341404,34.06426871587239,0
Single,1,64,2,0.002092555398121476,198240.0,15.868280871670702,33.95671580848686,0
Single,1,64,3,0.0019413919653743505,297360.0,10.578853914447135,35.22831167234777,0
Single,1,64,4,0.001807448803447187,396480.0,7.934140435835351,35.90939333879036,0
Single,1,64,5,0.00168504542671144,495600.0,6.3473123486682805,35.87833207215083,0
Single,1,64,6,0.0015722594689577818,594720.0,5.289426957223568,36.67767417405995,0
Single,1,64,7,0.0014676855644211173,693840.0,4.533794534763058,37.5226150890484,0
Single,1,64,8,0.0013696069363504648,792960.0,3.9670702179176756,38.3445324102462,0
Single,1,64,9,0.0012781185796484351,892080.0,3.526284638149045,39.02112817466781,0
Single,1,64,10,0.0011924350401386619,991200.0,3.1736561743341403,39.76609218738461,0
Single,2,64,1,0.0024532803799957037,99120.0,31.736561743341404,38.89079113013699,0
Single,2,64,2,0.002294258214533329,198240.0,15.868280871670702,38.667651409488855,0
Single,2,64,3,0.002149767242372036,297360.0,10.578853914447135,38.86250327106453,0
Single,2,64,4,0.002016601152718067,396480.0,7.934140435835351,39.47993402769316,0
Single,2,64,5,0.0018928450299426913,495600.0,6.3473123486682805,40.154952908411815,0
Single,2,64,6,0.00177688745316118,594720.0,5.289426957223568,38.573978724226215,0
Single,2,64,7,0.0016679338878020644,693840.0,4.533794534763058,40.3177515859823,0
Single,2,64,8,0.0015651106368750334,792960.0,3.9670702179176756,39.99289121277638,0
Single,2,64,9,0.0014682481996715069,892080.0,3.526284638149045,40.637513792410964,0
Single,2,64,10,0.0013771317899227142,991200.0,3.1736561743341403,41.276493687162755,0
Single,3,64,1,0.0029127513989806175,99120.0,31.736561743341404,39.902357651936896,0
Single,3,64,2,0.0027111833915114403,198240.0,15.868280871670702,39.67452919008415,0
Single,3,64,3,0.002532836515456438,297360.0,10.578853914447135,39.897653697254405,0
Single,3,64,4,0.0023681074380874634,396480.0,7.934140435835351,40.80439389360807,0
Single,3,64,5,0.002219737507402897,495600.0,6.3473123486682805,39.68138215963158,0
Single,3,64,6,0.002081881044432521,594720.0,5.289426957223568,39.45848527474764,0
Single,3,64,7,0.001954567153006792,693840.0,4.533794534763058,39.9627253651219,0
Single,3,64,8,0.0018355294596403837,792960.0,3.9670702179176756,40.078848222050134,0
Single,3,64,9,0.001723441993817687,892080.0,3.526284638149045,39.363343974671,0
Single,3,64,10,0.0016178723890334368,991200.0,3.1736561743341403,39.93155618982727,0
Single,4,64,1,0.002941979095339775,99120.0,31.736561743341404,36.169565202104565,0
Single,4,64,2,0.0027642063796520233,198240.0,15.868280871670702,36.19875524636099,0
Single,4,64,3,0.002600358799099922,297360.0,10.578853914447135,35.866898333161764,0
Single,4,64,4,0.0024482018779963255,396480.0,7.934140435835351,36.80056562152181,0
Single,4,64,5,0.0023054457269608974,495600.0,6.3473123486682805,36.385571082872644,0
Single,4,64,6,0.0021709154825657606,594720.0,5.289426957223568,36.70913980038868,0
Single,4,64,7,0.002043643966317177,693840.0,4.533794534763058,36.21558791280653,0
Single,4,64,8,0.001923274714499712,792960.0,3.9670702179176756,36.516860376986216,0
Single,4,64,9,0.0018093062099069357,892080.0,3.526284638149045,35.953832491467836,0
Single,4,64,10,0.0017008811701089144,991200.0,3.1736561743341403,36.296072688242674,0
Single,5,64,1,0.003042893949896097,99120.0,31.736561743341404,35.40696769639279,0
Single,5,64,2,0.0028313668444752693,198240.0,15.868280871670702,35.09699063315148,0
Single,5,64,3,0.002651265589520335,297360.0,10.578853914447135,35.512515976537344,0
Single,5,64,4,0.002486812649294734,396480.0,7.934140435835351,35.8230959294269,0
Single,5,64,5,0.002334320917725563,495600.0,6.3473123486682805,36.29517058735458,0
Single,5,64,6,0.0021924939937889576,594720.0,5.289426957223568,36.42955783343763,0
Single,5,64,7,0.0020591095089912415,693840.0,4.533794534763058,36.44111170876585,0
Single,5,64,8,0.0019339327700436115,792960.0,3.9670702179176756,37.34510443660841,0
Single,5,64,9,0.001815511379390955,892080.0,3.526284638149045,36.86316925274275,0
Single,5,64,10,0.001704155933111906,991200.0,3.1736561743341403,38.28960185466161,0
