BLEU Score,Steps,Memory Footprint,Compression Ratio
41.956736250831966,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.17590841682156447
41.67526110714343,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.21027031362797785
41.72291436136793,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.2107357228605728
41.41052441034929,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.21120319692339093
41.60922151970368,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.2116727495881916
41.4440954917779,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.21214439474947802
41.644382919674314,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.21261814642586785
40.91026830814548,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.2649516038285701
41.33181788185594,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.3514591396215622
41.38960914630526,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5218422990915907
41.3818073041228,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5247182689805641
41.477624868138165,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5276261145513952
41.36890408994245,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5305663686962389
41.207197242099284,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5335395762522134
41.33126621094562,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.536546294337975
41.00267009779382,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5395870927017365
40.81766227774326,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.542662554081189
40.64924493530553,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5457732745758007
40.29701292159045,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",0.5489198640319958
40.621033719786766,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.1201139438826377
40.514121197363686,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.1334486336907645
40.774111000986395,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.147104641325593
40.85797211438933,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.1610937223173685
40.931755778619404,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.1754282127163482
40.62899784364923,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.1901210653753027
40.30824216273514,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.2051858889876483
40.10513366081188,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.2206369901285155
39.710325746081274,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.236489418571743
39.043353106441685,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.2527590161845292
39.158742554054626,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.2694624697336563
38.70357442814878,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.2866173679733002
38.227602832763864,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.3042422634249893
37.464051969925,"[15, 15, 27, 23, 33, 31]","[11894400, 11894400, 21409920, 18238080, 26167680, 24581760]",1.322356739305892
