Weight Word Length,Activation Word Length,BLEU Score (Range-Based),Compression Ratio
2,4,0.6714957664254161,16.0
4,4,20.990136322953443,8.0
6,4,21.673302060697498,5.333333333333333
8,4,22.03907863390366,4.0
10,4,22.696935286591533,3.2
12,4,22.771455440373632,2.6666666666666665
14,4,22.61496890539355,2.2857142857142856
16,4,21.144134505758554,2.0
2,6,0.3603638749510475,16.0
4,6,29.065114228313778,8.0
6,6,29.455252176256884,5.333333333333333
8,6,28.931261667046844,4.0
10,6,29.417797355122154,3.2
12,6,29.634047466647594,2.6666666666666665
14,6,30.194624933914614,2.2857142857142856
16,6,29.883472045812415,2.0
2,8,0.3377952344698971,16.0
4,8,29.46069283932415,8.0
6,8,28.9362793517451,5.333333333333333
8,8,29.20970295175841,4.0
10,8,29.110265828127556,3.2
12,8,28.759005388374202,2.6666666666666665
14,8,29.663131519661366,2.2857142857142856
16,8,29.22090401517919,2.0
2,16,0.3210074549500085,16.0
4,16,29.579702186160773,8.0
6,16,29.103319078579176,5.333333333333333
8,16,28.975610178099437,4.0
10,16,29.12759785567461,3.2
12,16,29.44884320121199,2.6666666666666665
14,16,29.44884320121199,2.2857142857142856
16,16,29.44884320121199,2.0
