Word Length,Fraction Length,Symmetric,Round Mode,BLEU Score
4,3,True,nearest,14.64823917137387
4,2,True,nearest,1.7657994853073269
4,1,True,nearest,1.4868554866171844
6,5,True,nearest,36.58118530620124
6,4,True,nearest,36.64093901769
6,3,True,nearest,21.025037432180316
6,2,True,nearest,1.4125517638699494
6,1,True,nearest,1.4868554866171844
8,7,True,nearest,39.03597302336057
8,6,True,nearest,38.161832481203575
8,5,True,nearest,39.535809857107154
8,4,True,nearest,39.13545439430108
8,3,True,nearest,21.93446302606657
8,2,True,nearest,1.9764806519275886
8,1,True,nearest,1.4868554866171844
16,15,True,nearest,38.7589370693997
16,14,True,nearest,38.25961739870954
16,13,True,nearest,39.56538000280504
16,12,True,nearest,39.46357093829164
16,11,True,nearest,40.612557307577845
16,10,True,nearest,40.92747129371486
16,9,True,nearest,41.49482312364643
16,8,True,nearest,41.193830336956964
32,31,True,nearest,38.7589370693997
32,30,True,nearest,38.323063469806826
32,29,True,nearest,39.56538000280504
32,28,True,nearest,39.46172398106732
32,27,True,nearest,40.612557307577845
32,26,True,nearest,40.521187477383634
32,25,True,nearest,41.337328250540224
32,24,True,nearest,41.337328250540224
