Weight Word Length,Activation Word Length,Layer,Rank,BLEU Score
3,16,1,32,40.89654471144208
3,16,1,64,40.931618437421626
3,16,1,96,39.76238004574215
3,16,1,128,39.625244745951186
3,16,1,160,40.17507195008252
3,16,1,192,40.259853492857985
3,16,1,224,40.351920029984775
3,16,1,256,40.19307469715199
3,16,1,288,40.58583215590234
3,16,1,320,41.20221994095935
3,16,1,352,40.185472391972425
3,16,1,384,40.592213395527864
3,16,1,416,40.107279523226374
3,16,1,448,39.98668745858562
3,16,2,32,37.53536867302641
3,16,2,64,39.03234979681959
3,16,2,96,38.861636856452094
3,16,2,128,39.34860660366775
3,16,2,160,40.04967824685242
3,16,2,192,40.15382385842618
3,16,2,224,40.02418715924564
3,16,2,256,39.41456693847661
3,16,2,288,40.13838370051993
3,16,2,320,40.105979620044586
3,16,2,352,40.104630291995136
3,16,2,384,40.03354057749585
3,16,2,416,39.65934716283057
3,16,2,448,39.669513745025625
3,16,3,32,37.97872366074218
3,16,3,64,38.108462953071296
3,16,3,96,39.95566817576462
3,16,3,128,40.54700487331733
3,16,3,160,40.41670866012367
3,16,3,192,39.804387237315616
3,16,3,224,41.83147894840765
3,16,3,256,41.00861728100878
3,16,3,288,41.03700559655971
3,16,3,320,40.871706738348536
3,16,3,352,40.939778458327424
3,16,3,384,40.713748829712884
3,16,3,416,40.77566755752677
3,16,3,448,40.45863289567535
3,16,4,32,39.92967638711431
3,16,4,64,39.396937717571625
3,16,4,96,39.92949348805227
3,16,4,128,39.58191909505801
3,16,4,160,40.65708079403015
3,16,4,192,41.09340510977968
3,16,4,224,40.74072559042731
3,16,4,256,40.43418687492914
3,16,4,288,40.90040364653423
3,16,4,320,39.7491115162916
3,16,4,352,41.36211046823823
3,16,4,384,40.31017442195939
3,16,4,416,40.74724295027412
3,16,4,448,40.451073245838174
3,16,5,32,36.79096068212844
3,16,5,64,36.904719964334284
3,16,5,96,39.239647478917824
3,16,5,128,40.56381153920397
3,16,5,160,40.47045814707649
3,16,5,192,40.591342306385975
3,16,5,224,40.59296564359452
3,16,5,256,40.19960621762378
3,16,5,288,40.0307340696955
3,16,5,320,40.10809856345677
3,16,5,352,40.26219584462815
3,16,5,384,39.9751526748174
3,16,5,416,40.5899072289745
3,16,5,448,40.53167468408159
3,16,6,32,35.16794335922814
3,16,6,64,36.944985487699284
3,16,6,96,37.47770866617128
3,16,6,128,37.406093943850664
3,16,6,160,38.1400776838943
3,16,6,192,39.96425495404073
3,16,6,224,40.66002792144972
3,16,6,256,39.951159269656586
3,16,6,288,39.70334259868087
3,16,6,320,40.255566910125125
3,16,6,352,40.43844999796103
3,16,6,384,41.04127733275866
3,16,6,416,40.381911296501684
3,16,6,448,40.5915352395391
