Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
32,1,0.0026113237254321575,1199232.0,15.738712776176753,3.4386002989310063,0.20860857537298405
32,2,0.00031530843504394096,2398464.0,7.869356388088376,5.134574482367329,0.2233541733921715
32,3,0.00027229528738340986,3597696.0,5.246237592058917,6.144818078947913,0.23326592117694162
32,4,0.00024140842045502117,4796928.0,3.934678194044188,11.596219310514918,0.2488912106586418
32,5,0.000214921121369116,5996160.0,3.1477425552353506,15.42807839009227,0.2531298817686516
32,6,0.00019213150274784616,7195392.0,2.6231187960294586,18.808342857016,0.25334281514008017
32,7,0.00017185906472150236,8394624.0,2.2483875394538217,21.851853109780627,0.25551263706804483
32,8,0.0001537385736204063,9593856.0,1.967339097022094,22.322355922818687,0.2542083202123923
32,9,0.0001382851720942805,10793088.0,1.7487458640196392,26.188318738848587,0.2571316668744531
32,10,0.00012396087307327738,11992320.0,1.5738712776176753,29.358936862083375,0.2588301417618187
32,11,0.00011089631758901912,13191552.0,1.430792070561523,34.04930606678198,0.26349314097086907
32,12,9.885054532787763e-05,14390784.0,1.3115593980147293,36.726446074997995,0.2644950361951106
32,13,8.767718221254957e-05,15590016.0,1.210670213552058,39.22458379440741,0.2646954756090415
32,14,7.763720229074049e-05,16789248.0,1.1241937697269109,38.365544889889605,0.26443431990091965
32,15,6.826875930225167e-05,17988480.0,1.0492475184117835,39.86966100751532,0.26436380472764986
32,16,5.990027724086152e-05,19187712.0,0.983669548511047,39.068744302987966,0.2652398916072847
32,17,5.216471436142456e-05,20386944.0,0.9258066338927502,40.52694810368322,0.2658888523288858
32,18,4.509911438314399e-05,21586176.0,0.8743729320098196,40.66080296275095,0.26555900257887055
32,19,3.859082698909333e-05,22785408.0,0.8283533040093028,40.87962421499257,0.2658874257074053
64,1,0.0026293878133098283,594720.0,31.736561743341404,2.2542550415087463,0.2086835601292497
64,3,0.00034858633201414097,1784160.0,10.578853914447135,2.2854037018122,0.2132024503956065
64,5,0.0002891988163658728,2973600.0,6.3473123486682805,5.470240050690519,0.2294809511067475
64,7,0.00025032215732305,4163040.0,4.533794534763058,10.344098370472134,0.24153357654017435
64,9,0.00022053205369350812,5352480.0,3.526284638149045,12.996098396259404,0.24857656416655355
64,11,0.00019542861506730938,6541920.0,2.8851419766674002,17.57162110611472,0.2539414477335404
64,13,0.0001738837017910555,7731360.0,2.441273980257031,20.066595785679027,0.25330559669266994
64,15,0.0001545252550082902,8920800.0,2.115770782889427,24.047202764175076,0.2551789458371937
64,17,0.00013790336500581665,10110240.0,1.8668565731377296,26.400869833368002,0.25903670460572603
64,19,0.00012284943174260357,11299680.0,1.6703453549127054,28.480722640012484,0.25814742456048545
64,21,0.00010947877914683583,12489120.0,1.5112648449210193,30.785419331529862,0.2611477995044229
64,23,9.707055263182458e-05,13678560.0,1.3798505105800611,34.21907638258498,0.26376182789764147
64,25,8.576726516669926e-05,14868000.0,1.2694624697336563,37.37325542910535,0.26502789209766137
64,27,7.515894321841188e-05,16057440.0,1.1754282127163482,37.53511231383182,0.26468960207957243
64,29,6.553888609535836e-05,17246880.0,1.0943641980462553,38.86764840643667,0.2644667241299499
64,31,5.6745267405252285e-05,18436320.0,1.0237600562368194,39.71986694814053,0.2652756291881886
64,33,4.8663251921728566e-05,19625760.0,0.9617139922224668,40.68950455451,0.26493199893481917
64,35,4.130351953790523e-05,20815200.0,0.9067589069526115,40.19694266578629,0.264638238044788
64,37,3.466380015500666e-05,22004640.0,0.8577449119822002,39.89502534326899,0.26487924726558293
128,1,0.0025955848783875504,296136.0,63.73547289083394,2.157517008344452,0.19615973509124338
128,5,0.00038605932301531237,1480680.0,12.747094578166788,2.3718062946511385,0.20551048722923862
128,9,0.00030207728074553114,2665224.0,7.08171921009266,2.8613762993731484,0.20560560994388621
128,13,0.0002549477430875413,3849768.0,4.902728683910303,5.433327033993651,0.2236963762601243
128,17,0.00022039863445873684,5034312.0,3.7491454641667024,9.985666921850331,0.2417366203255322
128,21,0.00019231495146717256,6218856.0,3.03502251861114,13.546800750838095,0.2496801517776149
128,25,0.00016977971730132899,7403400.0,2.5494189156333578,15.84066165998961,0.25286289898122827
128,29,0.00015020454884506762,8587944.0,2.1977749272701357,19.358381436409886,0.25525958945721683
128,33,0.0001326881889932944,9772488.0,1.9313779663889072,24.46863827877725,0.2575443808437612
128,37,0.00011705695214914158,10957032.0,1.7225803484009172,25.307753753181462,0.25687443342548955
128,41,0.00010304369304018716,12141576.0,1.5545237290447302,28.0329291748692,0.258912187741025
128,45,9.029425806753959e-05,13326120.0,1.416343842018532,30.899175846311966,0.2601967329714572
128,49,7.876468710795355e-05,14510664.0,1.3007239365476315,33.56602740650412,0.26210701102863604
128,53,6.854852775480443e-05,15695208.0,1.2025560922798857,35.32347782430397,0.26359313320385236
128,57,5.940094039639613e-05,16879752.0,1.1181661910672622,38.01069418313367,0.2630420246461559
128,61,5.1105553211527877e-05,18064296.0,1.0448438178825237,39.6206725441776,0.26411803940886286
128,65,4.360645531657307e-05,19248840.0,0.9805457367820606,39.66520617514445,0.26488675558283586
128,69,3.693293486624801e-05,20433384.0,0.92370250566426,39.28548376781302,0.2650056070331799
128,73,3.083234423684189e-05,21617928.0,0.8730886697374513,39.60522071853513,0.2642121185642854
256,1,0.0025343908152232566,147762.0,127.73492508222682,1.8333979165885572,0.18656650563551808
256,9,0.0004357155072890843,1329858.0,14.192769453580759,1.9260613660284667,0.1897504676012159
256,17,0.0003074414998991415,2511954.0,7.513819122483931,4.070358762556606,0.21226737755600866
256,25,0.00025181831976321217,3694050.0,5.1093970032890725,4.852471594668054,0.22335845895771975
256,33,0.00021470169546470666,4876146.0,3.870755305522025,10.301801896322573,0.24456212196994262
256,41,0.00018582126358523965,6058242.0,3.1154859776152883,14.58269347398287,0.2509705075354377
256,49,0.00016217857046285644,7240338.0,2.6068352057597313,18.777289642614335,0.25169932456392646
256,57,0.0001418798832067599,8422434.0,2.240963597933804,21.702123070891695,0.25439989816245406
256,65,0.00012435382814146578,9604530.0,1.9651526935727204,24.944173885132212,0.25544939021666757
256,73,0.00010874297853054789,10786626.0,1.7497934942770799,27.15976228730106,0.2569165319708117
256,81,9.517524570886356e-05,11968722.0,1.5769743837311954,29.472056443423483,0.25883713603067515
256,89,8.297439611245257e-05,13150818.0,1.4352238773283912,32.10633254937277,0.2601002651203509
256,97,7.194821773737203e-05,14332914.0,1.3168548977549157,33.356261907284775,0.26127742824763095
256,105,6.215817181024856e-05,15515010.0,1.216523096021208,34.047731453742045,0.26188892262689584
256,113,5.333262924978044e-05,16697106.0,1.1303975670993525,37.45395178845739,0.2633798049502373
256,121,4.5652601935823135e-05,17879202.0,1.055660537869643,38.14078106334391,0.26358382825488946
256,129,3.876590199070051e-05,19061298.0,0.9901932176916808,38.40833854288303,0.2631044171716484
256,137,3.252393131939849e-05,20243394.0,0.932371715928663,38.75534295255574,0.262752529774097
256,145,2.7078565532671444e-05,21425490.0,0.8809305178084609,39.44021734103949,0.26386197694515007
512,1,0.0024665752813840904,73804.5,255.7346503261996,1.5263084105921512,0.17738578141567404
512,17,0.0005131813183349246,1254676.5,15.043214725070566,2.5750007723951174,0.19077167320442479
512,33,0.00030855466805708903,2435548.5,7.749534858369685,4.610738534727758,0.22498475051609726
512,49,0.0002444473041881186,3616420.5,5.219074496453054,7.516230893670812,0.23260366463676158
512,65,0.00020520319715918353,4797292.5,3.9343792357876866,11.79820155406167,0.24757288983134526
512,81,0.0001755055297204914,5978164.5,3.1572179052617235,15.90892887708699,0.24879541121021398
512,97,0.00015125199812852466,7159036.5,2.6364396940845323,20.656115615427005,0.2531993990609312
512,113,0.0001309997775630715,8339908.5,2.2631384984619434,22.741981177658786,0.25461323366385674
512,129,0.00011354479647707194,9520780.5,1.982439149815501,27.03657661922227,0.25629315943601355
