Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
3,64,10.128347753608708,11.889556836699446,42.666666666666664
3,80,13.309116624455275,18.940611650866796,34.13333333333333
3,96,16.79435936881102,20.093477535997888,28.444444444444443
3,112,18.751775141893212,23.207894051962146,24.38095238095238
3,128,23.126247893129968,23.28407113623448,21.333333333333332
3,144,24.73526595922231,27.242155707566795,18.962962962962962
3,160,27.78982754119439,29.041315846390166,17.066666666666666
3,176,26.79634965661828,32.54730577088804,15.515151515151516
3,192,28.943530196917372,33.34821430883552,14.222222222222221
3,208,29.065374194642825,35.158258504922756,13.128205128205128
3,224,31.08757583985294,36.63015070881022,12.19047619047619
3,240,30.241351236919172,36.762522946879265,11.377777777777778
3,256,31.28860976390424,38.28998620290449,10.666666666666666
3,272,32.42462730147066,36.818353676005614,10.03921568627451
3,288,32.74071268247473,38.431075228398996,9.481481481481481
3,304,33.31446095822458,38.27296451841373,8.982456140350877
3,320,33.93457960040437,38.29121402008153,8.533333333333333
3,336,34.043821732980845,37.956373555647986,8.126984126984127
3,352,34.07478254722645,37.86123484465585,7.757575757575758
3,368,32.95586252480678,37.57755451621634,7.420289855072464
3,384,33.64571195079946,38.53863408903561,7.111111111111111
3,400,33.96001869942137,38.75394237527583,6.826666666666667
3,416,34.313075282122504,38.940738161840805,6.564102564102564
3,432,34.33630034475371,38.54391430874565,6.320987654320987
3,448,33.1691736540189,38.80217388412735,6.095238095238095
3,464,33.29204688017035,38.38530067700475,5.885057471264368
3,480,33.17805259269528,37.80268758278286,5.688888888888889
3,496,33.47580369401181,38.40902611251306,5.505376344086022
3,512,33.719820741857816,38.19260227970283,5.333333333333333
4,64,17.247244924996533,20.05614581217834,32.0
4,80,21.60556406893428,22.425132287574673,25.6
4,96,23.521433873416566,24.49178663924338,21.333333333333332
4,112,26.18175043233828,26.70606376959373,18.285714285714285
4,128,29.246521813532624,29.741719397276672,16.0
4,144,31.81758903441409,30.477524256907508,14.222222222222221
4,160,30.9372823284639,32.28752826481293,12.8
4,176,34.28333472616631,34.46394552237334,11.636363636363637
4,192,36.19925057349403,36.100366189879026,10.666666666666666
4,208,37.22800095589331,37.4418189510397,9.846153846153847
4,224,36.10394018582607,38.37753793907248,9.142857142857142
4,240,38.4074516349312,39.30851892187071,8.533333333333333
4,256,37.578066047947885,39.81420229943286,8.0
4,272,37.688417456907025,40.09120955978714,7.529411764705882
4,288,37.59194685651214,40.219769499955696,7.111111111111111
4,304,37.46195077544211,39.20255753796349,6.7368421052631575
4,320,38.16054228364684,39.05155597756815,6.4
