Weight Word Length,Activation Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
7,6,64,16.447712502870125,16.173948326926872,18.285714285714285
7,6,80,21.457822570222525,22.24512225429066,14.628571428571428
7,6,96,24.63744864363669,24.79923147485034,12.19047619047619
7,6,112,28.81099000535124,29.013019188862305,10.448979591836734
7,6,128,31.35716795167061,29.893462337851794,9.142857142857142
7,6,144,35.21103669409867,33.12730262620486,8.126984126984127
7,6,160,34.317520954008494,35.465964879763426,7.314285714285714
7,6,176,37.66779847866574,37.35229951976451,6.64935064935065
7,6,192,36.75827181924202,38.72528594091821,6.095238095238095
7,6,208,38.6131195333208,38.946771771683856,5.626373626373627
7,6,224,39.18057851336575,38.74930903638253,5.224489795918367
7,6,240,39.32935953473603,38.78531000883193,4.876190476190477
7,6,256,38.586646709637904,39.89644856831403,4.571428571428571
7,6,272,40.60863333344638,39.68159156650526,4.302521008403361
7,6,288,40.87101539041039,40.49997988914982,4.063492063492063
7,6,304,40.02857461981075,40.87712156694992,3.8496240601503757
7,6,320,41.921265249782444,41.21182021958707,3.657142857142857
7,6,336,40.12631772605448,39.21513776523952,3.4829931972789114
7,6,352,41.50340303467927,40.731532728718584,3.324675324675325
7,6,368,41.998225393283,40.530258481755645,3.1801242236024843
7,6,384,40.380240747413225,40.4139040412752,3.0476190476190474
7,6,400,41.220570052927265,39.57522329234218,2.9257142857142857
7,6,416,39.71197206431606,39.53063905346702,2.8131868131868134
7,6,432,40.42232973455197,38.67831386707269,2.708994708994709
7,6,448,39.54525640336077,38.77344804605984,2.6122448979591835
7,6,464,39.72780296725042,39.7826298976415,2.522167487684729
7,6,480,40.50306346481629,39.84675514220539,2.4380952380952383
7,6,496,40.71663417371569,40.5484581234856,2.359447004608295
7,6,512,40.47715003446138,40.51865143055921,2.2857142857142856
7,8,64,17.6750706363138,16.361023509192112,18.285714285714285
7,8,80,22.974811049268375,22.864996375108003,14.628571428571428
7,8,96,25.63333982410721,26.140890632788523,12.19047619047619
7,8,112,29.198805666734113,29.328507075138322,10.448979591836734
7,8,128,32.33102036419399,32.06311403502813,9.142857142857142
7,8,144,35.49550906225908,34.69477457883466,8.126984126984127
7,8,160,36.41704150152885,37.26515693731907,7.314285714285714
7,8,176,36.589554727724554,37.356162194338275,6.64935064935065
7,8,192,39.37624888919976,38.83916701067855,6.095238095238095
7,8,208,40.02133420737966,39.537139249520926,5.626373626373627
7,8,224,39.68794045979303,40.13533018347539,5.224489795918367
7,8,240,39.61143476213486,40.238594503196964,4.876190476190477
7,8,256,40.78745966089772,40.9213171181626,4.571428571428571
7,8,272,40.13714718540305,40.72949536689823,4.302521008403361
7,8,288,39.137498771764115,39.47039627121159,4.063492063492063
7,8,304,39.823209649277835,39.335995545420346,3.8496240601503757
7,8,320,40.94097423275535,39.806160225020896,3.657142857142857
7,8,336,40.13369675941863,40.07921488155108,3.4829931972789114
7,8,352,40.67623810436362,40.109491091146324,3.324675324675325
7,8,368,40.28963202617549,39.64533919296754,3.1801242236024843
7,8,384,40.26431341485013,40.55691780435037,3.0476190476190474
7,8,400,41.33337916430881,40.75757872288774,2.9257142857142857
7,8,416,41.17555877466974,41.515895229917,2.8131868131868134
7,8,432,41.051551616374034,41.48250929004816,2.708994708994709
7,8,448,41.546888495981676,41.50786476992614,2.6122448979591835
7,8,464,41.41331502489403,40.90109518200044,2.522167487684729
7,8,480,41.10354986160619,40.77891346497597,2.4380952380952383
7,8,496,40.55014888482854,41.30546807973587,2.359447004608295
7,8,512,41.6373812855304,39.55769017326483,2.2857142857142856
7,16,64,16.402024311843967,16.397995068392042,18.285714285714285
7,16,80,23.49132837703996,22.618640238935,14.628571428571428
7,16,96,25.814486480444938,25.886238382485725,12.19047619047619
7,16,112,28.887411714877732,29.192063706011094,10.448979591836734
7,16,128,31.905731983058637,32.60503143409848,9.142857142857142
7,16,144,34.05694821256019,34.088397688818496,8.126984126984127
7,16,160,36.64053962131418,36.837484629141166,7.314285714285714
7,16,176,37.20074909989393,37.33064719588589,6.64935064935065
7,16,192,37.975847374230746,38.3568190665989,6.095238095238095
7,16,208,39.23114827828284,39.39344445794775,5.626373626373627
7,16,224,39.3629968627007,39.94126055216311,5.224489795918367
7,16,240,40.23372134208479,40.17605574251389,4.876190476190477
7,16,256,40.98214483807764,40.643974707752086,4.571428571428571
7,16,272,40.81835776237263,40.25959968156381,4.302521008403361
7,16,288,39.404403588893665,39.298214957866385,4.063492063492063
7,16,304,39.853220557757055,39.7710393258415,3.8496240601503757
7,16,320,40.0328967760031,40.25061097676307,3.657142857142857
7,16,336,40.35106291144299,40.14140008307993,3.4829931972789114
7,16,352,40.58732953493523,40.06129066981278,3.324675324675325
7,16,368,40.65890694199219,40.5334739027629,3.1801242236024843
7,16,384,40.42525498271287,41.087964039972505,3.0476190476190474
7,16,400,41.1639854414968,40.50377782365851,2.9257142857142857
7,16,416,40.98304134280851,40.961908953343226,2.8131868131868134
7,16,432,40.832637451861345,40.80292625927374,2.708994708994709
7,16,448,41.5772453650524,41.254371843430974,2.6122448979591835
7,16,464,41.410703468838186,41.224126877707654,2.522167487684729
7,16,480,40.843905503267344,40.9951989229129,2.4380952380952383
7,16,496,41.22502743494922,41.38766108841476,2.359447004608295
7,16,512,41.40065563807359,41.19017181916776,2.2857142857142856
