Word Length,Fraction Length,Rank,BLEU (Quant SVD),BLEU (Iterative Quant SVD),Delta BLEU (Quant - Iterative Quant SVD),Compression Ratio
4,2,250,0.9464671931807205,1.079805459103902,-0.13333826592318143,8.192
4,2,300,0.961162835683025,1.079805459103902,-0.11864262342087695,6.826666666666667
4,2,350,0.961162835683025,1.079805459103902,-0.11864262342087695,5.851428571428571
4,2,400,0.961162835683025,1.079805459103902,-0.11864262342087695,5.12
4,2,450,0.961162835683025,1.079805459103902,-0.11864262342087695,4.551111111111111
6,3,170,10.82210208191217,7.01227155206869,3.809830529843481,8.031372549019608
6,3,210,15.55971184085674,10.364729671277606,5.194982169579134,6.501587301587302
6,3,250,15.94856687324022,10.12357836437855,5.824988508861669,5.461333333333333
6,3,290,17.69083320741574,9.393465545251804,8.297367662163936,4.708045977011494
6,3,330,16.28775421636732,12.551651660578031,3.7361025557892873,4.137373737373737
8,4,125,26.09766176110163,27.82195050254643,-1.7242887414447985,8.192
8,4,155,31.554794008850333,34.013242663649564,-2.4584486547992306,6.606451612903226
8,4,185,34.866382056808476,36.77940693581031,-1.9130248790018314,5.535135135135135
8,4,215,35.72377236718649,40.19229051138188,-4.468518144195386,4.7627906976744185
8,4,245,36.73675869006237,39.3803733991388,-2.6436147090764237,4.179591836734694
16,8,65,16.913609430537306,17.305272845405472,-0.3916634148681659,7.876923076923077
16,8,80,22.92370492851725,22.583032626656824,0.3406723018604261,6.4
16,8,95,24.803325796057127,24.77757397951031,0.025751816546815576,5.389473684210526
16,8,110,27.950226722778286,28.19985113180904,-0.2496244090307549,4.654545454545454
16,8,125,31.176498256391767,31.094498422697185,0.08199983369458153,4.096
