Word Length,Fraction Length,Rank,MSE (Quant SVD),MSE (Iterative Quant SVD),Delta MSE (Quant - Iterative Quant SVD),Compression Ratio
6,5,100,0.001340780290775001,0.0013407394289970398,4.086177796125412e-08,13.653333333333334
6,4,100,0.0016372631071135402,0.001637400477193296,-1.3737007975578308e-07,13.653333333333334
6,3,100,0.0025843349285423756,0.002584279514849186,5.541369318962097e-08,13.653333333333334
6,2,100,0.0034127305261790752,0.003412631805986166,9.872019290924072e-08,13.653333333333334
6,1,100,0.0032667124178260565,0.0032667124178260565,0.0,13.653333333333334
8,7,100,0.001246925094164908,0.001246918924152851,6.170012056827545e-09,10.24
8,6,100,0.0012657423503696918,0.0012657295446842909,1.280568540096283e-08,10.24
8,5,100,0.0013407815713435411,0.0013407407095655799,4.086177796125412e-08,10.24
8,4,100,0.0016372631071135402,0.001637400477193296,-1.3737007975578308e-07,10.24
8,3,100,0.0025843349285423756,0.002584279514849186,5.541369318962097e-08,10.24
8,2,100,0.0034127305261790752,0.003412631805986166,9.872019290924072e-08,10.24
16,15,100,0.0012406558962538838,0.001240655779838562,1.1641532182693481e-10,5.12
16,14,100,0.0012406560126692057,0.0012406560126692057,0.0,5.12
16,13,100,0.001240657176822424,0.001240657176822424,0.0,5.12
16,12,100,0.0012406616006046534,0.0012406616006046534,0.0,5.12
16,11,100,0.001240679994225502,0.0012406801106408238,-1.1641532182693481e-10,5.12
16,10,100,0.0012407539179548621,0.0012407535687088966,3.4924596548080444e-10,5.12
6,5,125,0.0010884946677833796,0.0010884457733482122,4.889443516731262e-08,10.922666666666666
6,4,125,0.0014315767912194133,0.0014315936714410782,-1.6880221664905548e-08,10.922666666666666
6,3,125,0.002543169539421797,0.0025428493972867727,3.2014213502407074e-07,10.922666666666666
6,2,125,0.003434365149587393,0.0034344512969255447,-8.614733815193176e-08,10.922666666666666
6,1,125,0.0032667124178260565,0.0032667124178260565,0.0,10.922666666666666
8,7,125,0.0009803463472053409,0.000980340875685215,5.471520125865936e-09,8.192
8,6,125,0.001001985277980566,0.0010019701439887285,1.5133991837501526e-08,8.192
8,5,125,0.0010884953662753105,0.0010884468210861087,4.854518920183182e-08,8.192
8,4,125,0.0014315767912194133,0.0014315936714410782,-1.6880221664905548e-08,8.192
8,3,125,0.002543169539421797,0.0025428493972867727,3.2014213502407074e-07,8.192
8,2,125,0.003434365149587393,0.0034344512969255447,-8.614733815193176e-08,8.192
16,15,125,0.0009731277823448181,0.0009731277823448181,0.0,4.096
16,14,125,0.0009731279569678009,0.0009731279569678009,0.0,4.096
16,13,125,0.0009731293539516628,0.0009731293539516628,0.0,4.096
16,12,125,0.0009731346508488059,0.0009731345344334841,1.1641532182693481e-10,4.096
16,11,125,0.0009731556638143957,0.0009731557220220566,-5.820766091346741e-11,4.096
16,10,125,0.0009732406469993293,0.0009732403559610248,2.9103830456733704e-10,4.096
6,5,150,0.0008856657659634948,0.0008856423664838076,2.3399479687213898e-08,9.102222222222222
6,4,150,0.0012693979078903794,0.0012693493627011776,4.854518920183182e-08,9.102222222222222
6,3,150,0.0025256979279220104,0.0025254618376493454,2.360902726650238e-07,9.102222222222222
6,2,150,0.003447094699367881,0.003447120077908039,-2.537854015827179e-08,9.102222222222222
6,1,150,0.0032667124178260565,0.0032667124178260565,0.0,9.102222222222222
8,7,150,0.0007651969790458679,0.0007651913911104202,5.587935447692871e-09,6.826666666666667
8,6,150,0.0007892876747064292,0.000789260899182409,2.6775524020195007e-08,6.826666666666667
8,5,150,0.000885666289832443,0.0008856432395987213,2.3050233721733093e-08,6.826666666666667
8,4,150,0.0012693979078903794,0.0012693493627011776,4.854518920183182e-08,6.826666666666667
8,3,150,0.0025256979279220104,0.0025254618376493454,2.360902726650238e-07,6.826666666666667
8,2,150,0.003447094699367881,0.003447120077908039,-2.537854015827179e-08,6.826666666666667
16,15,150,0.0007571636233478785,0.0007571636233478785,0.0,3.4133333333333336
16,14,150,0.0007571637979708612,0.0007571637979708612,0.0,3.4133333333333336
16,13,150,0.000757165253162384,0.000757165253162384,0.0,3.4133333333333336
16,12,150,0.0007571711903437972,0.0007571710739284754,1.1641532182693481e-10,3.4133333333333336
16,11,150,0.0007571945898234844,0.0007571945898234844,0.0,3.4133333333333336
16,10,150,0.0007572891190648079,0.0007572888862341642,2.3283064365386963e-10,3.4133333333333336
6,5,175,0.0007227954920381308,0.0007227898458950222,5.6461431086063385e-09,7.801904761904762
6,4,175,0.0011423639953136444,0.0011423325631767511,3.14321368932724e-08,7.801904761904762
6,3,175,0.002523669507354498,0.0025232108309865,4.5867636799812317e-07,7.801904761904762
6,2,175,0.003455003257840872,0.003455129452049732,-1.2619420886039734e-07,7.801904761904762
6,1,175,0.0032667124178260565,0.0032667124178260565,0.0,7.801904761904762
8,7,175,0.000591527612414211,0.0005915244109928608,3.2014213502407074e-09,5.851428571428571
8,6,175,0.0006177725736051798,0.000617747544310987,2.5029294192790985e-08,5.851428571428571
8,5,175,0.0007227958412840962,0.0007227904861792922,5.3551048040390015e-09,5.851428571428571
8,4,175,0.0011423639953136444,0.0011423325631767511,3.14321368932724e-08,5.851428571428571
8,3,175,0.002523669507354498,0.0025232108309865,4.5867636799812317e-07,5.851428571428571
8,2,175,0.003455003257840872,0.003455129452049732,-1.2619420886039734e-07,5.851428571428571
16,15,175,0.0005827937857247889,0.000582793727517128,5.820766091346741e-11,2.9257142857142857
16,14,175,0.0005827939603477716,0.0005827939603477716,0.0,2.9257142857142857
16,13,175,0.0005827955901622772,0.0005827955319546163,5.820766091346741e-11,2.9257142857142857
16,12,175,0.0005828019930049777,0.0005828018765896559,1.1641532182693481e-10,2.9257142857142857
16,11,175,0.0005828274879604578,0.0005828274879604578,0.0,2.9257142857142857
16,10,175,0.000582930282689631,0.0005829299334436655,3.4924596548080444e-10,2.9257142857142857
6,5,200,0.0005920723197050393,0.0005920333205722272,3.899913281202316e-08,6.826666666666667
6,4,200,0.0010427971137687564,0.0010426196968182921,1.7741695046424866e-07,6.826666666666667
6,3,200,0.0025342111475765705,0.0025340616703033447,1.494772732257843e-07,6.826666666666667
6,2,200,0.0034593797754496336,0.0034592822194099426,9.755603969097137e-08,6.826666666666667
6,1,200,0.0032667124178260565,0.0032667124178260565,0.0,6.826666666666667
8,7,200,0.000451408966910094,0.00045140483416616917,4.132743924856186e-09,5.12
8,6,200,0.00047950103180482984,0.0004794809501618147,2.0081643015146255e-08,5.12
8,5,200,0.0005920729599893093,0.0005920342518948019,3.8708094507455826e-08,5.12
8,4,200,0.0010427971137687564,0.0010426196968182921,1.7741695046424866e-07,5.12
8,3,200,0.0025342111475765705,0.0025340616703033447,1.494772732257843e-07,5.12
8,2,200,0.0034593797754496336,0.0034592822194099426,9.755603969097137e-08,5.12
16,15,200,0.0004420562763698399,0.000442056218162179,5.820766091346741e-11,2.56
16,14,200,0.000442056538304314,0.00044205645099282265,8.731149137020111e-11,2.56
16,13,200,0.00044205819722265005,0.0004420581681188196,2.9103830456733704e-11,2.56
16,12,200,0.0004420650366228074,0.0004420650075189769,2.9103830456733704e-11,2.56
16,11,200,0.0004420923942234367,0.0004420923942234367,0.0,2.56
16,10,200,0.0004422022611834109,0.00044220208656042814,1.7462298274040222e-10,2.56
6,5,225,0.0004875381418969482,0.0004874722508247942,6.58910721540451e-08,6.068148148148148
6,4,225,0.0009668503771536052,0.0009667312260717154,1.1915108188986778e-07,6.068148148148148
6,3,225,0.0025464165955781937,0.002545940224081278,4.7637149691581726e-07,6.068148148148148
6,2,225,0.0034617073833942413,0.0034615013282746077,2.0605511963367462e-07,6.068148148148148
6,1,225,0.0032667124178260565,0.0032667124178260565,0.0,6.068148148148148
8,7,225,0.0003384689334779978,0.0003384659648872912,2.9685907065868378e-09,4.551111111111111
8,6,225,0.0003682129899971187,0.0003681969828903675,1.6007106751203537e-08,4.551111111111111
8,5,225,0.0004875388403888792,0.00048747321125119925,6.56291376799345e-08,4.551111111111111
8,4,225,0.0009668503771536052,0.0009667312260717154,1.1915108188986778e-07,4.551111111111111
8,3,225,0.0025464165955781937,0.002545940224081278,4.7637149691581726e-07,4.551111111111111
8,2,225,0.0034617073833942413,0.0034615013282746077,2.0605511963367462e-07,4.551111111111111
