Word Length,Fraction Length,Rank,MSE (Quant SVD) - Layer 1,MSE (Iterative Quant SVD) - Layer 1,Delta MSE (Quant - Iterative Quant SVD) - Layer 1,MSE (Quant SVD) - Layer 2,MSE (Iterative Quant SVD) - Layer 2,Delta MSE (Quant - Iterative Quant SVD) - Layer 2,MSE (Quant SVD) - Layer 3,MSE (Iterative Quant SVD) - Layer 3,Delta MSE (Quant - Iterative Quant SVD) - Layer 3,MSE (Quant SVD) - Layer 4,MSE (Iterative Quant SVD) - Layer 4,Delta MSE (Quant - Iterative Quant SVD) - Layer 4,MSE (Quant SVD) - Layer 5,MSE (Iterative Quant SVD) - Layer 5,Delta MSE (Quant - Iterative Quant SVD) - Layer 5,MSE (Quant SVD) - Layer 6,MSE (Iterative Quant SVD) - Layer 6,Delta MSE (Quant - Iterative Quant SVD) - Layer 6,Compression Ratio
6,5,50,0.002047228626906872,0.0020472537726163864,-2.514570951461792e-08,0.001439932151697576,0.0014399385545402765,-6.402842700481415e-09,0.0016505162930116057,0.001650518155656755,-1.862645149230957e-09,0.0018221520585939288,0.0018221312202513218,2.0838342607021332e-08,0.0019294241210445762,0.0019294347148388624,-1.0593794286251068e-08,0.0018248226260766387,0.001824825769290328,-3.14321368932724e-09,27.30666666666667
6,4,50,0.0022258306853473186,0.0022257703822106123,6.030313670635223e-08,0.0015973567496985197,0.0015974545385688543,-9.778887033462524e-08,0.0018080975860357285,0.0018080243607982993,7.3225237429142e-08,0.0020213783718645573,0.0020212882664054632,9.010545909404755e-08,0.00211629387922585,0.0021163378842175007,-4.400499165058136e-08,0.0020432937890291214,0.002043234882876277,5.8906152844429016e-08,27.30666666666667
6,3,50,0.0027741207741200924,0.002774023450911045,9.73232090473175e-08,0.0020853655878454447,0.0020852808374911547,8.475035429000854e-08,0.00234012259170413,0.00234016589820385,-4.330649971961975e-08,0.0026560486294329166,0.0026564747095108032,-4.260800778865814e-07,0.0027661598287522793,0.0027660708874464035,8.89413058757782e-08,0.002801422728225589,0.00280170701444149,-2.842862159013748e-07,27.30666666666667
6,2,50,0.003348508384078741,0.003348222002387047,2.8638169169425964e-07,0.002412373898550868,0.0024119880981743336,3.85800376534462e-07,0.002671286463737488,0.002671221038326621,6.542541086673737e-08,0.003087153658270836,0.003087506629526615,-3.5297125577926636e-07,0.0031693684868514538,0.0031692925840616226,7.59027898311615e-08,0.0032696351408958435,0.003269979264587164,-3.441236913204193e-07,27.30666666666667
6,1,50,0.0032667124178260565,0.0032667124178260565,0.0,0.0024483422748744488,0.0024483422748744488,0.0,0.0026424608658999205,0.0026424608658999205,0.0,0.003153843805193901,0.003153843805193901,0.0,0.0031458146404474974,0.0031458146404474974,0.0,0.003285939572378993,0.003285939572378993,0.0,27.30666666666667
8,7,50,0.0019901650957763195,0.0019901597406715155,5.3551048040390015e-09,0.0013899775221943855,0.0013899741461500525,3.3760443329811096e-09,0.0016022654017433524,0.0016022687777876854,-3.3760443329811096e-09,0.0017604532185941935,0.001760456245392561,-3.026798367500305e-09,0.0018717212369665504,0.0018717229831963778,-1.7462298274040222e-09,0.0017579589039087296,0.0017579620471224189,-3.14321368932724e-09,20.48
8,6,50,0.002001678105443716,0.002001674845814705,3.259629011154175e-09,0.0013987633865326643,0.0013987565180286765,6.868503987789154e-09,0.0016118921339511871,0.0016118924831971526,-3.4924596548080444e-10,0.0017713773995637894,0.0017713643610477448,1.30385160446167e-08,0.0018832202767953277,0.0018832300556823611,-9.778887033462524e-09,0.0017689261585474014,0.001768923713825643,2.444721758365631e-09,20.48
8,5,50,0.0020472300238907337,0.002047255402430892,-2.537854015827179e-08,0.0014388409908860922,0.001438849838450551,-8.847564458847046e-09,0.0016505162930116057,0.001650518155656755,-1.862645149230957e-09,0.0018210813868790865,0.0018210591515526175,2.223532646894455e-08,0.0019294241210445762,0.0019294347148388624,-1.0593794286251068e-08,0.0018224790692329407,0.0018224860541522503,-6.984919309616089e-09,20.48
8,4,50,0.0022258306853473186,0.0022257703822106123,6.030313670635223e-08,0.0015973567496985197,0.0015974545385688543,-9.778887033462524e-08,0.0018080975860357285,0.0018080243607982993,7.3225237429142e-08,0.0020213783718645573,0.0020212882664054632,9.010545909404755e-08,0.00211629387922585,0.0021163378842175007,-4.400499165058136e-08,0.0020432937890291214,0.002043234882876277,5.8906152844429016e-08,20.48
8,3,50,0.0027741207741200924,0.002774023450911045,9.73232090473175e-08,0.0020853655878454447,0.0020852808374911547,8.475035429000854e-08,0.00234012259170413,0.00234016589820385,-4.330649971961975e-08,0.0026560486294329166,0.0026564747095108032,-4.260800778865814e-07,0.0027661598287522793,0.0027660708874464035,8.89413058757782e-08,0.002801422728225589,0.00280170701444149,-2.842862159013748e-07,20.48
