Word Length,Fraction Length,Rank,MSE (Quant SVD) - Layer 1,MSE (Iterative Quant SVD) - Layer 1,Delta MSE (Quant - Iterative Quant SVD) - Layer 1,Mean Square Diff - Layer 1,MSE (Quant SVD) - Layer 2,MSE (Iterative Quant SVD) - Layer 2,Delta MSE (Quant - Iterative Quant SVD) - Layer 2,Mean Square Diff - Layer 2,MSE (Quant SVD) - Layer 3,MSE (Iterative Quant SVD) - Layer 3,Delta MSE (Quant - Iterative Quant SVD) - Layer 3,Mean Square Diff - Layer 3,MSE (Quant SVD) - Layer 4,MSE (Iterative Quant SVD) - Layer 4,Delta MSE (Quant - Iterative Quant SVD) - Layer 4,Mean Square Diff - Layer 4,MSE (Quant SVD) - Layer 5,MSE (Iterative Quant SVD) - Layer 5,Delta MSE (Quant - Iterative Quant SVD) - Layer 5,Mean Square Diff - Layer 5,MSE (Quant SVD) - Layer 6,MSE (Iterative Quant SVD) - Layer 6,Delta MSE (Quant - Iterative Quant SVD) - Layer 6,Mean Square Diff - Layer 6,Compression Ratio
32,16,1,0.003210279159247875,0.003210279159247875,0.0,0.0,0.002427656203508377,0.002427656203508377,0.0,0.0,0.0025922278873622417,0.0025922278873622417,0.0,0.0,0.0030698904301971197,0.0030698904301971197,0.0,0.0,0.003091241233050823,0.003091241233050823,0.0,0.0,0.003204719629138708,0.003204719629138708,0.0,0.0,256.0
16,8,1,0.003210314316675067,0.003210314316675067,0.0,0.0,0.0024276957847177982,0.0024276957847177982,0.0,0.0,0.0025922597851604223,0.0025922597851604223,0.0,0.0,0.003069940023124218,0.003069940023124218,0.0,0.0,0.003091277088969946,0.003091277088969946,0.0,0.0,0.0032047766726464033,0.0032047766726464033,0.0,0.0,512.0
8,4,1,0.0032196007668972015,0.0032196007668972015,0.0,0.0,0.0024373382329940796,0.0024373382329940796,0.0,0.0,0.0026009762659668922,0.0026009762659668922,0.0,0.0,0.003082017181441188,0.003082017181441188,0.0,0.0,0.003100173082202673,0.003100173082202673,0.0,0.0,0.0032186831813305616,0.0032186831813305616,0.0,0.0,1024.0
6,3,1,0.003238871693611145,0.003238871693611145,0.0,0.0,0.002453114604577422,0.002453114604577422,0.0,0.0,0.002621789462864399,0.002621789462864399,0.0,0.0,0.0031009609811007977,0.0031009609811007977,0.0,0.0,0.003123360453173518,0.003123360453173518,0.0,0.0,0.003245709463953972,0.003245709463953972,0.0,0.0,1365.3333333333333
4,2,1,0.0032649808563292027,0.0032649808563292027,0.0,0.0,0.0024650366976857185,0.0024650366976857185,0.0,0.0,0.002637223806232214,0.002637223806232214,0.0,0.0,0.0031206763815134764,0.0031206763815134764,0.0,0.0,0.0031433028634637594,0.0031433028634637594,0.0,0.0,0.003264757338911295,0.003264757338911295,0.0,0.0,2048.0
32,16,20,0.002636730670928955,0.002636730670928955,0.0,1.446592303409877e-12,0.0018329015001654625,0.0018329013837501407,1.1641532182693481e-10,1.1439167755394886e-12,0.0020970168989151716,0.0020970171317458153,-2.3283064365386963e-10,1.352594685560815e-12,0.0023160732816904783,0.0023160732816904783,0.0,1.5292631527427658e-12,0.002485106233507395,0.002485106233507395,0.0,1.4060645009417172e-12,0.0023991039488464594,0.002399104181677103,-2.3283064365386963e-10,1.4804384931496606e-12,12.8
16,8,20,0.0026371849235147238,0.002637177240103483,7.683411240577698e-09,1.0025279095771111e-07,0.0018333777552470565,0.0018333661137148738,1.1641532182693481e-08,8.360557757214337e-08,0.0020974166691303253,0.0020974082872271538,8.381903171539307e-09,8.915390026231762e-08,0.0023166625760495663,0.0023166481405496597,1.4435499906539917e-08,1.1216464912422452e-07,0.00248558446764946,0.002485573524609208,1.0943040251731873e-08,1.0233138425519428e-07,0.0023997353855520487,0.0023997207172214985,1.4668330550193787e-08,1.1658492837796075e-07,25.6
8,4,20,0.0027500949800014496,0.0027467990294098854,3.2959505915641785e-06,0.000140488613396883,0.0019483556970953941,0.00194441934581846,3.936351276934147e-06,0.00010054308222606778,0.0022007166408002377,0.002198154106736183,2.562534064054489e-06,0.00011982425348833203,0.0024664122611284256,0.0024618986062705517,4.513654857873917e-06,0.00013704239972867072,0.0026077430229634047,0.002604532055556774,3.210967406630516e-06,0.00012985830835532397,0.0025619477964937687,0.0025567093398422003,5.238456651568413e-06,0.00016708624025341123,51.2
6,3,20,0.003001990495249629,0.0029847323894500732,1.725810579955578e-05,0.0007444726070389152,0.0021823830902576447,0.0021764044649899006,5.978625267744064e-06,0.0005885738646611571,0.002458957489579916,0.0024476591497659683,1.1298339813947678e-05,0.000685681588947773,0.0027974441181868315,0.002771761268377304,2.5682849809527397e-05,0.0008102801511995494,0.002926643006503582,0.002903934568166733,2.2708438336849213e-05,0.0008271647384390235,0.0029688002541661263,0.0029256632551550865,4.3136999011039734e-05,0.00102085096295923,68.26666666666667
4,2,20,0.0032902804668992758,0.003248171880841255,4.210858605802059e-05,0.0003605782985687256,0.002390526933595538,0.0024234980810433626,-3.297114744782448e-05,0.000338951766025275,0.002642021281644702,0.0026350754778832197,6.945803761482239e-06,0.0001925329415826127,0.003064580261707306,0.0030426625162363052,2.191774547100067e-05,0.0002982964215334505,0.0031479576136916876,0.0031395661644637585,8.391449227929115e-06,0.0001843075006036088,0.0032501877285540104,0.0032332120463252068,1.6975682228803635e-05,0.0001557767391204834,102.4
