Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
2,256,1.3454127052247047,1.2969631694916879,16.0
2,320,1.3311544384712357,1.2969631694916879,12.8
2,384,1.6261579002527067,1.2969631694916879,10.666666666666666
2,448,1.5726309730762162,1.2969631694916879,9.142857142857142
2,512,1.7982404915200276,1.2969631694916879,8.0
4,128,32.338907159132866,30.910581093192626,16.0
4,160,37.53918082534041,35.00042427220639,12.8
4,192,39.359156941394986,38.302881784676984,10.666666666666666
4,224,40.24309427441049,39.245032024769614,9.142857142857142
4,256,40.81815822069653,40.91567329197313,8.0
6,85,24.0169950715487,23.923362284785902,16.062745098039215
6,105,27.270100139559638,26.997638782932455,13.003174603174603
6,125,31.403285495192208,31.173166661745462,10.922666666666666
6,145,34.22963397191348,34.19637410623382,9.416091954022988
6,165,37.03157891847735,36.09513282357255,8.274747474747475
8,64,16.904642182017962,17.440077694593704,16.0
8,80,22.192816531761434,22.287479177499335,12.8
8,96,25.730792517356015,25.773101775435485,10.666666666666666
8,112,28.91889404483837,28.832872676776528,9.142857142857142
8,128,32.29541572495238,32.163008189191984,8.0
16,32,3.6066383136028355,3.6066383136028355,16.0
16,40,6.305111393792102,6.305111393792102,12.8
16,48,8.351533885543398,8.351533885543398,10.666666666666666
16,56,11.59175015455927,11.59175015455927,9.142857142857142
16,64,16.3388114341134,16.3388114341134,8.0
