Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
2,64,1.0331169101318936,0.2344124997050413,64.0
2,80,0.7117533992919144,0.2513497729408431,51.2
2,96,0.9007702773087122,0.27210949034494636,42.666666666666664
2,112,0.6555053919626291,0.3159925742955921,36.57142857142857
2,128,0.5982251281189519,0.30347390936069557,32.0
2,144,0.5368522261249365,0.30347390936069557,28.444444444444443
2,160,0.561602965274996,0.30347390936069557,25.6
2,176,0.6997853896702165,0.30347390936069557,23.272727272727273
2,192,0.45801994434605825,0.30347390936069557,21.333333333333332
2,208,0.4446821281137911,0.30347390936069557,19.692307692307693
2,224,1.9541802792653307e-77,0.30347390936069557,18.285714285714285
2,240,0.2534198293678883,0.30347390936069557,17.066666666666666
2,256,0.2873276100613165,0.30347390936069557,16.0
2,272,0.13616315995912487,0.30347390936069557,15.058823529411764
2,288,0.20689690006742267,0.30347390936069557,14.222222222222221
2,304,2.097821301558679e-77,0.30347390936069557,13.473684210526315
2,320,1.7005368231437974e-77,0.30347390936069557,12.8
2,336,1.6657750385060043e-77,0.30347390936069557,12.19047619047619
2,352,1.5692459682797651e-77,0.30347390936069557,11.636363636363637
2,368,1.4290121607695282e-77,0.30347390936069557,11.130434782608695
2,384,1.7067167855697817e-77,0.30347390936069557,10.666666666666666
2,400,1.7105093667375486e-77,0.30347390936069557,10.24
2,416,2.0526550282188723e-77,0.30347390936069557,9.846153846153847
2,432,0.2906893030897663,0.30347390936069557,9.481481481481481
2,448,0.22071722693066775,0.30347390936069557,9.142857142857142
2,464,1.9684390864512527e-77,0.30347390936069557,8.827586206896552
2,480,0.24225667268210155,0.30347390936069557,8.533333333333333
2,496,0.22875010355411152,0.30347390936069557,8.258064516129032
2,512,0.26569125285035833,0.30347390936069557,8.0
3,64,14.103357932034202,14.512781171144063,42.666666666666664
3,80,16.89014779880145,16.661730898330905,34.13333333333333
3,96,17.74534457386878,17.417149736666886,28.444444444444443
3,112,19.388248165414854,18.951706645047807,24.38095238095238
3,128,21.358133735130558,21.00540215482017,21.333333333333332
3,144,22.920661281173093,22.759128348992853,18.962962962962962
3,160,23.659700148397974,24.49088857419731,17.066666666666666
3,176,24.287697307296995,25.097498616328078,15.515151515151516
3,192,24.471709796705735,25.45290091716208,14.222222222222221
