Word Length,Rank,MSE Layer 1,Iterative MSE Layer 1,Delta MSE Layer 1,MSE Layer 2,Iterative MSE Layer 2,Delta MSE Layer 2,MSE Layer 3,Iterative MSE Layer 3,Delta MSE Layer 3,MSE Layer 4,Iterative MSE Layer 4,Delta MSE Layer 4,MSE Layer 5,Iterative MSE Layer 5,Delta MSE Layer 5,MSE Layer 6,Iterative MSE Layer 6,Delta MSE Layer 6,Compression Ratio
2,256,0.003845944069325924,0.003281333949416876,0.0005646101199090481,0.002872562501579523,0.002479598158970475,0.0003929643426090479,0.0031114507000893354,0.002679717494174838,0.0004317332059144974,0.0036266713868826628,0.0032044954132288694,0.00042217597365379333,0.003671330865472555,0.0032052844762802124,0.00046604638919234276,0.003817029297351837,0.003332748543471098,0.0004842807538807392,16.0
2,320,0.0038765519857406616,0.003281333949416876,0.0005952180363237858,0.002895719837397337,0.002479598158970475,0.00041612167842686176,0.0031404546461999416,0.002679717494174838,0.00046073715202510357,0.0036538890562951565,0.0032044954132288694,0.00044939364306628704,0.0036985850892961025,0.0032052844762802124,0.0004933006130158901,0.0038430176209658384,0.003332748543471098,0.0005102690774947405,12.8
2,384,0.0038877620827406645,0.003281333949416876,0.0006064281333237886,0.0029080063104629517,0.002479598391801119,0.0004284079186618328,0.003153467085212469,0.002679717494174838,0.00047374959103763103,0.00366798834875226,0.0032044954132288694,0.00046349293552339077,0.003710702760145068,0.0032052844762802124,0.0005054182838648558,0.003853872884064913,0.003332748543471098,0.0005211243405938148,10.666666666666666
2,448,0.0038916124030947685,0.003281333949416876,0.0006102784536778927,0.0029119467362761497,0.002479598391801119,0.0004323483444750309,0.0031575853936374187,0.002679717494174838,0.0004778678994625807,0.003671692218631506,0.0032044947147369385,0.0004671975038945675,0.0037144399248063564,0.0032052844762802124,0.000509155448526144,0.0038575641810894012,0.003332748543471098,0.0005248156376183033,9.142857142857142
2,512,0.0038920296356081963,0.003281333949416876,0.0006106956861913204,0.0029122948180884123,0.002479598391801119,0.00043269642628729343,0.003158086445182562,0.002679717494174838,0.0004783689510077238,0.0036722165532410145,0.0032044947147369385,0.000467721838504076,0.0037150532007217407,0.0032052844762802124,0.0005097687244415283,0.0038579367101192474,0.003332748543471098,0.0005251881666481495,8.0
4,128,0.0010523608652874827,0.0010340602602809668,1.830060500651598e-05,0.0007999110966920853,0.0007738773711025715,2.603372558951378e-05,0.0008817501366138458,0.0008675470016896725,1.4203134924173355e-05,0.0009872405789792538,0.0009585432708263397,2.8697308152914047e-05,0.0009931314270943403,0.000976568553596735,1.6562873497605324e-05,0.0009538148296996951,0.0009276496130041778,2.61652166955173e-05,16.0
4,160,0.0008006783900782466,0.0007751273224130273,2.5551067665219307e-05,0.0006250429432839155,0.0005910107283852994,3.4032214898616076e-05,0.0006796639645472169,0.0006598671898245811,1.9796774722635746e-05,0.0007636946975253522,0.0007257912075147033,3.7903490010648966e-05,0.0007580136880278587,0.0007342284079641104,2.378528006374836e-05,0.0007340667652897537,0.0006987358210608363,3.533094422891736e-05,12.8
4,192,0.0006093759438954294,0.0005759451305493712,3.343081334605813e-05,0.0004885807866230607,0.00044631128548644483,4.226950113661587e-05,0.0005213497788645327,0.0004953969037160277,2.5952875148504972e-05,0.0005907848244532943,0.0005432545440271497,4.75302804261446e-05,0.0005783771048299968,0.0005469163879752159,3.146071685478091e-05,0.0005656720022670925,0.0005211321986280382,4.45398036390543e-05,10.666666666666666
4,224,0.00046402550651691854,0.0004220812988933176,4.194420762360096e-05,0.0003833261434920132,0.0003327335580252111,5.059258546680212e-05,0.0003988139797002077,0.00036627304507419467,3.254093462601304e-05,0.0004588200827129185,0.000401222932850942,5.7597149861976504e-05,0.00044257426634430885,0.00040284532587975264,3.972894046455622e-05,0.00043827202171087265,0.00038420921191573143,5.406280979514122e-05,9.142857142857142
4,256,0.00035546356230042875,0.0003045781049877405,5.088545731268823e-05,0.0003028922656085342,0.00024409079924225807,5.8801466366276145e-05,0.0003059018636122346,0.00026660936418920755,3.929249942302704e-05,0.00035980105167254806,0.0002918841491919011,6.791690248064697e-05,0.0003413513768464327,0.0002930450427811593,4.8306334065273404e-05,0.0003437245904933661,0.00027989744557999074,6.382714491337538e-05,8.0
