Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,1,0.002598123198064665,1061376.0,142.26338639652678,2.008204652309958,0
5,64,3,0.0022946531147075198,2122752.0,71.13169319826339,1.7327847600970714,0
5,64,5,0.002037124320243796,3184128.0,47.421128798842254,4.6942391284419,0
5,64,7,0.0018114583799615502,4245504.0,35.565846599131696,5.825417512508641,0
5,64,9,0.0016111413909432788,5306880.0,28.452677279305355,7.55258862370621,0
5,64,11,0.001432061311788857,6368256.0,23.710564399421127,12.238847990810635,0
5,64,13,0.001271619393567865,7429632.0,20.32334091378954,14.680317092680358,0
5,64,15,0.0011279435129836202,8491008.0,17.782923299565848,16.991690399246348,0
5,64,17,0.0009986562460350494,9552384.0,15.80704293294742,20.376364059061252,0
5,64,19,0.0008822544380867233,10613760.0,14.226338639652678,23.207917829197612,0
5,64,21,0.0007773522035373995,11675136.0,12.933035126956979,25.001905937227615,0
5,64,23,0.0006831538921687752,12736512.0,11.855282199710564,26.62794121082505,0
5,64,25,0.0005986012887054434,13797888.0,10.943337415117444,29.540598375584853,0
5,64,27,0.0005230484821368009,14859264.0,10.16167045689477,30.947444453737244,0
5,64,29,0.00045564969574722153,15920640.0,9.484225759768451,32.6810675357848,0
5,64,31,0.0003959117869574887,16982016.0,8.891461649782924,33.96862665088234,0
5,64,33,0.00034307515306863934,18043392.0,8.36843449391334,35.12978367973974,0
5,64,35,0.0002964701658735673,19104768.0,7.90352146647371,36.32215762843976,0
5,64,37,0.00025575583761868376,20166144.0,7.487546652448778,37.79971424100118,0
5,64,39,0.0002201757815782912,21227520.0,7.113169319826339,39.271102897795004,0
