Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
5,64,1,0.0025902089352409043,1189440.0,126.94624697336562,4.072218367729627,0
5,64,3,0.00227233781091248,2378880.0,63.47312348668281,3.2843014590332884,0
5,64,5,0.00200046255486086,3568320.0,42.31541565778854,5.474789074360082,0
5,64,7,0.0017617648700252175,4757760.0,31.736561743341404,12.791639531315347,0
5,64,9,0.0015497532634374995,5947200.0,25.389249394673122,14.38712625633182,0
5,64,11,0.0013606413461578388,7136640.0,21.15770782889427,19.2358359549966,0
5,64,13,0.001191620259002472,8326080.0,18.135178139052233,21.997112501996916,0
5,64,15,0.0010403056512586772,9515520.0,15.868280871670702,25.890101664645442,0
5,64,17,0.0009044367858829597,10704960.0,14.10513855259618,29.194427158438025,0
5,64,19,0.0007824993129664412,11894400.0,12.694624697336561,31.255994999473778,0
5,64,21,0.0006731144967488945,13083840.0,11.540567906669601,36.181952080944534,0
5,64,23,0.000575307582039386,14273280.0,10.578853914447135,36.856131735014415,0
5,64,25,0.00048815955718358356,15462720.0,9.765095921028124,39.95098610865105,0
5,64,27,0.00041088661237154156,16652160.0,9.067589069526116,39.74509112094179,0
5,64,29,0.00034282193034111214,17841600.0,8.463083131557708,40.356248243753036,0
5,64,31,0.0002831599146399337,19031040.0,7.934140435835351,40.657989617870165,0
5,64,33,0.00023116192945356792,20220480.0,7.467426292550918,40.89273252290797,0
5,64,35,0.00018620112678036094,21409920.0,7.05256927629809,40.44677720367639,0
5,64,37,0.00014771610828271756,22599360.0,6.681381419650822,40.704282779191495,0
5,64,39,0.00011503771141481896,23788800.0,6.3473123486682805,40.85342665452873,0
