Weight Word Length,Activation Word Length,BLEU Score (Range-Based),Compression Ratio
2,4,5.374747845673827,16.0
4,4,29.51450654293828,8.0
6,4,30.424945970234933,5.333333333333333
8,4,30.08364547759807,4.0
10,4,30.832488913571765,3.2
12,4,30.274825169106993,2.6666666666666665
14,4,30.068475751194967,2.2857142857142856
16,4,30.06291229382946,2.0
2,6,3.4155335970310152,16.0
4,6,38.61863045940627,8.0
6,6,39.56492713747214,5.333333333333333
8,6,40.03296319679965,4.0
10,6,40.381954835974906,3.2
12,6,40.63983935619365,2.6666666666666665
14,6,40.88935783834591,2.2857142857142856
16,6,40.96447166549508,2.0
2,8,2.616490843175879,16.0
4,8,39.320024438566431,8.0
6,8,40.63307675818746,5.333333333333333
8,8,40.83824736326528,4.0
10,8,40.95364420437367,3.2
12,8,41.02669625153319,2.6666666666666665
14,8,41.064835169425015,2.2857142857142856
16,8,41.12591541252765,2.0
2,16,2.576048271601103,16.0
4,16,38.820477167601695,8.0
6,16,41.145456292294554,5.333333333333333
8,16,41.136479513103815,4.0
10,16,41.2715217058534,3.2
12,16,41.26748131128797,2.6666666666666665
14,16,41.2915217058534,2.2857142857142856
16,16,41.2915217058534,2.0
