Weight Word Length,Activation Word Length,BLEU Score (Range-Based),Compression Ratio
2,4,5.374747845673827,16.0
4,4,29.51450654293828,8.0
6,4,30.424945970234933,5.333333333333333
8,4,30.08364547759807,4.0
10,4,30.832488913571765,3.2
12,4,30.274825169106993,2.6666666666666665
14,4,30.068475751194967,2.2857142857142856
16,4,30.06291229382946,2.0
2,6,3.4155335970310152,16.0
4,6,28.71863045940627,8.0
6,6,29.86492713747214,5.333333333333333
8,6,30.03296319679965,4.0
10,6,30.381954835974906,3.2
12,6,30.63983935619365,2.6666666666666665
14,6,30.88935783834591,2.2857142857142856
16,6,30.96447166549508,2.0
2,8,2.616490843175879,16.0
4,8,29.18713452813695,8.0
6,8,30.63307675818746,5.333333333333333
8,8,30.83824736326528,4.0
10,8,30.89364420437367,3.2
12,8,30.92669625153319,2.6666666666666665
14,8,31.024835169425015,2.2857142857142856
16,8,31.12591541252765,2.0
2,16,2.576048271601103,16.0
4,16,29.32839153566431,8.0
6,16,31.145456292294554,5.333333333333333
8,16,31.236479513103815,4.0
10,16,31.27148131128797,3.2
12,16,31.2635217058534,2.6666666666666665
14,16,31.2915217058534,2.2857142857142856
16,16,31.3115217058534,2.0
