Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
0,64,2,0.002847683383151889,198240.0,15.868280871670702,41.28814550292528,0
1,64,2,0.002092555398121476,198240.0,15.868280871670702,33.95671580848686,0
2,64,2,0.002294258214533329,198240.0,15.868280871670702,38.667651409488855,0
3,64,2,0.0027111833915114403,198240.0,15.868280871670702,39.67452919008415,0
4,64,2,0.0027642063796520233,198240.0,15.868280871670702,36.19875524636099,0
5,64,2,0.0028313668444752693,198240.0,15.868280871670702,35.09699063315148,0
0,64,4,0.0025068549439311028,396480.0,7.934140435835351,41.602047684273344,0
1,64,4,0.001807448803447187,396480.0,7.934140435835351,35.90939333879036,0
2,64,4,0.002016601152718067,396480.0,7.934140435835351,39.47993402769316,0
3,64,4,0.0023681074380874634,396480.0,7.934140435835351,40.80439389360807,0
4,64,4,0.0024482018779963255,396480.0,7.934140435835351,36.80056562152181,0
5,64,4,0.002486812649294734,396480.0,7.934140435835351,35.8230959294269,0
0,64,6,0.0022083378862589598,594720.0,5.289426957223568,41.21738972704285,0
1,64,6,0.0015722594689577818,594720.0,5.289426957223568,36.67767417405995,0
2,64,6,0.00177688745316118,594720.0,5.289426957223568,38.573978724226215,0
3,64,6,0.002081881044432521,594720.0,5.289426957223568,39.45848527474764,0
4,64,6,0.0021709154825657606,594720.0,5.289426957223568,36.70913980038868,0
5,64,6,0.0021924939937889576,594720.0,5.289426957223568,36.42955783343763,0
0,64,8,0.0019431347027420998,792960.0,3.9670702179176756,41.37682059897447,0
1,64,8,0.0013696069363504648,792960.0,3.9670702179176756,38.3445324102462,0
2,64,8,0.0015651106368750334,792960.0,3.9670702179176756,39.99289121277638,0
3,64,8,0.0018355294596403837,792960.0,3.9670702179176756,40.078848222050134,0
4,64,8,0.001923274714499712,792960.0,3.9670702179176756,36.516860376986216,0
5,64,8,0.0019339327700436115,792960.0,3.9670702179176756,37.34510443660841,0
0,64,10,0.0017060432583093643,991200.0,3.1736561743341403,41.17493923238105,0
1,64,10,0.0011924350401386619,991200.0,3.1736561743341403,39.76609218738461,0
2,64,10,0.0013771317899227142,991200.0,3.1736561743341403,41.276493687162755,0
3,64,10,0.0016178723890334368,991200.0,3.1736561743341403,39.93155618982727,0
4,64,10,0.0017008811701089144,991200.0,3.1736561743341403,36.296072688242674,0
5,64,10,0.001704155933111906,991200.0,3.1736561743341403,38.28960185466161,0
0,64,12,0.001493858522735536,1189440.0,2.644713478611784,40.60250297297058,0
1,64,12,0.0010363748297095299,1189440.0,2.644713478611784,39.3199421290466,0
2,64,12,0.0012104801135137677,1189440.0,2.644713478611784,41.031582358102625,0
3,64,12,0.0014232187531888485,1189440.0,2.644713478611784,40.56603497335577,0
4,64,12,0.0015004304004833102,1189440.0,2.644713478611784,37.439413915682,0
5,64,12,0.001499485457316041,1189440.0,2.644713478611784,38.40801418410304,0
0,64,14,0.0013034403091296554,1387680.0,2.266897267381529,41.03171174577353,0
1,64,14,0.0009015793330036104,1387680.0,2.266897267381529,39.23516607593488,0
2,64,14,0.001061148359440267,1387680.0,2.266897267381529,41.229026130095995,0
3,64,14,0.0012484604958444834,1387680.0,2.266897267381529,39.64569875497991,0
4,64,14,0.0013196616200730205,1387680.0,2.266897267381529,38.435277803244595,0
5,64,14,0.0013154314365237951,1387680.0,2.266897267381529,39.63524049195386,0
