Weight Word Length,Activation Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
3,6,64,5.818470231910527,7.231753761504183,42.666666666666664
3,6,96,17.059689780198198,19.38048643785731,28.444444444444443
3,6,128,23.537995158506394,28.105811770413997,21.333333333333332
3,6,160,27.866086428995164,30.359322555185354,17.066666666666666
3,6,192,32.64014318502501,34.42924160692213,14.222222222222221
3,6,224,34.82422344639644,37.25098206980903,12.19047619047619
3,6,256,33.53279797096632,38.286847983099506,10.666666666666666
3,6,288,34.763107798867246,38.59760297193839,9.481481481481481
3,6,320,36.20731528111476,38.50990398399761,8.533333333333333
3,6,352,35.51947991551502,39.467616638827664,7.757575757575758
3,6,384,36.66300950577932,39.833245086197586,7.111111111111111
3,6,416,37.553536194477346,40.265083076041485,6.564102564102564
3,6,448,36.02846998925629,40.212069191182046,6.095238095238095
3,6,480,35.379749846336026,41.49308904486647,5.688888888888889
3,6,512,35.909564740005465,39.939816561574595,5.333333333333333
3,8,64,8.468549637469659,8.718195326657048,42.666666666666664
3,8,96,17.739689470079565,20.817031507911015,28.444444444444443
3,8,128,26.991216948358442,28.7315229130629,21.333333333333332
3,8,160,30.33500731957959,31.096307609429708,17.066666666666666
3,8,192,32.875693491017685,36.43583605196544,14.222222222222221
3,8,224,34.33059058042584,38.547781083184276,12.19047619047619
3,8,256,35.43606520503151,39.995500345041776,10.666666666666666
3,8,288,36.7502268188427,40.90302722139063,9.481481481481481
3,8,320,36.74454257488549,38.82469331486443,8.533333333333333
3,8,352,37.372545900005555,40.576669547728635,7.757575757575758
3,8,384,37.66308378401307,42.27940703898786,7.111111111111111
3,8,416,37.40410717518235,40.62477713552355,6.564102564102564
3,8,448,36.44348253249482,40.914090932026085,6.095238095238095
3,8,480,37.51497889980118,40.80815145910812,5.688888888888889
3,8,512,36.94791504050536,40.26598546889737,5.333333333333333
3,16,64,8.42213316952365,9.866660627926754,42.666666666666664
3,16,96,18.16830208008907,20.824468688661447,28.444444444444443
3,16,128,27.843564765722174,28.333203441530287,21.333333333333332
3,16,160,30.54204711307517,31.396251614528175,17.066666666666666
3,16,192,33.42783969073926,36.233582883584816,14.222222222222221
3,16,224,34.11759030787123,38.97120371158935,12.19047619047619
3,16,256,36.20246431762687,39.40230375558823,10.666666666666666
3,16,288,36.566206068891766,40.02815800877673,9.481481481481481
3,16,320,37.323781007258056,39.54705392740665,8.533333333333333
3,16,352,37.56948244619928,40.55082654365415,7.757575757575758
3,16,384,37.399908097248634,41.44337611340549,7.111111111111111
3,16,416,36.79411533578424,40.83497045615355,6.564102564102564
3,16,448,36.313108674148154,40.51342933383218,6.095238095238095
3,16,480,36.091994765589355,41.02257706548162,5.688888888888889
3,16,512,36.20741855088251,40.463995365757974,5.333333333333333
