Word Length,Fraction Length,Rank,BLEU Score,Compression Ratio
4,3,100,2.2652209197463375,20.48
4,2,100,1.6433946793766987,20.48
4,1,100,3.2695271881922117,20.48
5,4,100,1.1367283151772933,16.384
5,3,100,4.238122476487541e-78,16.384
5,2,100,1.6053119290708233,16.384
5,1,100,3.2695271881922117,16.384
6,5,100,3.3045153704853267,13.653333333333334
6,4,100,3.258731455980234e-154,13.653333333333334
6,3,100,2.583313866302369e-154,13.653333333333334
6,2,100,0.34713026139875874,13.653333333333334
6,1,100,3.2695271881922117,13.653333333333334
7,6,100,5.051914420644743,11.702857142857143
7,5,100,2.1484796213682222,11.702857142857143
7,4,100,3.761122332224755e-154,11.702857142857143
7,3,100,2.0988664526617275e-154,11.702857142857143
7,2,100,1.1559597245049458e-153,11.702857142857143
7,1,100,3.2695271881922117,11.702857142857143
8,7,100,7.211677028784791,10.24
8,6,100,21.9467606467287,10.24
8,5,100,1.058518154538344,10.24
8,4,100,4.650747260974517e-154,10.24
8,3,100,2.474314097790453e-154,10.24
8,2,100,5.662467640592298e-154,10.24
16,15,100,6.592330406921547,5.12
16,14,100,24.915555204610136,5.12
16,13,100,28.113906913428128,5.12
16,12,100,26.925645104456475,5.12
16,11,100,26.803861366488523,5.12
16,10,100,26.06987160287673,5.12
32,31,100,6.649666581714134,2.56
32,30,100,24.889238779268954,2.56
32,29,100,27.954353079918313,2.56
32,28,100,27.39060596313749,2.56
32,27,100,26.59572438895017,2.56
32,26,100,25.810070762972593,2.56
4,3,125,2.158409218134408,16.384
4,2,125,1.5716609158353718,16.384
4,1,125,3.2695271881922117,16.384
5,4,125,0.8353997873250342,13.1072
5,3,125,4.1163030847809215e-78,13.1072
5,2,125,1.0758574490861432,13.1072
5,1,125,3.2695271881922117,13.1072
6,5,125,5.567514486877596,10.922666666666666
6,4,125,3.569358023763586e-154,10.922666666666666
6,3,125,2.6525859168681543e-154,10.922666666666666
6,2,125,0.43538521518926887,10.922666666666666
6,1,125,3.2695271881922117,10.922666666666666
7,6,125,6.556314399547804,9.362285714285715
7,5,125,1.2284505111792212,9.362285714285715
7,4,125,3.0852344469499386e-154,9.362285714285715
7,3,125,2.5018383622889673e-154,9.362285714285715
7,2,125,1.2298842596218912e-77,9.362285714285715
7,1,125,3.2695271881922117,9.362285714285715
8,7,125,6.867895909966097,8.192
8,6,125,25.145320280344265,8.192
8,5,125,0.3265467446194771,8.192
8,4,125,4.9629853461038023e-154,8.192
8,3,125,2.5132882829772257e-154,8.192
8,2,125,6.160844276309737e-154,8.192
16,15,125,5.916212466099076,4.096
16,14,125,27.341776811876784,4.096
16,13,125,32.11705659400276,4.096
16,12,125,32.3896334077802,4.096
16,11,125,30.974045788718072,4.096
16,10,125,31.139844319045878,4.096
32,31,125,5.918042271801171,2.048
32,30,125,27.341776811876784,2.048
32,29,125,31.860457263332997,2.048
32,28,125,32.07503019266944,2.048
32,27,125,32.740900009995066,2.048
32,26,125,31.1904749739806,2.048
4,3,150,2.374683243007112,13.653333333333334
4,2,150,1.2012233240758012,13.653333333333334
4,1,150,3.2695271881922117,13.653333333333334
5,4,150,1.0008371414976538,10.922666666666666
5,3,150,3.6414228410122577e-78,10.922666666666666
5,2,150,0.8771806110260794,10.922666666666666
5,1,150,3.2695271881922117,10.922666666666666
6,5,150,5.237540760080873,9.102222222222222
6,4,150,3.239167402483658e-154,9.102222222222222
6,3,150,2.2536862411464572e-154,9.102222222222222
6,2,150,0.3368269723906933,9.102222222222222
6,1,150,3.2695271881922117,9.102222222222222
7,6,150,7.711533134849691,7.801904761904762
7,5,150,0.3299546062682618,7.801904761904762
7,4,150,3.101425780220312e-154,7.801904761904762
7,3,150,2.196897037199196e-154,7.801904761904762
7,2,150,9.927045151212356e-78,7.801904761904762
7,1,150,3.2695271881922117,7.801904761904762
8,7,150,8.897744772383755,6.826666666666667
8,6,150,29.079051783748746,6.826666666666667
8,5,150,4.477794665432306e-78,6.826666666666667
8,4,150,5.480451980986669e-154,6.826666666666667
8,3,150,2.3030679386841904e-154,6.826666666666667
