Word Length,Rank,Quant SVD BLEU (Range-Based),Quant SVD BLEU (Log2-Based),Quant SVD BLEU (Loss-Aware),Compression Ratio
2,256,1.3454127052247047,1.8636500880986135,5.093717884848674,16.0
2,320,1.3311544384712357,1.787110128877918,6.72946918776553,12.8
2,384,1.6261579002527067,1.6472979522502245,9.525182756423472,10.666666666666666
2,448,1.5726309730762162,1.513810284362752,9.369853229710444,9.142857142857142
2,512,1.7982404915200276,1.591241920280332,8.665588255623536,8.0
4,128,32.338907159132866,30.531367226490758,30.538566739016247,16.0
4,160,37.53918082534041,34.242601296879414,35.03947514621284,12.8
4,192,39.359156941394986,37.310983946223445,38.89128887407243,10.666666666666666
4,224,40.24309427441049,39.39590326075938,39.587278086500994,9.142857142857142
4,256,40.81815822069653,38.97027743191794,39.774812068986755,8.0
6,85,24.0169950715487,23.790009179110065,23.31424995444,16.062745098039215
6,105,27.270100139559638,26.427644627457266,26.924983298666795,13.003174603174603
6,125,31.403285495192208,31.14148544923886,30.797647579285954,10.922666666666666
6,145,34.22963397191348,33.607333178894514,34.44516245301399,9.416091954022988
6,165,37.03157891847735,36.404896234763825,36.282739889833756,8.274747474747475
8,64,16.904642182017962,16.656617875477984,16.486361908505437,16.0
8,80,22.192816531761434,22.200430710010984,22.48473604183125,12.8
8,96,25.730792517356015,25.882128806364012,25.66849096025138,10.666666666666666
8,112,28.91889404483837,29.032680621916203,29.456195855089923,9.142857142857142
8,128,32.29541572495238,32.59020494712067,32.3455208313256,8.0
16,32,3.6066383136028355,3.6066383136028355,4.203035993713359,16.0
16,40,6.305111393792102,6.305111393792102,4.18690672102403,12.8
16,48,8.351533885543398,8.351533885543398,9.940840553339765,10.666666666666666
16,56,11.59175015455927,11.59175015455927,15.461364013290114,9.142857142857142
16,64,16.3388114341134,16.3388114341134,16.2006898435802,8.0
