Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
4,64,18.934548921310586,20.5943158567343,32.0
4,80,21.569419337335855,23.723812143809727,25.6
4,96,25.832809093573545,26.25993170850845,21.333333333333332
4,112,28.164027186423475,29.755215929854987,18.285714285714285
4,128,30.68069544094158,31.610546090150514,16.0
4,144,32.91292725958491,33.627011001924984,14.222222222222221
4,160,33.84108157706922,34.63678139845097,12.8
4,176,35.957310080314144,36.54558561065349,11.636363636363637
4,192,37.50290100806634,37.994094902635396,10.666666666666666
4,208,37.73643329055869,38.69509828439387,9.846153846153847
4,224,37.578691801550484,39.50130096470621,9.142857142857142
4,240,38.60667790625474,40.146280283641744,8.533333333333333
4,256,38.61437212752533,40.30140729128418,8.0
6,64,21.53134624366819,21.442656799224004,21.333333333333332
6,80,23.328432994243155,23.362800155128188,17.066666666666666
6,96,25.9927460166223,26.17464421996788,14.222222222222221
6,112,29.92048872078586,30.297067343565427,12.19047619047619
6,128,30.495600533288297,30.69231228916539,10.666666666666666
6,144,32.56858112813414,32.74394395399114,9.481481481481481
6,160,34.678867516657384,34.1228001607101,8.533333333333333
6,176,34.648604424603015,34.39705459666464,7.757575757575758
6,192,36.946035141020985,36.63355995324656,7.111111111111111
6,208,37.146909641541384,37.27428473128834,6.564102564102564
6,224,39.61748943482084,38.52487572138567,6.095238095238095
6,240,41.069028493476104,40.81543153824293,5.688888888888889
6,256,40.39951357218667,39.99805571506025,5.333333333333333
8,64,21.18317768402461,21.239530895560453,16.0
8,80,23.27299824939068,23.385708036699082,12.8
8,96,26.056045796095578,26.229493848141967,10.666666666666666
8,112,29.84741813593306,29.875751899456105,9.142857142857142
8,128,30.250779113653863,30.167547101511932,8.0
8,144,31.992716165139807,32.10999888602592,7.111111111111111
8,160,33.99633437712688,34.33056777849017,6.4
8,176,33.99318926189448,34.207759064656855,5.818181818181818
8,192,36.64017228409405,36.949898718564114,5.333333333333333
8,208,37.35047770004299,37.96612631878612,4.923076923076923
8,224,38.47642877300476,39.02493493412161,4.571428571428571
8,240,40.95712766164743,40.6553286852677,4.266666666666667
8,256,40.76160203428061,40.516661161173815,4.0
