Word Length,Rank,MSE Layer 1,Iterative MSE Layer 1,Delta MSE Layer 1,MSE Layer 2,Iterative MSE Layer 2,Delta MSE Layer 2,MSE Layer 3,Iterative MSE Layer 3,Delta MSE Layer 3,MSE Layer 4,Iterative MSE Layer 4,Delta MSE Layer 4,MSE Layer 5,Iterative MSE Layer 5,Delta MSE Layer 5,MSE Layer 6,Iterative MSE Layer 6,Delta MSE Layer 6,Compression Ratio
2,256,0.003845944069325924,0.003281333949416876,0.0005646101199090481,0.002872562501579523,0.0024819355458021164,0.0003906269557774067,0.003111450467258692,0.0026814541779458523,0.0004299962893128395,0.0036266713868826628,0.0031983545050024986,0.00042831688188016415,0.003671330865472555,0.0031934785656630993,0.00047785229980945587,0.003817029297351837,0.003332061693072319,0.00048496760427951813,16.0
2,320,0.0038765519857406616,0.003281333949416876,0.0005952180363237858,0.0028957193717360497,0.0024819355458021164,0.00041378382593393326,0.0031404546461999416,0.0026814541779458523,0.00045900046825408936,0.0036538890562951565,0.0031983545050024986,0.00045553455129265785,0.0036985850892961025,0.0031934785656630993,0.0005051065236330032,0.0038430176209658384,0.003332061693072319,0.0005109559278935194,12.8
2,384,0.0038877620827406645,0.003281333949416876,0.0006064281333237886,0.0029080063104629517,0.0024819355458021164,0.00042607076466083527,0.003153467085212469,0.0026814541779458523,0.0004720129072666168,0.003667987883090973,0.0031983545050024986,0.0004696333780884743,0.003710702760145068,0.0031934785656630993,0.0005172241944819689,0.003853872884064913,0.00333206239156425,0.0005218104925006628,10.666666666666666
2,448,0.003891612170264125,0.003281333949416876,0.000610278220847249,0.0029119467362761497,0.0024819353129714727,0.000430011423304677,0.0031575853936374187,0.0026814541779458523,0.00047613121569156647,0.003671692218631506,0.0031983545050024986,0.00047333771362900734,0.0037144399248063564,0.003193478100001812,0.0005209618248045444,0.0038575646467506886,0.00333206239156425,0.0005255022551864386,9.142857142857142
2,512,0.0038920296356081963,0.003281333949416876,0.0006106956861913204,0.0029122948180884123,0.0024819355458021164,0.0004303592722862959,0.003158086445182562,0.0026814541779458523,0.0004766322672367096,0.003672216786071658,0.0031983545050024986,0.0004738622810691595,0.003715052967891097,0.003193478100001812,0.0005215748678892851,0.00385793624445796,0.00333206239156425,0.0005258738528937101,8.0
4,128,0.0010523608652874827,0.0010340597946196795,1.8301070667803288e-05,0.0007999110966920853,0.0007738773711025715,2.603372558951378e-05,0.0008817501366138458,0.0008675857679918408,1.4164368622004986e-05,0.0009872405789792538,0.0009585432708263397,2.8697308152914047e-05,0.0009931314270943403,0.0009765831055119634,1.6548321582376957e-05,0.0009538148296996951,0.0009276488563045859,2.6165973395109177e-05,16.0
4,160,0.0008006783900782466,0.0007751055527478456,2.5572837330400944e-05,0.0006250429432839155,0.0005910107283852994,3.4032214898616076e-05,0.0006796639645472169,0.0006599510088562965,1.9712955690920353e-05,0.0007636946975253522,0.0007257912075147033,3.7903490010648966e-05,0.0007580136880278587,0.000734243483748287,2.377020427957177e-05,0.0007340667652897537,0.0006986949592828751,3.5371806006878614e-05,12.8
4,192,0.0006093759438954294,0.0005758866318501532,3.3489312045276165e-05,0.0004885807866230607,0.000446308491518721,4.227229510433972e-05,0.0005213498370721936,0.0004954668693244457,2.5882967747747898e-05,0.0005907848244532943,0.0005432545440271497,4.75302804261446e-05,0.0005783771048299968,0.0005468308227136731,3.154628211632371e-05,0.0005656720022670925,0.0005211424431763589,4.452955909073353e-05,10.666666666666666
4,224,0.00046402550651691854,0.0004220461123622954,4.197939415462315e-05,0.0003833261434920132,0.0003327347803860903,5.059136310592294e-05,0.0003988139797002077,0.00036648474633693695,3.232923336327076e-05,0.0004588200827129185,0.000401222932850942,5.7597149861976504e-05,0.00044257426634430885,0.0004028893308714032,3.9684935472905636e-05,0.00043827202171087265,0.00038425385719165206,5.401816451922059e-05,9.142857142857142
4,256,0.00035546356230042875,0.0003045755438506603,5.0888018449768424e-05,0.0003028922656085342,0.00024408525496255606,5.880701064597815e-05,0.0003059018636122346,0.00026678567519411445,3.9116188418120146e-05,0.00035980105167254806,0.000291854958049953,6.794609362259507e-05,0.0003413513768464327,0.000293089629849419,4.826174699701369e-05,0.00034372456138953567,0.0002798783825710416,6.384617881849408e-05,8.0
